field	filled	has_gold	correct	accuracy	n_blank_fill	has_gold_blank	correct_blank_fill	acc_blank_fill	n_overwrite	has_gold_overwrite	correct_overwrite	acc_overwrite
country	0	0	0		0	0	0		0	0	0	
collection_date	0	0	0		0	0	0		0	0	0	
isolation_source	0	0	0		0	0	0		0	0	0	
host	0	0	0		0	0	0		0	0	0	
