study_accession	paper_short_title	n_isolates	fold	seed
PRJEB76311		49	tail25_49	
PRJDB8975		49	tail25_49	
PRJEB34793		49	tail25_49	
PRJNA575579		49	tail25_49	
PRJNA744003		48	tail25_49	
PRJEB50270		48	tail25_49	
PRJNA986308		48	tail25_49	
PRJEB62836		48	tail25_49	
PRJNA836696		48	tail25_49	
PRJNA438531		47	tail25_49	
PRJNA673499		47	tail25_49	
PRJEB21015		47	tail25_49	
PRJEB9327		46	tail25_49	
PRJNA390933		46	tail25_49	
PRJNA704495		46	tail25_49	
PRJNA515630		46	tail25_49	
PRJNA922161		46	tail25_49	
PRJEB34532		46	tail25_49	
PRJEB76496		46	tail25_49	
PRJNA1092662		46	tail25_49	
PRJNA449293		45	tail25_49	
PRJNA323522		45	tail25_49	
PRJNA1085970		45	tail25_49	
PRJDB11603		45	tail25_49	
PRJEB36171		45	tail25_49	
PRJEB41225		45	tail25_49	
PRJNA308116		45	tail25_49	
PRJNA552297		45	tail25_49	
PRJDB5126		45	tail25_49	
PRJEB8766		44	tail25_49	
PRJDB6565		44	tail25_49	
PRJNA847410		44	tail25_49	
PRJNA431029		44	tail25_49	
PRJNA529592		44	tail25_49	
PRJEB59013		42	tail25_49	
PRJNA943144		42	tail25_49	
PRJEB3255		42	tail25_49	
PRJNA1092272		42	tail25_49	
PRJEB60478		41	tail25_49	
PRJNA261540		41	tail25_49	
PRJEB36919		41	tail25_49	
PRJNA496461		40	tail25_49	
PRJNA278293		40	tail25_49	
PRJNA1000963		40	tail25_49	
PRJNA682246		39	tail25_49	
PRJEB25746		39	tail25_49	
PRJNA646592		39	tail25_49	
PRJEB37523		39	tail25_49	
PRJDB17160		39	tail25_49	
PRJNA431724		38	tail25_49	
PRJEB6688		38	tail25_49	
PRJNA1102315		38	tail25_49	
PRJNA295003		38	tail25_49	
PRJNA924056		38	tail25_49	
PRJNA597144		38	tail25_49	
PRJEB20875		38	tail25_49	
PRJEB60743		38	tail25_49	
PRJEB27508		37	tail25_49	
PRJNA868296		37	tail25_49	
PRJEB32863		37	tail25_49	
PRJNA730821		37	tail25_49	
PRJNA527021		36	tail25_49	
PRJEB56212		36	tail25_49	
PRJNA1045567		36	tail25_49	
PRJEB67940		36	tail25_49	
PRJNA768294		36	tail25_49	
PRJNA884340		36	tail25_49	
PRJNA497126		35	tail25_49	
PRJNA744405		35	tail25_49	
PRJNA761884		35	tail25_49	
PRJNA739636		34	tail25_49	
PRJEB25080		34	tail25_49	
PRJDB9036		34	tail25_49	
PRJEB42370		34	tail25_49	
PRJNA842739		34	tail25_49	
PRJNA1114318		34	tail25_49	
PRJEB21292		33	tail25_49	
PRJNA979006		33	tail25_49	
PRJNA1055729		33	tail25_49	
PRJNA631924		33	tail25_49	
PRJNA667445		33	tail25_49	
PRJNA796569		32	tail25_49	
PRJEB43549		32	tail25_49	
PRJNA967113		32	tail25_49	
PRJNA858403		32	tail25_49	
PRJEB5132		32	tail25_49	
PRJNA589105		32	tail25_49	
PRJNA814816		32	tail25_49	
PRJNA715470		31	tail25_49	
PRJNA770840		31	tail25_49	
PRJNA563817		31	tail25_49	
PRJNA339159		31	tail25_49	
PRJEB73547		31	tail25_49	
PRJNA741123		31	tail25_49	
PRJEB14854		31	tail25_49	
PRJNA857525		31	tail25_49	
PRJNA939143		31	tail25_49	
PRJEB19808		30	tail25_49	
PRJEB64632		30	tail25_49	
PRJNA551371		30	tail25_49	
PRJNA552385		30	tail25_49	
PRJNA658789		30	tail25_49	
PRJEB76256		30	tail25_49	
PRJNA799652		30	tail25_49	
PRJNA296771		30	tail25_49	
PRJEB8776		30	tail25_49	
PRJEB43550		30	tail25_49	
PRJNA925315		29	tail25_49	
PRJNA1122997		29	tail25_49	
PRJNA707214		29	tail25_49	
PRJNA508406		29	tail25_49	
PRJEB44852		29	tail25_49	
PRJNA816413		29	tail25_49	
PRJEB59858		28	tail25_49	
PRJEB35248		28	tail25_49	
PRJNA767190		28	tail25_49	
PRJNA984451		28	tail25_49	
PRJEB44864		28	tail25_49	
PRJDB14712		28	tail25_49	
PRJDB5317		27	tail25_49	
PRJNA1071125		27	tail25_49	
PRJNA351910		27	tail25_49	
PRJNA292904		27	tail25_49	
PRJNA512284		27	tail25_49	
PRJEB32657		27	tail25_49	
PRJNA850834		27	tail25_49	
PRJEB40571		27	tail25_49	
PRJNA436373		27	tail25_49	
PRJNA504784		26	tail25_49	
PRJNA488268		26	tail25_49	
PRJEB54568		26	tail25_49	
PRJNA292902		26	tail25_49	
PRJEB47075		26	tail25_49	
PRJNA754858		26	tail25_49	
PRJDB16665		26	tail25_49	
PRJNA718275		26	tail25_49	
PRJNA641166		25	tail25_49	
PRJNA790644		25	tail25_49	
PRJNA890192		25	tail25_49	
PRJNA667192		25	tail25_49	
PRJEB9147		25	tail25_49	
PRJEB14100		25	tail25_49	
PRJNA413541		25	tail25_49	
PRJNA728968		25	tail25_49	
PRJEB64775		25	tail25_49	
PRJNA744889		25	tail25_49	
PRJNA858823		25	tail25_49	
PRJNA473419		25	tail25_49	
