study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJEB76311		49	tail25_49		49		49				proxy_rowcount
PRJDB8975		49	tail25_49		49		49				proxy_rowcount
PRJEB34793		49	tail25_49		49		49				proxy_rowcount
PRJNA575579		49	tail25_49		49		49				proxy_rowcount
PRJNA744003		48	tail25_49		48		48				proxy_rowcount
PRJEB50270		48	tail25_49		48		48				proxy_rowcount
PRJNA986308		48	tail25_49		48		48				proxy_rowcount
PRJEB62836		48	tail25_49		48		48				proxy_rowcount
PRJNA836696		48	tail25_49		48		48				proxy_rowcount
PRJNA438531		47	tail25_49		47		47				proxy_rowcount
PRJNA673499		47	tail25_49		47		47				proxy_rowcount
PRJEB21015		47	tail25_49		47		47				proxy_rowcount
PRJEB9327		46	tail25_49		46		46				proxy_rowcount
PRJNA390933		46	tail25_49		46		46				proxy_rowcount
PRJNA704495		46	tail25_49		46		46				proxy_rowcount
PRJNA515630		46	tail25_49		46		46				proxy_rowcount
PRJNA922161		46	tail25_49		46		46				proxy_rowcount
PRJEB34532		46	tail25_49		46		46				proxy_rowcount
PRJEB76496		46	tail25_49		46		46				proxy_rowcount
PRJNA1092662		46	tail25_49		46		46				proxy_rowcount
PRJNA449293		45	tail25_49		45		45				proxy_rowcount
PRJNA323522		45	tail25_49		45		45				proxy_rowcount
PRJNA1085970		45	tail25_49		45		45				proxy_rowcount
PRJDB11603		45	tail25_49		45		45				proxy_rowcount
PRJEB36171		45	tail25_49		45		45				proxy_rowcount
PRJEB41225		45	tail25_49		45		45				proxy_rowcount
PRJNA308116		45	tail25_49		45		45				proxy_rowcount
PRJNA552297		45	tail25_49		45		45				proxy_rowcount
PRJDB5126		45	tail25_49		45		45				proxy_rowcount
PRJEB8766		44	tail25_49		44		44				proxy_rowcount
PRJDB6565		44	tail25_49		44		44				proxy_rowcount
PRJNA847410		44	tail25_49		44		44				proxy_rowcount
PRJNA431029		44	tail25_49		44		44				proxy_rowcount
PRJNA529592		44	tail25_49		44		44				proxy_rowcount
PRJEB59013		42	tail25_49		42		42				proxy_rowcount
PRJNA943144		42	tail25_49		42		42				proxy_rowcount
PRJEB3255		42	tail25_49		42		42				proxy_rowcount
PRJNA1092272		42	tail25_49		42		42				proxy_rowcount
PRJEB60478		41	tail25_49		41		41				proxy_rowcount
PRJNA261540		41	tail25_49		41		41				proxy_rowcount
PRJEB36919		41	tail25_49		41		41				proxy_rowcount
PRJNA496461		40	tail25_49		40		40				proxy_rowcount
PRJNA278293		40	tail25_49		40		40				proxy_rowcount
PRJNA1000963		40	tail25_49		40		40				proxy_rowcount
PRJNA682246		39	tail25_49		39		39				proxy_rowcount
PRJEB25746		39	tail25_49		39		39				proxy_rowcount
PRJNA646592		39	tail25_49		39		39				proxy_rowcount
PRJEB37523		39	tail25_49		39		39				proxy_rowcount
PRJDB17160		39	tail25_49		39		39				proxy_rowcount
PRJNA431724		38	tail25_49		38		38				proxy_rowcount
PRJEB6688		38	tail25_49		38		38				proxy_rowcount
PRJNA1102315		38	tail25_49		38		38				proxy_rowcount
PRJNA295003		38	tail25_49		38		38				proxy_rowcount
PRJNA924056		38	tail25_49		38		38				proxy_rowcount
PRJNA597144		38	tail25_49		38		38				proxy_rowcount
PRJEB20875		38	tail25_49		38		38				proxy_rowcount
PRJEB60743		38	tail25_49		38		38				proxy_rowcount
PRJEB27508		37	tail25_49		37		37				proxy_rowcount
PRJNA868296		37	tail25_49		37		37				proxy_rowcount
PRJEB32863		37	tail25_49		37		37				proxy_rowcount
PRJNA730821		37	tail25_49		37		37				proxy_rowcount
PRJNA527021		36	tail25_49		36		36				proxy_rowcount
PRJEB56212		36	tail25_49		36		36				proxy_rowcount
PRJNA1045567		36	tail25_49		36		36				proxy_rowcount
PRJEB67940		36	tail25_49		36		36				proxy_rowcount
PRJNA768294		36	tail25_49		36		36				proxy_rowcount
PRJNA884340		36	tail25_49		36		36				proxy_rowcount
PRJNA497126		35	tail25_49		35		35				proxy_rowcount
PRJNA744405		35	tail25_49		35		35				proxy_rowcount
PRJNA761884		35	tail25_49		35		35				proxy_rowcount
PRJNA739636		34	tail25_49		34		34				proxy_rowcount
PRJEB25080		34	tail25_49		34		34				proxy_rowcount
PRJDB9036		34	tail25_49		34		34				proxy_rowcount
PRJEB42370		34	tail25_49		34		34				proxy_rowcount
PRJNA842739		34	tail25_49		34		34				proxy_rowcount
PRJNA1114318		34	tail25_49		34		34				proxy_rowcount
PRJEB21292		33	tail25_49		33		33				proxy_rowcount
PRJNA979006		33	tail25_49		33		33				proxy_rowcount
PRJNA1055729		33	tail25_49		33		33				proxy_rowcount
PRJNA631924		33	tail25_49		33		33				proxy_rowcount
PRJNA667445		33	tail25_49		33		33				proxy_rowcount
PRJNA796569		32	tail25_49		32		32				proxy_rowcount
PRJEB43549		32	tail25_49		32		32				proxy_rowcount
PRJNA967113		32	tail25_49		32		32				proxy_rowcount
PRJNA858403		32	tail25_49		32		32				proxy_rowcount
PRJEB5132		32	tail25_49		32		32				proxy_rowcount
PRJNA589105		32	tail25_49		32		32				proxy_rowcount
PRJNA814816		32	tail25_49		32		32				proxy_rowcount
PRJNA715470		31	tail25_49		31		31				proxy_rowcount
PRJNA770840		31	tail25_49		31		31				proxy_rowcount
PRJNA563817		31	tail25_49		31		31				proxy_rowcount
PRJNA339159		31	tail25_49		31		31				proxy_rowcount
PRJEB73547		31	tail25_49		31		31				proxy_rowcount
PRJNA741123		31	tail25_49		31		31				proxy_rowcount
PRJEB14854		31	tail25_49		31		31				proxy_rowcount
PRJNA857525		31	tail25_49		31		31				proxy_rowcount
PRJNA939143		31	tail25_49		31		31				proxy_rowcount
PRJEB19808		30	tail25_49		30		30				proxy_rowcount
PRJEB64632		30	tail25_49		30		30				proxy_rowcount
PRJNA551371		30	tail25_49		30		30				proxy_rowcount
PRJNA552385		30	tail25_49		30		30				proxy_rowcount
PRJNA658789		30	tail25_49		30		30				proxy_rowcount
PRJEB76256		30	tail25_49		30		30				proxy_rowcount
PRJNA799652		30	tail25_49		30		30				proxy_rowcount
PRJNA296771		30	tail25_49		30		30				proxy_rowcount
PRJEB8776		30	tail25_49		30		30				proxy_rowcount
PRJEB43550		30	tail25_49		30		30				proxy_rowcount
PRJNA925315		29	tail25_49		29		29				proxy_rowcount
PRJNA1122997		29	tail25_49		29		29				proxy_rowcount
PRJNA707214		29	tail25_49		29		29				proxy_rowcount
PRJNA508406		29	tail25_49		29		29				proxy_rowcount
PRJEB44852		29	tail25_49		29		29				proxy_rowcount
PRJNA816413		29	tail25_49		29		29				proxy_rowcount
PRJEB59858		28	tail25_49		28		28				proxy_rowcount
PRJEB35248		28	tail25_49		28		28				proxy_rowcount
PRJNA767190		28	tail25_49		28		28				proxy_rowcount
PRJNA984451		28	tail25_49		28		28				proxy_rowcount
PRJEB44864		28	tail25_49		28		28				proxy_rowcount
PRJDB14712		28	tail25_49		28		28				proxy_rowcount
PRJDB5317		27	tail25_49		27		27				proxy_rowcount
PRJNA1071125		27	tail25_49		27		27				proxy_rowcount
PRJNA351910		27	tail25_49		27		27				proxy_rowcount
PRJNA292904		27	tail25_49		27		27				proxy_rowcount
PRJNA512284		27	tail25_49		27		27				proxy_rowcount
PRJEB32657		27	tail25_49		27		27				proxy_rowcount
PRJNA850834		27	tail25_49		27		27				proxy_rowcount
