sample_accession	run_accession	submission_accession	assembly_software	library_selection	serotype	environment_feature	last_updated	submitted_galaxy	germline	culture_collection	submission_tool	sra_bytes	collected_by	submitted_ftp	isolate	fastq_bytes	instrument_platform	variety	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	tissue_lib	environmental_sample	sex	submitted_md5	checklist	fastq_galaxy	specimen_voucher	submitted_bytes	taxonomic_identity_marker	country	sample_description	experiment_title	sra_galaxy	fastq_md5	secondary_study_accession	read_count	study_title	bio_material	host_body_site	assembly_quality	sample_capture_status	sample_title	host_genotype	host_phenotype	cultivar	instrument_model	target_gene	nominal_sdev	environment_material	host_tax_id	sample_material	sra_md5	cell_type	fastq_ftp	broker_name	sub_strain	base_count	library_strategy	serovar	investigation_type	location	library_source	sra_ftp	library_layout	experimental_factor	environment_biome	dev_stage	binning_software	sample_collection	nominal_length	completeness_score	lon	fastq_aspera	host_sex	sample_alias	mating_type	sub_species	contamination_score	run_alias	depth	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	altitude	accession	secondary_sample_accession	sampling_platform	taxonomic_classification	protocol_label	elevation	salinity	sequencing_method	first_public	study_alias	ph	tissue_type	isolation_source	metadata_reviewed	study_setting	amr_study
SAMD00112496	DRR124977	DRA006571		RANDOM			2018-10-05					553681380.0				365545000;385901553	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR124/DRR124977									ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124977/DRR124977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124977/DRR124977_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing of SAMD00112496;Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112496	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124977	c49be84a5e4d1669d1d3aa917d8607e7;af21255deb0f240a6133e1d13921ded1	DRP004495	4489665.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 003-47133-Kpn				Illumina MiSeq		100.0				8ae826f1f1a7ffafa74b5ee08b613712		ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124977/DRR124977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124977/DRR124977_2.fastq.gz			1355878830.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124977	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124977/DRR124977_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124977/DRR124977_2.fastq.gz		SAMD00112496				DRR124977			2016	DRX117780		NCGM				Homo sapiens	003-47133-Kpn	2018-10-05	21.0277	003-47133-Kpn	DRX117780	Klebsiella pneumoniae		573.0	PRJDB6407				DRR124977	DRS075819							2018-10-05	DRP004495				False	hospital	amr
SAMD00112501	DRR124982	DRA006571		RANDOM			2018-10-05					595324769.0				391649232;415973075	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR124/DRR124982									ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124982/DRR124982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124982/DRR124982_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112501;Illumina MiSeq paired end sequencing of SAMD00112501	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124982	b5de964b31f04c8ece6ec7c77715b6d6;53d02535822f7b4d186e4673a35c283c	DRP004495	4765788.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 009-25436-Kpn				Illumina MiSeq		100.0				63e02e507416b9b8b07126ed75b0252b		ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124982/DRR124982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124982/DRR124982_2.fastq.gz			1439267976.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124982	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124982/DRR124982_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124982/DRR124982_2.fastq.gz		SAMD00112501				DRR124982			2016	DRX117785		NCGM				Homo sapiens	009-25436-Kpn	2018-10-05	21.0277	009-25436-Kpn	DRX117785	Klebsiella pneumoniae		573.0	PRJDB6407				DRR124982	DRS075824							2018-10-05	DRP004495				False	hospital	amr
SAMD00112506	DRR124987	DRA006571		RANDOM			2018-10-05					570580785.0				376442596;398154922	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR124/DRR124987									ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124987/DRR124987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124987/DRR124987_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing of SAMD00112506;Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112506	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124987	b698e3d2adff79cc09f893b29e9dea47;b8a1e2d815518195bedea46f6883b646	DRP004495	4575585.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 018-25437-Kpn				Illumina MiSeq		100.0				5a6c9e2b41ca41a1cb528c1fa8fa3f83		ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124987/DRR124987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124987/DRR124987_2.fastq.gz			1381826670.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124987	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124987/DRR124987_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124987/DRR124987_2.fastq.gz		SAMD00112506				DRR124987			2016	DRX117790		NCGM				Homo sapiens	018-25437-Kpn	2018-10-05	21.0277	018-25437-Kpn	DRX117790	Klebsiella pneumoniae		573.0	PRJDB6407				DRR124987	DRS075829							2018-10-05	DRP004495				False	hospital	amr
SAMD00112507	DRR124988	DRA006571		RANDOM			2018-10-05					453479919.0				299768739;315083329	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR124/DRR124988									ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124988/DRR124988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124988/DRR124988_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing of SAMD00112507;Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112507	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124988	870a0bc1fa9738d9382c1c754da526f0;ff4755dd1fc42db6ae50d77d55958532	DRP004495	3672796.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 019-52885-Kpn				Illumina MiSeq		100.0				869b98027b58c8dd6ed239bca1062442		ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124988/DRR124988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124988/DRR124988_2.fastq.gz			1109184392.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124988	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124988/DRR124988_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124988/DRR124988_2.fastq.gz		SAMD00112507				DRR124988			2016	DRX117791		NCGM				Homo sapiens	019-52885-Kpn	2018-10-05	21.0277	019-52885-Kpn	DRX117791	Klebsiella pneumoniae		573.0	PRJDB6407				DRR124988	DRS075830							2018-10-05	DRP004495				False	hospital	amr
SAMD00112513	DRR124994	DRA006571		RANDOM			2018-10-05					337761357.0				222021760;234022354	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR124/DRR124994									ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124994/DRR124994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124994/DRR124994_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112513;Illumina MiSeq paired end sequencing of SAMD00112513	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124994	b71a37b4fcb10b1afffa507274265adb;2e16742b93f35353d27403ef01aac921	DRP004495	2714379.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 027-49113-Kpn				Illumina MiSeq		100.0				38c2a1518e606015a2ad81b680133b23		ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124994/DRR124994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124994/DRR124994_2.fastq.gz			819742458.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124994	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124994/DRR124994_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124994/DRR124994_2.fastq.gz		SAMD00112513				DRR124994			2016	DRX117797		NCGM				Homo sapiens	027-49113-Kpn	2018-10-05	21.0277	027-49113-Kpn	DRX117797	Klebsiella pneumoniae		573.0	PRJDB6407				DRR124994	DRS075836							2018-10-05	DRP004495				False	hospital	amr
SAMD00112516	DRR124997	DRA006571		RANDOM			2018-10-05					435905502.0				285963364;303803390	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR124/DRR124997									ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124997/DRR124997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124997/DRR124997_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112516;Illumina MiSeq paired end sequencing of SAMD00112516	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124997	87ba1d9b06831c8d231d8620011a199b;742ae7ee1d6dd3f82a928844d5fe9c79	DRP004495	3483637.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 033-49692-Kpn				Illumina MiSeq		100.0				94e36ab84f3b1707b1f9030a5f8d3a6f		ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124997/DRR124997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR124/DRR124997/DRR124997_2.fastq.gz			1052058374.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR124/DRR124997	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124997/DRR124997_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR124/DRR124997/DRR124997_2.fastq.gz		SAMD00112516				DRR124997			2016	DRX117800		NCGM				Homo sapiens	033-49692-Kpn	2018-10-05	21.0277	033-49692-Kpn	DRX117800	Klebsiella pneumoniae		573.0	PRJDB6407				DRR124997	DRS075839							2018-10-05	DRP004495				False	hospital	amr
SAMD00112520	DRR125001	DRA006571		RANDOM			2018-10-05					502313324.0				330083015;350888252	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR125/DRR125001									ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125001/DRR125001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125001/DRR125001_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing of SAMD00112520;Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112520	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125001	4c6abe5ddb8ddc0d003424f42b36b42c;68013d2ca1b2d6e8bca0393ef4b45a9d	DRP004495	3987550.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 037-66327-Kpn				Illumina MiSeq		100.0				89f63bb03f78e9c755ec552568322673		ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125001/DRR125001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125001/DRR125001_2.fastq.gz			1204240100.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125001	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125001/DRR125001_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125001/DRR125001_2.fastq.gz		SAMD00112520				DRR125001			2016	DRX117804		NCGM				Homo sapiens	037-66327-Kpn	2018-10-05	21.0277	037-66327-Kpn	DRX117804	Klebsiella pneumoniae		573.0	PRJDB6407				DRR125001	DRS075843							2018-10-05	DRP004495				False	hospital	amr
SAMD00112521	DRR125002	DRA006571		RANDOM			2018-10-05					539163420.0				355113637;375891320	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR125/DRR125002									ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125002/DRR125002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125002/DRR125002_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112521;Illumina MiSeq paired end sequencing of SAMD00112521	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125002	e9e6854002468b9a68e6e73dc78ea09e;1ac2059f53495674be675035e787cc47	DRP004495	4344181.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 040-66188-Kpn				Illumina MiSeq		100.0				fcc55175db428867fb445264ab80cef0		ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125002/DRR125002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125002/DRR125002_2.fastq.gz			1311942662.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125002	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125002/DRR125002_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125002/DRR125002_2.fastq.gz		SAMD00112521				DRR125002			2016	DRX117805		NCGM				Homo sapiens	040-66188-Kpn	2018-10-05	21.0277	040-66188-Kpn	DRX117805	Klebsiella pneumoniae		573.0	PRJDB6407				DRR125002	DRS075844							2018-10-05	DRP004495				False	hospital	amr
SAMD00112523	DRR125004	DRA006571		RANDOM			2018-10-05					520264498.0				343171291;360861454	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR125/DRR125004									ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125004/DRR125004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125004/DRR125004_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112523;Illumina MiSeq paired end sequencing of SAMD00112523	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125004	792ab366b6e6dd8e990a6458157ab4ed;484a6bab8a2ad541197199b22ff755ed	DRP004495	4225503.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 042-34733-Kpn				Illumina MiSeq		100.0				c284e4cd72b0b82a5926ca4481f336f7		ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125004/DRR125004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125004/DRR125004_2.fastq.gz			1276101906.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125004	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125004/DRR125004_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125004/DRR125004_2.fastq.gz		SAMD00112523				DRR125004			2016	DRX117807		NCGM				Homo sapiens	042-34733-Kpn	2018-10-05	21.0277	042-34733-Kpn	DRX117807	Klebsiella pneumoniae		573.0	PRJDB6407				DRR125004	DRS075846							2018-10-05	DRP004495				False	hospital	amr
SAMD00112528	DRR125009	DRA006571		RANDOM			2018-10-05					478012865.0				313820372;329150765	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR125/DRR125009									ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125009/DRR125009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125009/DRR125009_2.fastq.gz				Viet Nam:Hanoi	Keywords: GSC:MIxS;MIGS:6.0	Illumina MiSeq paired end sequencing of SAMD00112528;Illumina MiSeq paired end sequencing; Illumina MiSeq paired end sequencing of SAMD00112528	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125009	7793f65569ea9243b3ae5c3b14248878;420fe63020816fa061423f250c1e3591	DRP004495	3923718.0	AMED CRE Consortium: Carbapenem-resistant Enterobacteriaceae in Vietnam					whole genome sequence of 047-45695-Kpn				Illumina MiSeq		100.0				6004c8c9af4b31528e3e906581629f68		ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125009/DRR125009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR125/DRR125009/DRR125009_2.fastq.gz			1184962836.0	WGS			21.0277 N 105.8341 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR125/DRR125009	PAIRED						500.0		105.8341	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125009/DRR125009_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR125/DRR125009/DRR125009_2.fastq.gz		SAMD00112528				DRR125009			2016	DRX117812		NCGM				Homo sapiens	047-45695-Kpn	2018-10-05	21.0277	047-45695-Kpn	DRX117812	Klebsiella pneumoniae		573.0	PRJDB6407				DRR125009	DRS075851							2018-10-05	DRP004495				False	hospital	amr
