Isolate,Species,Phylo-group,ST,Country,Site,Isolation year,Accession Number
SB5730,Klebsiella pneumoniae,Kp1,3108,Senegal,Urban,2016,ERS3557158
SB5731,Klebsiella pneumoniae,Kp1,3109,Senegal,Rural,2016,ERS3557159
SB5734,Klebsiella pneumoniae,Kp1,281,Senegal,Rural,2016,ERS3557161
SB5735,Klebsiella pneumoniae,Kp1,3111,Senegal,Rural,2016,ERS3557162
SB5736,Klebsiella pneumoniae,Kp1,17,Senegal,Rural,2016,ERS3557163
SB5737,Klebsiella pneumoniae,Kp1,1119,Senegal,Rural,2016,ERS3556896
SB5742,Klebsiella pneumoniae,Kp1,528,Senegal,Rural,2016,ERS3556872
SB5743,Klebsiella pneumoniae,Kp1,3113,Senegal,Rural,2016,ERS3557164
SB5749,Klebsiella pneumoniae,Kp1,17,Senegal,Rural,2016,ERS3557166
SB5751,Klebsiella pneumoniae,Kp1,3116,Senegal,Rural,2016,ERS3557168
SB5752,Klebsiella pneumoniae,Kp1,36,Senegal,Rural,2016,ERS3557169
SB5753,Klebsiella pneumoniae,Kp1,17,Senegal,Rural,2016,ERS3557170
SB5756,Klebsiella pneumoniae,Kp1,3118,Senegal,Rural,2016,ERS3557172
SB5759,Klebsiella pneumoniae,Kp1,111,Senegal,Rural,2016,ERS3557174
SB5762,Klebsiella pneumoniae,Kp1,3258,Senegal,Rural,2016,ERS3557176
SB5765,Klebsiella pneumoniae,Kp1,1962,Senegal,Rural,2016,ERS3557178
SB5768,Klebsiella pneumoniae,Kp1,3123,Senegal,Rural,2016,ERS3557180
SB5770,Klebsiella pneumoniae,Kp1,152,Senegal,Rural,2016,ERS3557181
SB5771,Klebsiella pneumoniae,Kp1,3124,Senegal,Rural,2016,ERS3557182
SB5773,Klebsiella pneumoniae,Kp1,3260,Senegal,Rural,2016,ERS3557184
SB5774,Klebsiella pneumoniae,Kp1,3261,Senegal,Rural,2016,ERS3557185
SB5775,Klebsiella pneumoniae,Kp1,3262,Senegal,Rural,2016,ERS3557186
SB5776,Klebsiella pneumoniae,Kp1,337,Senegal,Rural,2016,ERS3557187
SB5777,Klebsiella pneumoniae,Kp1,397,Senegal,Rural,2016,ERS3557188
SB5779,Klebsiella pneumoniae,Kp1,629,Senegal,Rural,2016,ERS3557190
SB5783,Klebsiella pneumoniae,Kp1,3157,Senegal,Rural,2016,ERS3557194
SB5786,Klebsiella pneumoniae,Kp1,277,Senegal,Rural,2016,ERS3557195
SB5787,Klebsiella pneumoniae,Kp1,281,Senegal,Rural,2016,ERS3557196
SB5788,Klebsiella pneumoniae,Kp1,3267,Senegal,Rural,2016,ERS3557197
SB5789,Klebsiella pneumoniae,Kp1,3268,Senegal,Rural,2016,ERS3557198
SB5790,Klebsiella pneumoniae,Kp1,151,Senegal,Rural,2016,ERS3557199
SB5791,Klebsiella pneumoniae,Kp1,443,Senegal,Rural,2016,ERS3557200
SB5792,Klebsiella pneumoniae,Kp1,514,Senegal,Rural,2016,ERS3557201
SB5793,Klebsiella pneumoniae,Kp1,36,Senegal,Rural,2016,ERS3557202
SB5794,Klebsiella pneumoniae,Kp1,1087,Senegal,Rural,2016,ERS3556809
SB5798,Klebsiella pneumoniae,Kp1,3271,Senegal,Rural,2016,ERS3556785
SB5800,Klebsiella pneumoniae,Kp1,2141,Senegal,Rural,2016,ERS3557206
SB5801,Klebsiella pneumoniae,Kp1,225,Senegal,Rural,2016,ERS3557207
SB5802,Klebsiella pneumoniae,Kp1,3273,Senegal,Rural,2016,ERS3557208
SB5805,Klebsiella pneumoniae,Kp1,3275,Senegal,Rural,2016,ERS3557210
SB5806,Klebsiella pneumoniae,Kp1,3030,Senegal,Rural,2016,ERS3557211
SB5807,Klebsiella pneumoniae,Kp1,1263,Senegal,Rural,2016,ERS3556827
SB5808,Klebsiella pneumoniae,Kp1,1189,Senegal,Rural,2016,ERS3557212
SB5810,Klebsiella pneumoniae,Kp1,1189,Senegal,Urban,2016,ERS3557214
SB5811,Klebsiella pneumoniae,Kp1,3277,Senegal,Urban,2016,ERS3557215
SB5812,Klebsiella pneumoniae,Kp1,1661,Senegal,Urban,2016,ERS3557216
SB5815,Klebsiella pneumoniae,Kp1,37,Senegal,Urban,2016,ERS3556851
SB5816,Klebsiella pneumoniae,Kp1,3278,Senegal,Urban,2016,ERS3557217
SB5817,Klebsiella pneumoniae,Kp1,292,Senegal,Urban,2016,ERS3556811
SB5818,Klebsiella pneumoniae,Kp1,504,Senegal,Urban,2016,ERS3556828
SB5819,Klebsiella pneumoniae,Kp1,45,Senegal,Urban,2016,ERS3557218
SB5822,Klebsiella pneumoniae,Kp1,2108,Senegal,Urban,2016,ERS3556812
SB5823,Klebsiella pneumoniae,Kp1,968,Senegal,Urban,2016,ERS3556946
SB5824,Klebsiella pneumoniae,Kp1,2800,Senegal,Urban,2016,ERS3556947
SB5825,Klebsiella pneumoniae,Kp1,491,Senegal,Urban,2016,ERS3557219
SB5826,Klebsiella pneumoniae,Kp1,1401,Senegal,Urban,2016,ERS3557220
SB5828,Klebsiella pneumoniae,Kp1,1049,Senegal,Urban,2016,ERS3556873
SB5829,Klebsiella pneumoniae,Kp1,3280,Senegal,Urban,2016,ERS3557221
SB5830,Klebsiella pneumoniae,Kp1,3281,Senegal,Urban,2016,ERS3557222
SB5831,Klebsiella pneumoniae,Kp1,1401,Senegal,Urban,2016,ERS3557223
SB5832,Klebsiella pneumoniae,Kp1,2655,Senegal,Urban,2016,ERS3556906
SB5833,Klebsiella pneumoniae,Kp1,502,Senegal,Urban,2016,ERS3556775
SB5834,Klebsiella pneumoniae,Kp1,2715,Senegal,Urban,2016,ERS3556897
SB5836,Klebsiella pneumoniae,Kp1,1419,Senegal,Urban,2016,ERS3557224
SB5837,Klebsiella pneumoniae,Kp1,3282,Senegal,Rural,2016,ERS3556813
SB5838,Klebsiella pneumoniae,Kp1,3282,Senegal,Urban,2016,ERS3556814
SB5839,Klebsiella pneumoniae,Kp1,411,Senegal,Urban,2016,ERS3557225
SB5841,Klebsiella pneumoniae,Kp1,1666,Senegal,Urban,2016,ERS3556786
SB5842,Klebsiella pneumoniae,Kp1,3283,Senegal,Rural,2016,ERS3557226
SB5847,Klebsiella pneumoniae,Kp1,3286,Senegal,Rural,2016,ERS3557230
SB5849,Klebsiella pneumoniae,Kp1,29,Senegal,Rural,2016,ERS3557232
SB5850,Klebsiella pneumoniae,Kp1,3287,Senegal,Rural,2016,ERS3556792
SB5851,Klebsiella pneumoniae,Kp1,249,Senegal,Rural,2016,ERS3557233
SB5854,Klebsiella pneumoniae,Kp1,1419,Senegal,Rural,2016,ERS3557236
SB5856,Klebsiella pneumoniae,Kp1,3290,Senegal,Urban,2016,ERS3557237
SB5858,Klebsiella pneumoniae,Kp1,3286,Senegal,Rural,2016,ERS3557238
SB5859,Klebsiella pneumoniae,Kp1,1015,Senegal,Rural,2016,ERS3557239
SB5862,Klebsiella pneumoniae,Kp1,13,Senegal,Rural,2016,ERS3557241
SB5863,Klebsiella pneumoniae,Kp1,788,Senegal,Rural,2016,ERS3557242
SB5864,Klebsiella pneumoniae,Kp1,3293,Senegal,Rural,2016,ERS3557243
SB5865,Klebsiella pneumoniae,Kp1,3294,Senegal,Urban,2016,ERS3557244
SB5866,Klebsiella pneumoniae,Kp1,37,Senegal,Urban,2016,ERS3557245
SB5867,Klebsiella pneumoniae,Kp1,3295,Senegal,Rural,2016,ERS3557246
SB5869,Klebsiella pneumoniae,Kp1,3297,Senegal,Rural,2016,ERS3557248
SB6073,Klebsiella pneumoniae,Kp1,152,Senegal,Rural,2016,ERS3557249
SB6074,Klebsiella pneumoniae,Kp1,3337,Senegal,Rural,2016,ERS3557250
SB6076,Klebsiella pneumoniae,Kp1,3338,Senegal,Rural,2016,ERS3557252
SB6077,Klebsiella pneumoniae,Kp1,3339,Senegal,Rural,2016,ERS3557253
SB6078,Klebsiella pneumoniae,Kp1,661,Senegal,Rural,2016,ERS3557254
SB6079,Klebsiella pneumoniae,Kp1,867,Senegal,Rural,2016,ERS3556787
SB6080,Klebsiella pneumoniae,Kp1,1662,Senegal,Rural,2016,ERS3557255
SB6081,Klebsiella pneumoniae,Kp1,3340,Senegal,Rural,2016,ERS3557256
SB6082,Klebsiella pneumoniae,Kp1,3341,Senegal,Rural,2016,ERS3557257
SB6085,Klebsiella pneumoniae,Kp1,36,Senegal,Rural,2016,ERS3557258
SB6086,Klebsiella pneumoniae,Kp1,1962,Senegal,Rural,2016,ERS3557259
SB6087,Klebsiella pneumoniae,Kp1,397,Senegal,Rural,2016,ERS3557260
SB6088,Klebsiella pneumoniae,Kp1,397,Senegal,Rural,2016,ERS3556829
SB6089,Klebsiella pneumoniae,Kp1,1658,Senegal,Rural,2016,ERS3557261
SB6091,Klebsiella pneumoniae,Kp1,39,Senegal,Rural,2016,ERS3556885
SB5782,quasipneumoniae,Kp2,338,Senegal,Rural,2016,ERS3557193
SB5799,quasipneumoniae,Kp2,3272,Senegal,Rural,2016,ERS3556810
SB5803,quasipneumoniae,Kp2,3274,Senegal,Rural,2016,ERS3557209
SB5745,Klebsiella variicola subsp. variicola,Kp3,3114,Senegal,Rural,2016,ERS3557165
SB5754,Klebsiella variicola subsp. variicola,Kp3,3117,Senegal,Rural,2016,ERS3557171
SB5767,Klebsiella variicola subsp. variicola,Kp3,3122,Senegal,Rural,2016,ERS3557179
SB5868,Klebsiella variicola subsp. variicola,Kp3,3296,Senegal,Rural,2016,ERS3557247
SB5726,similipneumoniae,Kp4,3107,Senegal,Rural,2016,ERS3556804
SB5732,similipneumoniae,Kp4,3110,Senegal,Rural,2016,ERS3557160
SB5739,similipneumoniae,Kp4,3112,Senegal,Rural,2016,ERS3556945
SB5746,similipneumoniae,Kp4,3115,Senegal,Rural,2016,ERS3556783
SB5750,similipneumoniae,Kp4,1308,Senegal,Rural,2016,ERS3557167
SB5758,similipneumoniae,Kp4,3120,Senegal,Rural,2016,ERS3557173
SB5761,similipneumoniae,Kp4,3257,Senegal,Rural,2016,ERS3557175
SB5764,similipneumoniae,Kp4,2685,Senegal,Rural,2016,ERS3557177
SB5766,similipneumoniae,Kp4,3121,Senegal,Rural,2016,ERS3556784
SB5772,similipneumoniae,Kp4,138,Senegal,Rural,2016,ERS3557183
SB5778,similipneumoniae,Kp4,3263,Senegal,Rural,2016,ERS3557189
SB5780,similipneumoniae,Kp4,3264,Senegal,Rural,2016,ERS3557191
SB5781,similipneumoniae,Kp4,3265,Senegal,Rural,2016,ERS3557192
SB5784,similipneumoniae,Kp4,3266,Senegal,Rural,2016,ERS3556850
SB5795,similipneumoniae,Kp4,3269,Senegal,Rural,2016,ERS3557203
SB5796,similipneumoniae,Kp4,3270,Senegal,Rural,2016,ERS3557204
SB5797,similipneumoniae,Kp4,2559,Senegal,Rural,2016,ERS3557205
SB5809,similipneumoniae,Kp4,3276,Senegal,Rural,2016,ERS3557213
SB5843,similipneumoniae,Kp4,3284,Senegal,Urban,2016,ERS3557227
SB5845,similipneumoniae,Kp4,841,Senegal,Rural,2016,ERS3557228
SB5846,similipneumoniae,Kp4,3285,Senegal,Rural,2016,ERS3557229
SB5848,similipneumoniae,Kp4,138,Senegal,Rural,2016,ERS3557231
SB5852,similipneumoniae,Kp4,3288,Senegal,Urban,2016,ERS3557234
SB5853,similipneumoniae,Kp4,3289,Senegal,Urban,2016,ERS3557235
SB5860,similipneumoniae,Kp4,3292,Senegal,Urban,2016,ERS3557240
SB6075,similipneumoniae,Kp4,ND,Senegal,Rural,2016,ERS3557251
SB6092,similipneumoniae,Kp4,3342,Senegal,Rural,2016,ERS3557262
SB6093,similipneumoniae,Kp4,3342,Senegal,Rural,2016,ERS3557263
SB5857,Klebsiella africanensis, Kp7, 3291, Senegal, Rural, 2016, ERS2787533
