study_accession	field	n_records	structured_nonnull_frac	verdict
PRJEB33804	isolation_source	1	0.0	needs_paper
PRJEB33804	host	1	0.0	needs_paper
PRJEB33804	cf_status	1	0.0	needs_paper
PRJEB33804	smoking_status	1	0.0	needs_paper
PRJEB33804	ast	1	0.0	needs_paper
PRJEB36331	country	60	0.0	needs_paper
PRJEB36331	collection_date	60	0.0	needs_paper
PRJEB36331	isolation_source	60	0.0	needs_paper
PRJEB36331	host	60	0.0	needs_paper
PRJEB36331	cf_status	60	0.0	needs_paper
PRJEB36331	smoking_status	60	0.0	needs_paper
PRJEB36331	ast	60	0.0	needs_paper
PRJEB37730	country	67	1.0	answered_by_data
PRJEB37730	collection_date	67	1.0	answered_by_data
PRJEB37730	isolation_source	67	1.0	answered_by_data
PRJEB37730	host	67	1.0	answered_by_data
PRJEB37730	cf_status	67	0.955	answered_by_data
PRJEB37730	smoking_status	67	0.0	needs_paper
PRJEB37730	ast	67	0.0	needs_paper
PRJEB38893	country	2	1.0	answered_by_data
PRJEB38893	collection_date	2	1.0	answered_by_data
PRJEB38893	isolation_source	2	1.0	answered_by_data
PRJEB38893	host	2	0.5	partial
PRJEB38893	cf_status	2	0.0	needs_paper
PRJEB38893	smoking_status	2	0.0	needs_paper
PRJEB38893	ast	2	0.0	needs_paper
PRJEB39129	country	86	1.0	answered_by_data
PRJEB39129	collection_date	86	1.0	answered_by_data
PRJEB39129	isolation_source	86	1.0	answered_by_data
PRJEB39129	host	86	1.0	answered_by_data
PRJEB39129	cf_status	86	0.0	needs_paper
PRJEB39129	smoking_status	86	0.0	needs_paper
PRJEB39129	ast	86	0.0	needs_paper
PRJEB44160	country	122	0.0	needs_paper
PRJEB44160	collection_date	122	0.0	needs_paper
PRJEB44160	isolation_source	122	0.0	needs_paper
PRJEB44160	host	122	0.0	needs_paper
PRJEB44160	cf_status	122	0.0	needs_paper
PRJEB44160	smoking_status	122	0.0	needs_paper
PRJEB44160	ast	122	0.0	needs_paper
PRJEB50291	country	2	1.0	answered_by_data
PRJEB50291	collection_date	2	1.0	answered_by_data
PRJEB50291	isolation_source	2	1.0	answered_by_data
PRJEB50291	host	2	1.0	answered_by_data
PRJEB50291	cf_status	2	0.0	needs_paper
PRJEB50291	smoking_status	2	0.0	needs_paper
PRJEB50291	ast	2	0.0	needs_paper
PRJEB57933	country	29	0.828	answered_by_data
PRJEB57933	collection_date	29	0.793	partial
PRJEB57933	isolation_source	29	0.0	needs_paper
PRJEB57933	host	29	0.0	needs_paper
PRJEB57933	cf_status	29	0.0	needs_paper
PRJEB57933	smoking_status	29	0.0	needs_paper
PRJEB57933	ast	29	0.0	needs_paper
PRJEB61124	country	52	1.0	answered_by_data
PRJEB61124	collection_date	52	1.0	answered_by_data
PRJEB61124	isolation_source	52	1.0	answered_by_data
PRJEB61124	host	52	1.0	answered_by_data
PRJEB61124	cf_status	52	0.0	needs_paper
PRJEB61124	smoking_status	52	0.0	needs_paper
PRJEB61124	ast	52	0.0	needs_paper
PRJEB64488	country	29	1.0	answered_by_data
PRJEB64488	collection_date	29	1.0	answered_by_data
PRJEB64488	isolation_source	29	0.0	needs_paper
PRJEB64488	host	29	0.0	needs_paper
PRJEB64488	cf_status	29	0.0	needs_paper
PRJEB64488	smoking_status	29	0.0	needs_paper
PRJEB64488	ast	29	0.0	needs_paper
PRJEB6776	country	27	0.0	needs_paper
PRJEB6776	collection_date	27	0.0	needs_paper
PRJEB6776	isolation_source	27	0.0	needs_paper
PRJEB6776	host	27	0.0	needs_paper
PRJEB6776	cf_status	27	0.0	needs_paper
PRJEB6776	smoking_status	27	0.0	needs_paper
PRJEB6776	ast	27	0.0	needs_paper
PRJEB7058	country	189	1.0	answered_by_data
PRJEB7058	collection_date	189	1.0	answered_by_data
PRJEB7058	isolation_source	189	0.995	answered_by_data
PRJEB7058	host	189	0.995	answered_by_data
PRJEB7058	cf_status	189	1.0	answered_by_data
PRJEB7058	smoking_status	189	0.0	needs_paper
PRJEB7058	ast	189	0.0	needs_paper
PRJEB74244	country	3	1.0	answered_by_data
PRJEB74244	collection_date	3	1.0	answered_by_data
PRJEB74244	isolation_source	3	1.0	answered_by_data
PRJEB74244	host	3	1.0	answered_by_data
PRJEB74244	cf_status	3	0.0	needs_paper
PRJEB74244	smoking_status	3	0.0	needs_paper
PRJEB74244	ast	3	0.0	needs_paper
PRJEB85433	country	1	0.0	needs_paper
PRJEB85433	collection_date	1	0.0	needs_paper
PRJEB85433	isolation_source	1	0.0	needs_paper
PRJEB85433	host	1	0.0	needs_paper
PRJEB85433	cf_status	1	0.0	needs_paper
PRJEB85433	smoking_status	1	0.0	needs_paper
PRJEB85433	ast	1	0.0	needs_paper
PRJEB9515	country	45	1.0	answered_by_data
PRJEB9515	collection_date	45	1.0	answered_by_data
PRJEB9515	isolation_source	45	1.0	answered_by_data
PRJEB9515	host	45	1.0	answered_by_data
PRJEB9515	cf_status	45	0.0	needs_paper
PRJEB9515	smoking_status	45	0.0	needs_paper
PRJEB9515	ast	45	0.0	needs_paper
PRJNA1013065	country	1	1.0	answered_by_data
PRJNA1013065	collection_date	1	1.0	answered_by_data
PRJNA1013065	isolation_source	1	1.0	answered_by_data
PRJNA1013065	host	1	0.0	needs_paper
PRJNA1013065	cf_status	1	0.0	needs_paper
PRJNA1013065	smoking_status	1	0.0	needs_paper
PRJNA1013065	ast	1	0.0	needs_paper
PRJNA1019825	country	1	1.0	answered_by_data
PRJNA1019825	collection_date	1	1.0	answered_by_data
PRJNA1019825	isolation_source	1	1.0	answered_by_data
PRJNA1019825	host	1	1.0	answered_by_data
PRJNA1019825	cf_status	1	0.0	needs_paper
