study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB21605	SAMEA104208300	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867318
PRJEB21605	SAMEA104208301	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867319
PRJEB21605	SAMEA104208302	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867320
PRJEB21605	SAMEA104208303	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867321
PRJEB21605	SAMEA104208304	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867322
PRJEB21605	SAMEA104208305	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867323
PRJEB21605	SAMEA104208306	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867324
PRJEB21605	SAMEA104208307	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867325
PRJEB21605	SAMEA104208308	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867326
PRJEB21605	SAMEA104208309	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867327
PRJEB21605	SAMEA104208310	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867328
PRJEB21605	SAMEA104208311	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867329
PRJEB21605	SAMEA104208312	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867330
PRJEB21605	SAMEA104208313	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867331
PRJEB21605	SAMEA104208314	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867332
PRJEB21605	SAMEA104208315	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867333
PRJEB21605	SAMEA104208316	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867334
PRJEB21605	SAMEA104208317	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867335
PRJEB21605	SAMEA104208318	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867336
PRJEB21605	SAMEA104208319	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867337
PRJEB21605	SAMEA104208320	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867338
PRJEB21605	SAMEA104208321	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867339
PRJEB21605	SAMEA104208322	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867340
PRJEB21605	SAMEA104208323	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867341
PRJEB21605	SAMEA104208324	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867342
PRJEB21605	SAMEA104208325	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867343
PRJEB21605	SAMEA104208326	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867344
PRJEB21605	SAMEA104208327	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867345
PRJEB21605	SAMEA104208328	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867346
PRJEB21605	SAMEA104208329	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867347
PRJEB21605	SAMEA104208330	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867348
PRJEB21605	SAMEA104208331	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867349
PRJEB21605	SAMEA104208332	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867350
PRJEB21605	SAMEA104208333	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867351
PRJEB21605	SAMEA104208334	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867352
PRJEB21605	SAMEA104208335	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867353
PRJEB21605	SAMEA104208336	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867354
PRJEB21605	SAMEA104208337	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867355
PRJEB21605	SAMEA104208338	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867356
PRJEB21605	SAMEA104208339	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867357
PRJEB21605	SAMEA104208340	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867358
PRJEB21605	SAMEA104208341	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867359
PRJEB21605	SAMEA104208342	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867360
PRJEB21605	SAMEA104208343	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867361
PRJEB21605	SAMEA104208345	country		Thailand	per_sample	PRJEB21605.csv:ERS1867363
PRJEB21605	SAMEA104208346	country		Thailand	per_sample	PRJEB21605.csv:ERS1867364
PRJEB21605	SAMEA104208347	country		Thailand	per_sample	PRJEB21605.csv:ERS1867365
PRJEB21605	SAMEA104208349	country		Thailand	per_sample	PRJEB21605.csv:ERS1867367
PRJEB21605	SAMEA104208350	country		Thailand	per_sample	PRJEB21605.csv:ERS1867368
PRJEB21605	SAMEA104208351	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867369
PRJEB21605	SAMEA104208352	country		Laos	per_sample	PRJEB21605.csv:ERS1867370
PRJEB21605	SAMEA104208353	country		Laos	per_sample	PRJEB21605.csv:ERS1867371
