field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJDB11603	45	0.0	45	covered	45
collection_date	PRJEB19808	30	0.0	30	covered	30
collection_date	PRJEB20875	38	0.0	38	covered	38
collection_date	PRJEB21015	47	0.0	47	covered	47
collection_date	PRJEB21292	33	0.0	33	covered	33
collection_date	PRJEB27508	37	0.0	37	covered	37
collection_date	PRJEB3255	42	0.0	42	covered	0
collection_date	PRJEB32657	27	0.0	27	covered	27
collection_date	PRJEB34793	49	0.0	49	covered	49
collection_date	PRJEB59858	28	0.0	28	covered	28
collection_date	PRJEB60743	38	0.0	38	covered	38
collection_date	PRJEB6688	38	0.0	38	covered	38
collection_date	PRJEB8766	44	0.568	19	covered	19
collection_date	PRJNA1071125	27	0.0	27	covered	27
collection_date	PRJNA1092272	42	0.0	42	covered	42
collection_date	PRJNA1114318	34	0.029	33	covered	0
collection_date	PRJNA728968	25	0.0	25	covered	25
collection_date	PRJEB14100	25	0.0	25	residual_per_sample	0
collection_date	PRJEB14854	31	0.0	31	residual_per_sample	0
collection_date	PRJEB25080	34	0.0	34	residual_per_sample	0
collection_date	PRJEB36919	41	0.0	41	residual_per_sample	0
collection_date	PRJEB44852	29	0.0	29	residual_per_sample	0
collection_date	PRJEB47075	26	0.615	10	residual_per_sample	0
collection_date	PRJEB50270	48	0.0	48	residual_per_sample	0
collection_date	PRJEB5132	32	0.0	32	residual_per_sample	0
collection_date	PRJEB56212	36	0.0	36	residual_per_sample	0
collection_date	PRJEB60478	41	0.0	41	residual_per_sample	0
collection_date	PRJEB9147	25	0.0	25	residual_per_sample	0
collection_date	PRJNA1000963	40	0.0	40	residual_per_sample	0
collection_date	PRJNA1092662	46	0.543	21	residual_per_sample	0
collection_date	PRJNA292902	26	0.0	26	residual_per_sample	0
collection_date	PRJNA292904	27	0.0	27	residual_per_sample	0
collection_date	PRJNA351910	27	0.0	27	residual_per_sample	0
collection_date	PRJNA508406	29	0.0	29	residual_per_sample	0
collection_date	PRJNA552297	45	0.0	45	residual_per_sample	0
