study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA591480		98	tail50_99		98		98				proxy_rowcount
PRJNA757198		97	tail50_99		97		97				proxy_rowcount
PRJNA641536		97	tail50_99		97		97				proxy_rowcount
PRJEB35890		96	tail50_99		96		96				proxy_rowcount
PRJEB50277		96	tail50_99		96		96				proxy_rowcount
PRJNA351846		95	tail50_99		95		95				proxy_rowcount
PRJEB64408		95	tail50_99		95		95				proxy_rowcount
PRJEB39942		95	tail50_99		95		95				proxy_rowcount
PRJEB9325		93	tail50_99		93		93				proxy_rowcount
PRJNA395864		93	tail50_99		93		93				proxy_rowcount
PRJNA781656		92	tail50_99		92		92				proxy_rowcount
PRJEB36392		91	tail50_99		91		91				proxy_rowcount
PRJEB8265		91	tail50_99		91		91				proxy_rowcount
PRJNA1004324		90	tail50_99		90		90				proxy_rowcount
PRJNA937403		89	tail50_99		89		89				proxy_rowcount
PRJNA1026096		88	tail50_99		88		88				proxy_rowcount
PRJEB64702		87	tail50_99		87		87				proxy_rowcount
PRJEB5495		87	tail50_99		87		87				proxy_rowcount
PRJNA488070		86	tail50_99		86		86				proxy_rowcount
PRJEB57245		85	tail50_99		85		85				proxy_rowcount
PRJNA231221		84	tail50_99		84		84				proxy_rowcount
PRJEB45369		84	tail50_99		84		84				proxy_rowcount
PRJNA237670		84	tail50_99		84		84				proxy_rowcount
PRJEB53419		84	tail50_99		84		84				proxy_rowcount
PRJNA605147		84	tail50_99		84		84				proxy_rowcount
PRJEB42526		83	tail50_99		83		83				proxy_rowcount
PRJNA289272		82	tail50_99		82		82				proxy_rowcount
PRJEB11403		82	tail50_99		82		82				proxy_rowcount
PRJEB26814		82	tail50_99		82		82				proxy_rowcount
PRJDB16654		81	tail50_99		81		81				proxy_rowcount
PRJNA342893		80	tail50_99		80		80				proxy_rowcount
PRJNA663884		80	tail50_99		80		80				proxy_rowcount
PRJEB34380		80	tail50_99		80		80				proxy_rowcount
PRJEB49056		80	tail50_99		80		80				proxy_rowcount
PRJNA1095184		78	tail50_99		78		78				proxy_rowcount
PRJNA413040		78	tail50_99		78		78				proxy_rowcount
PRJNA910977		76	tail50_99		76		76				proxy_rowcount
PRJNA389557		76	tail50_99		76		76				proxy_rowcount
PRJEB51224		76	tail50_99		76		76				proxy_rowcount
PRJEB56668		73	tail50_99		73		73				proxy_rowcount
PRJNA259658		73	tail50_99		73		73				proxy_rowcount
PRJNA1050414		72	tail50_99		72		72				proxy_rowcount
PRJNA561493		72	tail50_99		72		72				proxy_rowcount
PRJNA1061342		71	tail50_99		71		71				proxy_rowcount
PRJNA479772		71	tail50_99		71		71				proxy_rowcount
PRJNA599387		70	tail50_99		70		70				proxy_rowcount
PRJEB50346		70	tail50_99		70		70				proxy_rowcount
PRJNA355241		69	tail50_99		69		69				proxy_rowcount
PRJDB4948		69	tail50_99		69		69				proxy_rowcount
PRJEB7967		69	tail50_99		69		69				proxy_rowcount
PRJEB43945		68	tail50_99		68		68				proxy_rowcount
PRJNA778615		68	tail50_99		68		68				proxy_rowcount
PRJNA595034		67	tail50_99		67		67				proxy_rowcount
PRJNA903550		67	tail50_99		67		67				proxy_rowcount
PRJNA990326		66	tail50_99		66		66				proxy_rowcount
PRJEB26075		65	tail50_99		65		65				proxy_rowcount
PRJNA980932		65	tail50_99		65		65				proxy_rowcount
PRJEB78367		64	tail50_99		64		64				proxy_rowcount
PRJNA738476		63	tail50_99		63		63				proxy_rowcount
PRJEB51676		63	tail50_99		63		63				proxy_rowcount
PRJEB19918		63	tail50_99		63		63				proxy_rowcount
PRJNA445400		63	tail50_99		63		63				proxy_rowcount
PRJNA253300		62	tail50_99		62		62				proxy_rowcount
PRJEB49334		62	tail50_99		62		62				proxy_rowcount
PRJEB46655		61	tail50_99		61		61				proxy_rowcount
PRJNA826066		60	tail50_99		60		60				proxy_rowcount
PRJNA736690		60	tail50_99		60		60				proxy_rowcount
PRJEB66360		60	tail50_99		60		60				proxy_rowcount
PRJEB28660		59	tail50_99		59		59				proxy_rowcount
PRJEB51966		59	tail50_99		59		59				proxy_rowcount
PRJEB59403		59	tail50_99		59		59				proxy_rowcount
PRJEB30771		59	tail50_99		59		59				proxy_rowcount
PRJNA799063		59	tail50_99		59		59				proxy_rowcount
PRJNA592157		58	tail50_99		58		58				proxy_rowcount
PRJNA796567		58	tail50_99		58		58				proxy_rowcount
PRJNA329105		57	tail50_99		57		57				proxy_rowcount
PRJNA769451		56	tail50_99		56		56				proxy_rowcount
PRJNA1135353		55	tail50_99		55		55				proxy_rowcount
PRJDB6962		55	tail50_99		55		55				proxy_rowcount
PRJEB59975		54	tail50_99		54		54				proxy_rowcount
PRJNA918858		54	tail50_99		54		54				proxy_rowcount
PRJEB37933		53	tail50_99		53		53				proxy_rowcount
PRJEB18059		53	tail50_99		53		53				proxy_rowcount
PRJEB50837		52	tail50_99		52		52				proxy_rowcount
PRJNA970254		52	tail50_99		52		52				proxy_rowcount
PRJEB51225		51	tail50_99		51		51				proxy_rowcount
PRJNA945449		51	tail50_99		51		51				proxy_rowcount
PRJNA925003		51	tail50_99		51		51				proxy_rowcount
PRJNA701073		50	tail50_99		50		50				proxy_rowcount
PRJEB2655		50	tail50_99		50		50				proxy_rowcount
PRJNA643814		50	tail50_99		50		50				proxy_rowcount
PRJNA803387		50	tail50_99		50		50				proxy_rowcount
PRJEB28115		50	tail50_99		50		50				proxy_rowcount
PRJDB8311		50	tail50_99		50		50				proxy_rowcount
PRJNA415530		50	tail50_99		50		50				proxy_rowcount
