field	filled	has_gold	correct	accuracy	n_blank_fill	has_gold_blank	correct_blank_fill	acc_blank_fill	n_overwrite	has_gold_overwrite	correct_overwrite	acc_overwrite
country	3933	3686	3686	1.0	3933	3686	3686	1.0	0	0	0	
collection_date	8429	7447	7340	0.985631798039479	7771	6801	6695	0.9844140567563594	658	646	645	0.9984520123839009
isolation_source	6705	6206	5253	0.8464389300676765	5760	5285	5253	0.9939451277199621	945	921	0	0.0
host	2161	1926	1799	0.9340602284527518	2123	1888	1762	0.9332627118644068	38	38	37	0.9736842105263158
