study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB37378	SAMEA10147282	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147286	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147289	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147321	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147323	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147333	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147343	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147342	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147341	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147345	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147346	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147351	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147354	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147362	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147363	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147322	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147374	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147380	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147379	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147382	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147383	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147385	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147401	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147408	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147413	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147417	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147429	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147428	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147369	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147294	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147300	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147301	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147303	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147256	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147258	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147309	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147260	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147314	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147262	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147264	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147316	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147318	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147266	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147319	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147269	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147386	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147275	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147391	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147277	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147280	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147284	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147328	collection_date		2020-03-01	curator_escalation	curator escalation
