study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJDB4948			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJDB6962	PMC6147131		abstained	0	0	none	no joinable table
PRJDB8311			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB19918	PMC8410606		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['EMS130926-supplement-Appendix_1.pdf', 'EMS130926-supplement-Appendix_1.pdf', 'EMS130926-supplement-Appendix_2.xlsx', 'EMS130926-supplement-Appendix_2.xlsx', 'EMS130926-supplement-Appendix_2.xlsx', 'EMS130926-supplement-Appendix_2.xlsx']
PRJEB26075			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB2655	PMC3613582		abstained	0	0	none	no joinable table
PRJEB28115			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB30771			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB34380	PMC7374196	Table_1.XLSX	direct	80	160	high	mapped 80 samples, 160 cell-fills
PRJEB35890	PMC7262493		abstained	0	0	none	no joinable table
PRJEB36392	PMC10272876	mgen-9-1005-s003.xlsx	direct	45	180	high	mapped 45 samples, 180 cell-fills
PRJEB37933	PMC7724794	13073_2020_814_MOESM2_ESM.xlsx	direct	53	104	high	mapped 53 samples, 104 cell-fills
PRJEB39942	PMC8190614	mgen-7-0509-s002.xlsx	direct	95	190	high	mapped 95 samples, 190 cell-fills
PRJEB42526	PMC8772961		abstained	0	0	none	no joinable table
PRJEB43945			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB45369			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB46655	PMC9200643	mmc1.xlsx	direct	61	61	medium	mapped 61 samples, 61 cell-fills
PRJEB49056			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB49334	PMC9519440		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['41564_2022_1221_MOESM6_ESM.xlsx', '41564_2022_1221_MOESM11_ESM.xlsx', '41564_2022_1221_MOESM11_ESM.xlsx', '41564_2022_1221_MOESM5_ESM.xlsx', '41564_2022_1221_MOESM4_ESM.xlsx', '41564_2022_1221_MOESM4_ESM.xlsx', '41564_2022_1221_MOESM4_ESM.xlsx', '41564_2022_1221_MOESM1_ESM.pdf', '41564_2022_1221_MOESM7_ESM.xlsx']
PRJEB50277			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB50346			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB50837	PMC9744880	41467_2022_34970_MOESM3_ESM.xlsx	direct	52	156	high	mapped 52 samples, 156 cell-fills
PRJEB51224	PMC13259977	mmc2.xlsx	direct	70	210	high	mapped 70 samples, 210 cell-fills
PRJEB51225	PMC10569728	mgen-9-1104-s002.xlsx	direct	51	153	high	mapped 51 samples, 153 cell-fills
PRJEB51676	PMC9218594		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Data_Sheet_1.docx']
PRJEB51966	PMC11025145		abstained	0	0	none	no joinable table
PRJEB53419			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB5495			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB56668	PMC10326032	41598_2023_37821_MOESM1_ESM.xlsx	direct	73	73	medium	mapped 73 samples, 73 cell-fills; value-check rejected ['collection_date']
PRJEB57245	PMC9854421		abstained	0	0	none	no joinable table
PRJEB59403			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB59975	PMC10464136	12929_2023_960_MOESM2_ESM.xlsx	direct	54	216	high	mapped 54 samples, 216 cell-fills
PRJEB64408	PMC11101633	41467_2024_48206_MOESM6_ESM.xlsx	direct	94	188	high	mapped 94 samples, 188 cell-fills
