study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB34380	SAMEA5951280	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739764
PRJEB34380	SAMEA5951281	collection_date		2017-12-07 09:06:00	per_sample	Table_1.XLSX:ERS3739765
PRJEB34380	SAMEA5951281	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739765
PRJEB34380	SAMEA5951282	collection_date		2017-12-13 03:26:00	per_sample	Table_1.XLSX:ERS3739766
PRJEB34380	SAMEA5951282	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739766
PRJEB34380	SAMEA5951283	collection_date		2018-01-13 14:27:00	per_sample	Table_1.XLSX:ERS3739767
PRJEB34380	SAMEA5951283	isolation_source		tracheal_aspirate	per_sample	Table_1.XLSX:ERS3739767
PRJEB34380	SAMEA5951284	collection_date		2017-11-26 18:42:00	per_sample	Table_1.XLSX:ERS3739768
PRJEB34380	SAMEA5951284	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739768
PRJEB34380	SAMEA5951285	collection_date		2018-05-07 11:41:00	per_sample	Table_1.XLSX:ERS3739769
PRJEB34380	SAMEA5951285	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739769
PRJEB34380	SAMEA5951286	collection_date		2017-12-11 09:04:00	per_sample	Table_1.XLSX:ERS3739770
PRJEB34380	SAMEA5951286	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739770
PRJEB34380	SAMEA5951287	collection_date		2017-12-26 13:23:00	per_sample	Table_1.XLSX:ERS3739771
PRJEB34380	SAMEA5951287	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739771
PRJEB34380	SAMEA5951288	collection_date		2018-07-03 07:46:00	per_sample	Table_1.XLSX:ERS3739772
PRJEB34380	SAMEA5951288	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739772
PRJEB34380	SAMEA5951289	collection_date		2018-01-28 12:46:00	per_sample	Table_1.XLSX:ERS3739773
PRJEB34380	SAMEA5951289	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739773
PRJEB34380	SAMEA5951290	collection_date		2018-02-19 12:01:00	per_sample	Table_1.XLSX:ERS3739774
PRJEB34380	SAMEA5951290	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739774
PRJEB34380	SAMEA5951291	collection_date		2018-01-23 19:13:00	per_sample	Table_1.XLSX:ERS3739775
PRJEB34380	SAMEA5951291	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739775
PRJEB34380	SAMEA5951292	collection_date		2018-02-05 21:32:00	per_sample	Table_1.XLSX:ERS3739776
PRJEB34380	SAMEA5951292	isolation_source		pleural_fluid	per_sample	Table_1.XLSX:ERS3739776
PRJEB34380	SAMEA5951293	collection_date		2018-02-04 14:03:00	per_sample	Table_1.XLSX:ERS3739777
