gca_bare	species
GCA_022438345	Klebsiella pneumoniae
GCA_022438765	Klebsiella pneumoniae
GCA_022677365	Klebsiella pneumoniae
GCA_023979195	Klebsiella pneumoniae
GCA_023977795	Klebsiella pneumoniae
GCA_023777335	Klebsiella pneumoniae
GCA_023979015	Klebsiella pneumoniae
GCA_023775075	Klebsiella pneumoniae
GCA_023776515	Klebsiella pneumoniae
GCA_023780405	Klebsiella pneumoniae
GCA_023825415	Klebsiella pneumoniae
GCA_023781735	Klebsiella pneumoniae
GCA_023824995	Klebsiella pneumoniae
GCA_023825015	Klebsiella pneumoniae
GCA_023825055	Klebsiella pneumoniae
GCA_023825375	Klebsiella pneumoniae
GCA_023826075	Klebsiella pneumoniae
GCA_023826515	Klebsiella pneumoniae
GCA_023779685	Klebsiella pneumoniae
GCA_023782865	Klebsiella pneumoniae
GCA_023874285	Klebsiella pneumoniae
GCA_023874325	Klebsiella pneumoniae
GCA_023874345	Klebsiella pneumoniae
GCA_023405435	Klebsiella pneumoniae
GCA_023781755	Klebsiella pneumoniae
GCA_023781715	Klebsiella pneumoniae
GCA_023400465	Klebsiella pneumoniae
GCA_023978935	Klebsiella pneumoniae
GCA_023977755	Klebsiella pneumoniae
GCA_023978995	Klebsiella pneumoniae
GCA_023037515	Klebsiella pneumoniae
GCA_023978895	Klebsiella pneumoniae
GCA_023040815	Klebsiella pneumoniae
GCA_023978915	Klebsiella pneumoniae
GCA_023453315	Klebsiella pneumoniae
GCA_023041495	Klebsiella pneumoniae
GCA_023368875	Klebsiella pneumoniae
GCA_023978795	Klebsiella pneumoniae
GCA_023979135	Klebsiella pneumoniae
GCA_023978735	Klebsiella pneumoniae
GCA_023036455	Klebsiella pneumoniae
GCA_023455255	Klebsiella pneumoniae
GCA_023978975	Klebsiella pneumoniae
GCA_023978835	Klebsiella pneumoniae
GCA_023979035	Klebsiella quasipneumoniae
GCA_023979095	Klebsiella variicola
GCA_023041735	Klebsiella aerogenes
GCA_023038055	Klebsiella aerogenes
GCA_052979265	Klebsiella pneumoniae
GCA_947662745	Klebsiella pneumoniae
GCA_052980535	Klebsiella pneumoniae
GCA_052979385	Klebsiella pneumoniae
GCA_052978945	Klebsiella pneumoniae
GCA_947663175	Klebsiella pneumoniae
GCA_052979485	Klebsiella pneumoniae
GCA_052979585	Klebsiella pneumoniae
GCA_947662215	Klebsiella pneumoniae
GCA_052979225	Klebsiella pneumoniae
GCA_052979565	Klebsiella pneumoniae
GCA_947662245	Klebsiella pneumoniae
GCA_052979955	Klebsiella pneumoniae
