study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJDB4948			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJDB6962	PMC6147131		abstained	0	0	none	no joinable table
PRJDB8311			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB19918	PMC8410606		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['EMS130926-supplement-Appendix_1.pdf', 'EMS130926-supplement-Appendix_1.pdf', 'EMS130926-supplement-Appendix_2.xlsx', 'EMS130926-supplement-Appendix_2.xlsx', 'EMS130926-supplement-Appendix_2.xlsx', 'EMS130926-supplement-Appendix_2.xlsx']
PRJEB26075			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB2655	PMC3613582		abstained	0	0	none	no joinable table
PRJEB28115			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB30771			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB34380	PMC7374196	Table_1.XLSX	direct	80	80	high	mapped 80 samples, 160 cell-fills; overwrite guard: 80/160 fills kept; kept ENA over table on collection_date×80
PRJEB35890	PMC7262493		abstained	0	0	none	no joinable table
PRJEB36392	PMC10272876	mgen-9-1005-s003.xlsx	direct	45	45	high	mapped 45 samples, 180 cell-fills; overwrite guard: 45/180 fills kept; kept ENA over table on country×45, isolation_source×45; dropped 45 invalid ({'collection_date': 45})
PRJEB37933	PMC7724794	13073_2020_814_MOESM2_ESM.xlsx	abstained	53	0	high	mapped 53 samples, 104 cell-fills; overwrite guard: 0/104 fills kept; kept ENA over table on collection_date×52, isolation_source×52
PRJEB39942	PMC8190614	mgen-7-0509-s002.xlsx	direct	95	191	high	mapped 95 samples, 285 cell-fills; rescued ['country=vocab', 'host=vocab']; overwrite guard: 191/285 fills kept; overwrote collection_date×1(more-specific); kept ENA over table on collection_date×94
PRJEB42526	PMC8772961	PRJEB42526.xlsx	direct	6	12	high	mapped 6 samples, 12 cell-fills; rescued ['isolation_source=vocab']
PRJEB43945			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB45369			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
