field	dropped_value	n_cells
isolation_source	laboratory	50
isolation_source	laboratory culture after 20 days induced resistance against Polymyxin B	16
isolation_source	laboratory culture after 20 days induced resistance against Octapeptin C4	16
isolation_source	laboratory culture after 20 days induced resistance against Colistin	16
isolation_source	Others	3
