study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB34380	SAMEA5951314	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739798
PRJEB34380	SAMEA5951315	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739799
PRJEB34380	SAMEA5951316	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739800
PRJEB34380	SAMEA5951317	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739801
PRJEB34380	SAMEA5951318	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739802
PRJEB34380	SAMEA5951319	isolation_source		tracheal_aspirate	per_sample	Table_1.XLSX:ERS3739803
PRJEB34380	SAMEA5951320	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739804
PRJEB34380	SAMEA5951321	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739805
PRJEB34380	SAMEA5951322	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739806
PRJEB34380	SAMEA5951323	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739807
PRJEB34380	SAMEA5951324	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739808
PRJEB34380	SAMEA5951325	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739809
PRJEB34380	SAMEA5951326	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739810
PRJEB34380	SAMEA5951327	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739811
PRJEB34380	SAMEA5951328	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739812
PRJEB34380	SAMEA5951329	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739813
PRJEB34380	SAMEA5951330	isolation_source		tracheal_aspirate	per_sample	Table_1.XLSX:ERS3739814
PRJEB36392	SAMEA111533207	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533207
PRJEB36392	SAMEA111533209	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533209
PRJEB36392	SAMEA111533211	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533211
PRJEB36392	SAMEA111533213	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533213
PRJEB36392	SAMEA111533215	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533215
PRJEB36392	SAMEA111533217	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533217
PRJEB36392	SAMEA111533219	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533219
PRJEB36392	SAMEA111533221	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533221
PRJEB36392	SAMEA111533223	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533223
PRJEB36392	SAMEA111533225	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533225
PRJEB36392	SAMEA111533227	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533227
PRJEB36392	SAMEA111533229	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533229
PRJEB36392	SAMEA111533231	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533231
PRJEB36392	SAMEA111533233	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533233
PRJEB36392	SAMEA111533235	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533235
PRJEB36392	SAMEA111533237	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533237
PRJEB36392	SAMEA111533239	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533239
PRJEB36392	SAMEA111533241	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533241
PRJEB36392	SAMEA111533245	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533245
PRJEB36392	SAMEA111533247	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533247
PRJEB36392	SAMEA111533249	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533249
PRJEB36392	SAMEA111533251	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533251
PRJEB36392	SAMEA111533253	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533253
PRJEB36392	SAMEA111533255	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533255
PRJEB36392	SAMEA111533257	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533257
