study_accession	sample_accession	field	ena_value	filled_value	source
PRJEB37378	SAMEA10147428	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147369	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147294	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147300	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147301	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147303	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147256	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147258	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147309	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147260	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147314	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147262	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147264	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147316	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147318	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147266	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147319	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147269	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147386	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147275	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147391	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147277	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147280	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147284	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147328	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147329	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147331	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147330	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147334	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147338	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147340	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147344	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147349	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147350	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147352	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147356	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147355	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147359	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147358	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147364	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147365	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147376	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147375	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147377	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147378	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147315	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147393	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147410	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147419	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147422	country		Malawi	curator_escalation
PRJEB29740	SAMEA9800456	country		India	per_sample
PRJEB29740	SAMEA9800457	country		India	per_sample
PRJEB29740	SAMEA9800459	country		India	per_sample
PRJEB29740	SAMEA9800461	country		India	per_sample
PRJEB29740	SAMEA9800464	country		India	per_sample
PRJEB29740	SAMEA9800469	country		India	per_sample
PRJEB29740	SAMEA9800488	country		India	per_sample
PRJEB29740	SAMEA9800491	country		India	per_sample
PRJEB29740	SAMEA9800498	country		India	per_sample
PRJEB29740	SAMEA9800502	country		India	per_sample
PRJEB29740	SAMEA9800568	country		India	per_sample
PRJEB29740	SAMEA9800582	country		India	per_sample
PRJEB29740	SAMEA9800583	country		India	per_sample
PRJEB29740	SAMEA9800587	country		India	per_sample
PRJEB29740	SAMEA9800592	country		India	per_sample
PRJEB29740	SAMEA9800597	country		India	per_sample
PRJEB29740	SAMEA9800601	country		India	per_sample
PRJEB29740	SAMEA9800604	country		India	per_sample
PRJEB29740	SAMEA9800605	country		India	per_sample
PRJEB29740	SAMEA9800611	country		India	per_sample
PRJEB29740	SAMEA9800621	country		India	per_sample
PRJEB29740	SAMEA9800365	country		India	per_sample
PRJEB29740	SAMEA9800359	country		India	per_sample
PRJEB29740	SAMEA9800361	country		India	per_sample
PRJEB29740	SAMEA9800379	country		India	per_sample
PRJEB29740	SAMEA9800384	country		India	per_sample
PRJEB29740	SAMEA9800386	country		India	whole_field
PRJEB29740	SAMEA9800368	country		India	per_sample
PRJEB29740	SAMEA9800370	country		India	per_sample
PRJEB29740	SAMEA9800393	country		India	per_sample
PRJEB29740	SAMEA9800372	country		India	per_sample
PRJEB29740	SAMEA9800402	country		India	per_sample
PRJEB29740	SAMEA9800403	country		India	per_sample
PRJEB29740	SAMEA9800389	country		India	per_sample
PRJEB29740	SAMEA9800404	country		India	per_sample
PRJEB29740	SAMEA9800391	country		India	per_sample
PRJEB29740	SAMEA9800395	country		India	per_sample
