study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJDB11603	SAMD00320781	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320781 (rescued 'Soil-Agar')
PRJDB11603	SAMD00320838	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320838 (rescued 'Soil-Agar')
PRJDB11603	SAMD00320844	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320844 (rescued 'Soil-Agar')
PRJDB11603	SAMD00320864	isolation_source		Lake Sanaru	per_sample	mgen-9-1043-s002.xlsx:SAMD00320864 (rescued 'Lake-Sanaru-LBAgar')
PRJDB11603	SAMD00320874	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320874 (rescued 'Soil-Agar')
PRJDB11603	SAMD00320883	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320883 (rescued 'Soil-Agar')
PRJDB11603	SAMD00320942	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320942 (rescued 'Soil-LBAgar')
PRJDB11603	SAMD00320945	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320945 (rescued 'Soil-LBAgar')
PRJDB11603	SAMD00320947	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320947 (rescued 'Soil-LBAgar')
PRJDB11603	SAMD00320964	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320964 (rescued 'Soil-LBAgar')
PRJDB11603	SAMD00320977	isolation_source		soil	per_sample	mgen-9-1043-s002.xlsx:SAMD00320977 (rescued 'Soil-LBAgar')
PRJEB3255	SAMEA1711398	collection_date		1932	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711441	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711406	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711424	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
