study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJEB34793	PMC7005322		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['41467_2020_14570_MOESM1_ESM.pdf', '41467_2020_14570_MOESM1_ESM.pdf', '41467_2020_14570_MOESM2_ESM.pdf', '41467_2020_14570_MOESM2_ESM.pdf', '41467_2020_14570_MOESM2_ESM.pdf', '41467_2020_14570_MOESM4_ESM.xlsx']
PRJEB35248	PMC8598304		abstained	0	0	none	no joinable table
PRJEB36171	PMC6987216	41598_2020_57742_MOESM1_ESM.pdf	abstained	31	0	medium	mapped 31 samples, 31 cell-fills; rescued ['country=vocab']; value-check rejected ['country']; overwrite guard: 0/31 fills kept; kept ENA over table on country×31
PRJEB36919			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB37523	PMC7192099		abstained	0	0	none	no joinable table
PRJEB40571	PMC8477410		abstained	0	0	none	no joinable table
PRJEB41225	PMC8849082		abstained	0	0	none	no joinable table
PRJEB42370	PMC12164281		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['2400590_SupplementaryMaterial_1.pdf']
PRJEB43549	PMC12164281		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['2400590_SupplementaryMaterial_1.pdf']
PRJEB43550	PMC12164281		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['2400590_SupplementaryMaterial_1.pdf']
PRJEB44852			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB44864	PMC9430602	spectrum.01009-22-s0001.pdf	direct	18	18	medium	mapped 18 samples, 18 cell-fills; value-check rejected ['isolation_source']
PRJEB47075	PMC8605564	12866_2021_2388_MOESM2_ESM.docx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['12866_2021_2388_MOESM1_ESM.xlsx']
PRJEB50270	PMC9007738		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM3_ESM.xlsx', '41592_2022_1431_MOESM7_ESM.tsv', '41592_2022_1431_MOESM8_ESM.tsv', '41592_2022_1431_MOESM6_ESM.tsv']
PRJEB5132			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
