study_accession	paper_short_title	n_isolates	fold	seed
PRJEB37779		4	sub10	
PRJEB8104		4	sub10	
PRJNA445372		4	sub10	
PRJEB37902		4	sub10	
PRJNA493667		4	sub10	
PRJEB14532		4	sub10	
PRJNA529243		4	sub10	
PRJNA980722		4	sub10	
PRJNA650119		4	sub10	
PRJNA687988		4	sub10	
PRJNA981541		4	sub10	
PRJDB5117		4	sub10	
PRJNA1067287		4	sub10	
PRJNA622828		4	sub10	
PRJNA664586		4	sub10	
PRJNA982891		4	sub10	
PRJNA983061		4	sub10	
PRJNA531517		4	sub10	
PRJNA564151		4	sub10	
PRJNA723854		4	sub10	
PRJEB32700		4	sub10	
PRJNA953359		4	sub10	
PRJNA739632		4	sub10	
PRJNA736994		4	sub10	
PRJNA1037744		4	sub10	
PRJNA1102902		4	sub10	
PRJNA996143		4	sub10	
PRJNA639351		4	sub10	
PRJNA952959		4	sub10	
PRJNA673369		3	sub10	
PRJNA809422		3	sub10	
PRJNA354234		3	sub10	
PRJNA354216		3	sub10	
PRJEB13304		3	sub10	
PRJNA339728		3	sub10	
PRJNA357722		3	sub10	
PRJNA680857		3	sub10	
PRJNA641131		3	sub10	
PRJNA656584		3	sub10	
PRJNA843571		3	sub10	
PRJNA631981		3	sub10	
PRJNA636411		3	sub10	
PRJNA269984		3	sub10	
PRJNA860216		3	sub10	
PRJNA851446		3	sub10	
PRJNA847761		3	sub10	
PRJEB20997		3	sub10	
PRJNA604100		3	sub10	
PRJNA615899		3	sub10	
PRJNA1125279		3	sub10	
PRJNA645311		3	sub10	
PRJNA607307		3	sub10	
PRJEB55839		3	sub10	
PRJNA186035		3	sub10	
PRJNA374677		3	sub10	
PRJNA1029998		3	sub10	
PRJEB63064		3	sub10	
PRJNA1099652		3	sub10	
PRJNA512885		3	sub10	
PRJNA746285		3	sub10	
PRJNA746575		3	sub10	
PRJNA508495		3	sub10	
PRJNA730402		3	sub10	
PRJNA1020811		3	sub10	
PRJNA482007		3	sub10	
PRJNA481356		3	sub10	
PRJNA534306		3	sub10	
PRJNA477326		3	sub10	
PRJDB9688		3	sub10	
PRJNA768347		3	sub10	
PRJNA717003		3	sub10	
PRJNA1086703		3	sub10	
PRJNA774508		3	sub10	
PRJEB12513		3	sub10	
PRJNA450215		3	sub10	
PRJNA1100498		3	sub10	
PRJNA553302		3	sub10	
PRJEB8302		3	sub10	
PRJDB17235		3	sub10	
PRJNA687343		3	sub10	
PRJNA432294		3	sub10	
PRJEB74697		3	sub10	
PRJNA1031676		3	sub10	
PRJNA686374		3	sub10	
PRJEB12361		3	sub10	
PRJNA392853		3	sub10	
PRJNA793783		3	sub10	
PRJEB6921		3	sub10	
PRJEB73531		3	sub10	
PRJNA635912		3	sub10	
PRJNA243331		3	sub10	
PRJNA877287		3	sub10	
PRJEB24657		3	sub10	
PRJNA248593		3	sub10	
PRJNA906295		3	sub10	
PRJNA907796		3	sub10	
PRJNA910533		3	sub10	
PRJEB27805		3	sub10	
PRJNA930651		3	sub10	
PRJEB31941		3	sub10	
PRJEB30066		3	sub10	
PRJNA912639		3	sub10	
PRJNA931241		3	sub10	
PRJNA896194		3	sub10	
PRJNA892272		3	sub10	
PRJNA917544		3	sub10	
PRJDB7066		2	sub10	
PRJNA383436		2	sub10	
PRJNA543860		2	sub10	
PRJEB35623		2	sub10	
PRJNA793885		2	sub10	
PRJNA596289		2	sub10	
PRJEB14648		2	sub10	
PRJDB9124		2	sub10	
PRJNA530794		2	sub10	
PRJNA392935		2	sub10	
PRJNA393721		2	sub10	
PRJNA246471,PRJNA353060		2	sub10	
