study_accession	paper_short_title	n_isolates	fold	seed
PRJNA234170		1	sub10	
PRJNA234172		1	sub10	
PRJNA234186		1	sub10	
PRJNA234173		1	sub10	
PRJNA234174		1	sub10	
PRJNA234175		1	sub10	
PRJNA234176		1	sub10	
PRJNA234177		1	sub10	
PRJNA234178		1	sub10	
PRJNA234179		1	sub10	
PRJNA234180		1	sub10	
PRJNA234181		1	sub10	
PRJNA234182		1	sub10	
PRJNA234183		1	sub10	
PRJNA234184		1	sub10	
PRJNA234185		1	sub10	
PRJNA234219		1	sub10	
PRJNA234220		1	sub10	
PRJNA234221		1	sub10	
PRJNA265232		1	sub10	
PRJNA234265		1	sub10	
PRJNA234132		1	sub10	
PRJNA244068		1	sub10	
PRJNA244547		1	sub10	
PRJNA244567		1	sub10	
PRJNA234129		1	sub10	
PRJNA234128		1	sub10	
PRJNA234123		1	sub10	
PRJNA234122		1	sub10	
PRJNA259683		1	sub10	
PRJNA234120		1	sub10	
PRJNA263062		1	sub10	
PRJNA265231		1	sub10	
PRJNA265233		1	sub10	
PRJNA234222		1	sub10	
PRJNA265234		1	sub10	
PRJNA265235		1	sub10	
PRJNA265236		1	sub10	
PRJNA265237		1	sub10	
PRJNA265240		1	sub10	
PRJNA265241		1	sub10	
PRJNA265242		1	sub10	
PRJNA265243		1	sub10	
PRJNA265244		1	sub10	
PRJNA265245		1	sub10	
PRJNA265246		1	sub10	
PRJNA265247		1	sub10	
PRJNA265248		1	sub10	
PRJNA234264		1	sub10	
PRJNA234263		1	sub10	
PRJNA234262		1	sub10	
PRJNA234261		1	sub10	
PRJNA234223		1	sub10	
PRJNA234224		1	sub10	
PRJNA234225		1	sub10	
PRJNA234226		1	sub10	
PRJNA234227		1	sub10	
PRJNA234228		1	sub10	
PRJNA234229		1	sub10	
PRJNA234230		1	sub10	
PRJNA234231		1	sub10	
PRJNA234232		1	sub10	
PRJNA234233		1	sub10	
PRJNA234234		1	sub10	
PRJNA234235		1	sub10	
PRJNA234236		1	sub10	
PRJNA234239		1	sub10	
PRJNA234240		1	sub10	
PRJNA234241		1	sub10	
PRJNA234242		1	sub10	
PRJNA234243		1	sub10	
PRJNA234244		1	sub10	
PRJNA234245		1	sub10	
PRJNA234249		1	sub10	
PRJNA234250		1	sub10	
PRJNA234251		1	sub10	
PRJNA234258		1	sub10	
PRJNA234259		1	sub10	
PRJNA234260		1	sub10	
PRJNA212649		1	sub10	
PRJNA212643		1	sub10	
PRJNA634081		1	sub10	
PRJNA564369		1	sub10	
PRJNA555206		1	sub10	
PRJNA555326		1	sub10	
PRJNA197002		1	sub10	
PRJNA195754		1	sub10	
PRJNA557206		1	sub10	
PRJNA193169		1	sub10	
PRJNA193168		1	sub10	
PRJNA193167		1	sub10	
PRJNA193165		1	sub10	
PRJNA193164		1	sub10	
PRJNA193163		1	sub10	
PRJNA562727		1	sub10	
PRJNA193162		1	sub10	
PRJDB8047		1	sub10	
PRJNA198783		1	sub10	
PRJNA193161		1	sub10	
PRJNA193160		1	sub10	
PRJNA187326		1	sub10	
PRJNA187325		1	sub10	
PRJNA576510		1	sub10	
PRJDB7087		1	sub10	
PRJNA577539		1	sub10	
PRJNA187324		1	sub10	
PRJNA587424		1	sub10	
PRJNA587429		1	sub10	
PRJNA587430		1	sub10	
PRJNA587433		1	sub10	
PRJNA587434		1	sub10	
PRJNA553808		1	sub10	
PRJNA553055		1	sub10	
PRJNA201951		1	sub10	
PRJNA545744		1	sub10	
PRJNA201950		1	sub10	
PRJNA531554		1	sub10	
PRJNA531724		1	sub10	
PRJNA201947		1	sub10	
PRJNA201946		1	sub10	
PRJNA201945		1	sub10	
PRJNA534097		1	sub10	
PRJNA542320		1	sub10	
PRJNA201944		1	sub10	
PRJNA543187		1	sub10	
PRJDB9227		1	sub10	
PRJNA544642		1	sub10	
PRJNA545001		1	sub10	
PRJNA545745		1	sub10	
PRJNA552487		1	sub10	
PRJNA545764		1	sub10	
PRJNA547184		1	sub10	
PRJNA201943		1	sub10	
PRJNA201942		1	sub10	
PRJNA201936		1	sub10	
PRJNA549563		1	sub10	
PRJNA201935		1	sub10	
PRJNA550349		1	sub10	
PRJNA201934		1	sub10	
PRJNA201933		1	sub10	
PRJNA201932		1	sub10	
PRJNA552311		1	sub10	
PRJNA198784		1	sub10	
PRJNA587435		1	sub10	
PRJNA587436		1	sub10	
PRJNA587438		1	sub10	
PRJNA612869		1	sub10	
PRJDB6797		1	sub10	
PRJNA604918		1	sub10	
PRJNA187309		1	sub10	
PRJNA187308		1	sub10	
PRJNA187307		1	sub10	
PRJNA187306		1	sub10	
PRJNA187305		1	sub10	
PRJNA607902		1	sub10	
PRJNA187304		1	sub10	
PRJNA609701		1	sub10	
PRJNA187303		1	sub10	
PRJNA611005		1	sub10	
PRJNA187302		1	sub10	
PRJNA187301		1	sub10	
PRJNA587439		1	sub10	
PRJNA613320		1	sub10	
PRJNA187300		1	sub10	
PRJNA187299		1	sub10	
PRJNA187298		1	sub10	
PRJNA614986		1	sub10	
PRJNA616452		1	sub10	
PRJNA187297		1	sub10	
PRJNA187296		1	sub10	
PRJNA187295		1	sub10	
PRJNA628847		1	sub10	
PRJNA187294		1	sub10	
PRJNA187293		1	sub10	
PRJDB5948		1	sub10	
PRJNA234135		1	sub10	
PRJNA604394		1	sub10	
PRJNA187310		1	sub10	
PRJNA601835		1	sub10	
PRJNA587440		1	sub10	
PRJNA587512		1	sub10	
PRJNA588411		1	sub10	
PRJNA187323		1	sub10	
PRJNA187322		1	sub10	
PRJNA589638		1	sub10	
PRJNA589639		1	sub10	
PRJNA187321		1	sub10	
PRJNA187320		1	sub10	
PRJNA591409		1	sub10	
PRJNA187319		1	sub10	
PRJNA187318		1	sub10	
PRJNA592166		1	sub10	
PRJNA593244		1	sub10	
PRJNA593604		1	sub10	
PRJNA187317		1	sub10	
PRJNA594546		1	sub10	
PRJNA594627		1	sub10	
PRJNA187316		1	sub10	
PRJNA187315		1	sub10	
PRJNA595838		1	sub10	
PRJNA187314		1	sub10	
PRJNA187313		1	sub10	
PRJNA598939		1	sub10	
PRJNA187312		1	sub10	
PRJNA600386		1	sub10	
PRJNA187311		1	sub10	
PRJNA530250		1	sub10	
PRJNA201955		1	sub10	
PRJNA398365		1	sub10	
PRJNA202017		1	sub10	
PRJNA454281		1	sub10	
PRJNA456216		1	sub10	
PRJNA456219		1	sub10	
PRJNA463112		1	sub10	
PRJNA464397		1	sub10	
PRJNA470581		1	sub10	
PRJNA471164		1	sub10	
PRJNA471737		1	sub10	
PRJNA47211,PRJNA47257,PRJNA47225,PRJNA47209,PRJNA47275,PRJNA47263,PRJNA47223,PRJNA47217,PRJNA47267,PRJNA47259,PRJNA47271,PRJNA47229		1	sub10	
PRJNA472563		1	sub10	
PRJNA202018		1	sub10	
PRJNA474898		1	sub10	
PRJNA474907		1	sub10	
PRJNA202016		1	sub10	
PRJNA202023		1	sub10	
PRJNA477005		1	sub10	
PRJNA477444		1	sub10	
PRJNA478289		1	sub10	
PRJNA202015		1	sub10	
PRJNA480281		1	sub10	
PRJNA480797		1	sub10	
PRJNA481972		1	sub10	
PRJNA202014		1	sub10	
PRJNA483246		1	sub10	
PRJNA202013		1	sub10	
PRJNA202012		1	sub10	
PRJNA485518		1	sub10	
PRJNA202009		1	sub10	
PRJNA202020		1	sub10	
PRJNA449090		1	sub10	
PRJNA201956		1	sub10	
PRJNA428749		1	sub10	
PRJNA40025		1	sub10	
PRJNA40049		1	sub10	
PRJNA407116		1	sub10	
PRJNA203445		1	sub10	
PRJEB11503		1	sub10	
PRJNA412918		1	sub10	
PRJNA202895		1	sub10	
PRJNA202053		1	sub10	
PRJNA414678		1	sub10	
PRJNA202052		1	sub10	
PRJNA202048		1	sub10	
PRJNA420100		1	sub10	
PRJNA202047		1	sub10	
PRJNA202046		1	sub10	
PRJNA202024		1	sub10	
PRJNA429995		1	sub10	
PRJNA202045		1	sub10	
PRJNA202043		1	sub10	
PRJNA202042		1	sub10	
PRJNA431464		1	sub10	
PRJNA202036		1	sub10	
PRJNA202035		1	sub10	
PRJNA202034		1	sub10	
PRJNA202033		1	sub10	
PRJNA202032		1	sub10	
PRJNA202026		1	sub10	
PRJNA202025		1	sub10	
PRJNA445318		1	sub10	
PRJNA202008		1	sub10	
PRJNA202006		1	sub10	
PRJNA202005		1	sub10	
PRJNA201967,PRJNA201954		1	sub10	
PRJNA521038		1	sub10	
PRJNA52135		1	sub10	
PRJNA52137		1	sub10	
PRJNA52139		1	sub10	
PRJNA52141		1	sub10	
PRJNA52143		1	sub10	
PRJNA52145		1	sub10	
PRJNA52149		1	sub10	
PRJNA52151		1	sub10	
PRJNA52153		1	sub10	
PRJNA521748		1	sub10	
PRJNA201968		1	sub10	
PRJNA522830		1	sub10	
PRJNA201966		1	sub10	
PRJNA494961		1	sub10	
PRJNA201965		1	sub10	
PRJNA201964		1	sub10	
PRJNA201963		1	sub10	
PRJNA201962		1	sub10	
PRJNA201961		1	sub10	
PRJNA201960		1	sub10	
PRJNA526408		1	sub10	
PRJNA201959		1	sub10	
PRJNA527940		1	sub10	
PRJNA201958,PRJNA201967		1	sub10	
PRJNA528367		1	sub10	
PRJNA201957		1	sub10	
PRJNA529261		1	sub10	
PRJNA201970		1	sub10	
PRJNA513350		1	sub10	
PRJNA201974		1	sub10	
PRJNA201978		1	sub10	
PRJNA202002		1	sub10	
PRJNA202001		1	sub10	
PRJNA202000		1	sub10	
PRJNA201999		1	sub10	
PRJNA499494		1	sub10	
PRJNA500331		1	sub10	
PRJNA501401		1	sub10	
PRJNA501405		1	sub10	
PRJNA501406		1	sub10	
PRJNA501409		1	sub10	
PRJNA501412		1	sub10	
PRJNA503173		1	sub10	
PRJNA503825		1	sub10	
PRJNA201994		1	sub10	
PRJNA201991		1	sub10	
PRJNA505478		1	sub10	
PRJNA201990		1	sub10	
PRJNA201989		1	sub10	
PRJNA201987		1	sub10	
PRJNA201985		1	sub10	
PRJNA201984		1	sub10	
PRJNA201981		1	sub10	
PRJNA511518		1	sub10	
PRJNA511522		1	sub10	
PRJNA511523		1	sub10	
PRJNA511524		1	sub10	
PRJNA511525		1	sub10	
PRJNA265268		1	sub10	
