study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA907528		6	sub10		6		6				proxy_rowcount
PRJNA690196		6	sub10		6		6				proxy_rowcount
PRJNA374958		6	sub10		6		6				proxy_rowcount
PRJNA1101420		6	sub10		6		6				proxy_rowcount
PRJNA824073		6	sub10		6		6				proxy_rowcount
PRJEB29745		6	sub10		6		6				proxy_rowcount
PRJNA499091		6	sub10		6		6				proxy_rowcount
PRJNA504930		6	sub10		6		6				proxy_rowcount
PRJEB23315		6	sub10		6		6				proxy_rowcount
PRJNA184888		6	sub10		6		6				proxy_rowcount
PRJEB40388		6	sub10		6		6				proxy_rowcount
PRJNA916215		6	sub10		6		6				proxy_rowcount
PRJNA489399		5	sub10		5		5				proxy_rowcount
PRJNA588474		5	sub10		5		5				proxy_rowcount
PRJNA523427		5	sub10		5		5				proxy_rowcount
PRJNA716285		5	sub10		5		5				proxy_rowcount
PRJNA485367		5	sub10		5		5				proxy_rowcount
PRJNA942324		5	sub10		5		5				proxy_rowcount
PRJNA664089		5	sub10		5		5				proxy_rowcount
PRJNA762607		5	sub10		5		5				proxy_rowcount
PRJNA941224		5	sub10		5		5				proxy_rowcount
PRJNA853524		5	sub10		5		5				proxy_rowcount
PRJNA838568		5	sub10		5		5				proxy_rowcount
PRJNA593981		5	sub10		5		5				proxy_rowcount
PRJNA565663		5	sub10		5		5				proxy_rowcount
PRJNA551327		5	sub10		5		5				proxy_rowcount
PRJNA875629		5	sub10		5		5				proxy_rowcount
PRJNA691968		5	sub10		5		5				proxy_rowcount
PRJNA491527		5	sub10		5		5				proxy_rowcount
PRJNA296604		5	sub10		5		5				proxy_rowcount
PRJNA657522		5	sub10		5		5				proxy_rowcount
PRJNA733494		5	sub10		5		5				proxy_rowcount
PRJNA802088		5	sub10		5		5				proxy_rowcount
PRJNA776301		5	sub10		5		5				proxy_rowcount
PRJNA715300		5	sub10		5		5				proxy_rowcount
PRJNA882601		5	sub10		5		5				proxy_rowcount
PRJNA613075		5	sub10		5		5				proxy_rowcount
PRJNA992043		5	sub10		5		5				proxy_rowcount
PRJNA636185		5	sub10		5		5				proxy_rowcount
PRJNA824074		5	sub10		5		5				proxy_rowcount
PRJNA628576		5	sub10		5		5				proxy_rowcount
PRJDB7330		5	sub10		5		5				proxy_rowcount
PRJEB26081		5	sub10		5		5				proxy_rowcount
PRJNA1023934		5	sub10		5		5				proxy_rowcount
PRJEB59337		5	sub10		5		5				proxy_rowcount
PRJEB23879		5	sub10		5		5				proxy_rowcount
PRJNA1063361		5	sub10		5		5				proxy_rowcount
PRJNA1106484		5	sub10		5		5				proxy_rowcount
PRJNA1123194		5	sub10		5		5				proxy_rowcount
PRJNA1058428		5	sub10		5		5				proxy_rowcount
PRJEB23294		5	sub10		5		5				proxy_rowcount
PRJEB29928		5	sub10		5		5				proxy_rowcount
PRJEB71832		5	sub10		5		5				proxy_rowcount
PRJNA1049776		5	sub10		5		5				proxy_rowcount
PRJEB61660		5	sub10		5		5				proxy_rowcount
PRJEB39204		5	sub10		5		5				proxy_rowcount
PRJNA1019652		5	sub10		5		5				proxy_rowcount
PRJNA1134078		5	sub10		5		5				proxy_rowcount
PRJEB58617		5	sub10		5		5				proxy_rowcount
PRJEB43637		5	sub10		5		5				proxy_rowcount
PRJEB34513		5	sub10		5		5				proxy_rowcount
PRJEB19657		5	sub10		5		5				proxy_rowcount
PRJEB54871		5	sub10		5		5				proxy_rowcount
PRJEB43940		5	sub10		5		5				proxy_rowcount
PRJEB41009		5	sub10		5		5				proxy_rowcount
PRJEB28522		5	sub10		5		5				proxy_rowcount
PRJEB50384		5	sub10		5		5				proxy_rowcount
PRJEB34702		4	sub10		4		4				proxy_rowcount
PRJNA485133		4	sub10		4		4				proxy_rowcount
PRJEB9824		4	sub10		4		4				proxy_rowcount
PRJNA947927		4	sub10		4		4				proxy_rowcount
PRJNA1017663		4	sub10		4		4				proxy_rowcount
PRJNA745055		4	sub10		4		4				proxy_rowcount
PRJNA1014981		4	sub10		4		4				proxy_rowcount
PRJNA511988		4	sub10		4		4				proxy_rowcount
PRJNA746265		4	sub10		4		4				proxy_rowcount
PRJNA493254		4	sub10		4		4				proxy_rowcount
PRJNA868191		4	sub10		4		4				proxy_rowcount
PRJEB36565		4	sub10		4		4				proxy_rowcount
PRJNA772899		4	sub10		4		4				proxy_rowcount
PRJNA787449		4	sub10		4		4				proxy_rowcount
PRJNA774102		4	sub10		4		4				proxy_rowcount
PRJEB37472		4	sub10		4		4				proxy_rowcount
PRJEB45009		4	sub10		4		4				proxy_rowcount
PRJDB14068		4	sub10		4		4				proxy_rowcount
PRJEB52194		4	sub10		4		4				proxy_rowcount
PRJEB53460		4	sub10		4		4				proxy_rowcount
PRJEB39709		4	sub10		4		4				proxy_rowcount
PRJEB23208		4	sub10		4		4				proxy_rowcount
PRJDB15848		4	sub10		4		4				proxy_rowcount
PRJNA904531		4	sub10		4		4				proxy_rowcount
PRJNA790720		4	sub10		4		4				proxy_rowcount
PRJNA408214		4	sub10		4		4				proxy_rowcount
PRJEB7689		4	sub10		4		4				proxy_rowcount
PRJEB34028		4	sub10		4		4				proxy_rowcount
PRJEB37779		4	sub10		4		4				proxy_rowcount
PRJEB8104		4	sub10		4		4				proxy_rowcount
PRJNA445372		4	sub10		4		4				proxy_rowcount
PRJEB37902		4	sub10		4		4				proxy_rowcount
PRJNA493667		4	sub10		4		4				proxy_rowcount
PRJEB14532		4	sub10		4		4				proxy_rowcount
PRJNA529243		4	sub10		4		4				proxy_rowcount
PRJNA980722		4	sub10		4		4				proxy_rowcount
PRJNA650119		4	sub10		4		4				proxy_rowcount
PRJNA687988		4	sub10		4		4				proxy_rowcount
PRJNA981541		4	sub10		4		4				proxy_rowcount
