sample_accession,Collection_date,Location,experiment_accession,isolation_source,study_accession,run_accession
SAMEA9449521,2016,Zambia,ERX5982419,Blood,PRJEB46513,ERR6350844
SAMEA9449637,2016,Zambia,ERX5982601,Blood,PRJEB46513,ERR6351026
SAMEA9449424,2016,Zambia,ERX5981781,Blood,PRJEB46513,ERR6350206
SAMEA9449540,2016,Zambia,ERX5982438,Blood,PRJEB46513,ERR6350863
SAMEA9449434,2016,Zambia,ERX5981793,Blood,PRJEB46513,ERR6350218
SAMEA9449551,2016,Zambia,ERX5982449,Blood,PRJEB46513,ERR6350874
SAMEA9449621,2016,Zambia,ERX5982582,Blood,PRJEB46513,ERR6351007
SAMEA9449532,2016,Zambia,ERX5982430,Blood,PRJEB46513,ERR6350855
SAMEA9449468,2016,Zambia,ERX5982366,Blood,PRJEB46513,ERR6350791
SAMEA9449425,2016,Zambia,ERX5981783,Blood,PRJEB46513,ERR6350208
SAMEA9449536,2016,Zambia,ERX5982434,Blood,PRJEB46513,ERR6350859
SAMEA9449625,2016,Zambia,ERX5982588,Blood,PRJEB46513,ERR6351013
SAMEA9449492,2016,Zambia,ERX5982389,Blood,PRJEB46513,ERR6350814
SAMEA9449630,2016,Zambia,ERX5982593,Blood,PRJEB46513,ERR6351018
SAMEA9449419,2016,Zambia,ERX5981777,Blood,PRJEB46513,ERR6350202
SAMEA9449533,2016,Zambia,ERX5982431,Blood,PRJEB46513,ERR6350856
SAMEA9449461,2016,Zambia,ERX5982358,Blood,PRJEB46513,ERR6350783
SAMEA9449489,2016,Zambia,ERX5982386,Blood,PRJEB46513,ERR6350811
SAMEA9449595,2016,Zambia,ERX5982494,Blood,PRJEB46513,ERR6350919
SAMEA9449484,2016,Zambia,ERX5982381,Blood,PRJEB46513,ERR6350806
SAMEA9449614,2016,Zambia,ERX5982577,Blood,PRJEB46513,ERR6351002
SAMEA9449572,2016,Zambia,ERX5982470,Blood,PRJEB46513,ERR6350895
SAMEA9449599,2016,Zambia,ERX5982498,Blood,PRJEB46513,ERR6350923
SAMEA9449558,2016,Zambia,ERX5982456,Blood,PRJEB46513,ERR6350881
SAMEA9449408,2016,Zambia,ERX5981730,Blood,PRJEB46513,ERR6350155
SAMEA9449574,2016,Zambia,ERX5982472,Blood,PRJEB46513,ERR6350897
SAMEA9449502,2016,Zambia,ERX5982400,Blood,PRJEB46513,ERR6350825
SAMEA9449537,2016,Zambia,ERX5982435,Blood,PRJEB46513,ERR6350860
SAMEA9449398,2016,Zambia,ERX5981720,Blood,PRJEB46513,ERR6350145
SAMEA9449629,2016,Zambia,ERX5982594,Blood,PRJEB46513,ERR6351019
SAMEA9449413,2016,Zambia,ERX5981771,Blood,PRJEB46513,ERR6350196
SAMEA9449589,2016,Zambia,ERX5982488,Blood,PRJEB46513,ERR6350913
SAMEA9449548,2016,Zambia,ERX5982446,Blood,PRJEB46513,ERR6350871
SAMEA9449501,2016,Zambia,ERX5982399,Blood,PRJEB46513,ERR6350824
SAMEA9449580,2016,Zambia,ERX5982478,Blood,PRJEB46513,ERR6350903
SAMEA9449445,2016,Zambia,ERX5982342,Blood,PRJEB46513,ERR6350767
SAMEA9449507,2016,Zambia,ERX5982405,Blood,PRJEB46513,ERR6350830
SAMEA9449515,2016,Zambia,ERX5982413,Blood,PRJEB46513,ERR6350838
SAMEA9449504,2016,Zambia,ERX5982402,Blood,PRJEB46513,ERR6350827
SAMEA9449375,2016,Zambia,ERX5981510,Blood,PRJEB46513,ERR6349935
SAMEA9449523,2016,Zambia,ERX5982421,Blood,PRJEB46513,ERR6350846
SAMEA9449638,2016,Zambia,ERX5982602,Blood,PRJEB46513,ERR6351027
SAMEA9449544,2016,Zambia,ERX5982442,Blood,PRJEB46513,ERR6350867
SAMEA9449596,2016,Zambia,ERX5982495,Blood,PRJEB46513,ERR6350920
SAMEA9449399,2016,Zambia,ERX5981721,Blood,PRJEB46513,ERR6350146
SAMEA9449440,2016,Zambia,ERX5982337,Blood,PRJEB46513,ERR6350762
SAMEA9449559,2016,Zambia,ERX5982457,Blood,PRJEB46513,ERR6350882
SAMEA9449481,2016,Zambia,ERX5982378,Blood,PRJEB46513,ERR6350803
SAMEA9449568,2016,Zambia,ERX5982466,Blood,PRJEB46513,ERR6350891
SAMEA9449409,2016,Zambia,ERX5981731,Blood,PRJEB46513,ERR6350156
SAMEA9449374,2016,Zambia,ERX5981508,Blood,PRJEB46513,ERR6349933
SAMEA9449449,2016,Zambia,ERX5982346,Blood,PRJEB46513,ERR6350771
SAMEA9449438,2016,Zambia,ERX5982335,Blood,PRJEB46513,ERR6350760
SAMEA9449617,2016,Zambia,ERX5982580,Blood,PRJEB46513,ERR6351005
SAMEA9449382,2016,Zambia,ERX5981709,Blood,PRJEB46513,ERR6350134
SAMEA9449627,2016,Zambia,ERX5982590,Blood,PRJEB46513,ERR6351015
SAMEA9449511,2016,Zambia,ERX5982409,Blood,PRJEB46513,ERR6350834
SAMEA9449477,2016,Zambia,ERX5982374,Blood,PRJEB46513,ERR6350799
SAMEA9449411,2016,Zambia,ERX5981769,Blood,PRJEB46513,ERR6350194
SAMEA9449385,2016,Zambia,ERX5981712,Blood,PRJEB46513,ERR6350137
SAMEA9449593,2016,Zambia,ERX5982492,Blood,PRJEB46513,ERR6350917
SAMEA9449620,2016,Zambia,ERX5982584,Blood,PRJEB46513,ERR6351009
SAMEA9449422,2016,Zambia,ERX5981780,Blood,PRJEB46513,ERR6350205
SAMEA9449459,2016,Zambia,ERX5982356,Blood,PRJEB46513,ERR6350781
SAMEA9449466,2016,Zambia,ERX5982364,Blood,PRJEB46513,ERR6350789
SAMEA9449619,2016,Zambia,ERX5982583,Blood,PRJEB46513,ERR6351008
SAMEA9449547,2016,Zambia,ERX5982445,Blood,PRJEB46513,ERR6350870
SAMEA9449591,2016,Zambia,ERX5982490,Blood,PRJEB46513,ERR6350915
SAMEA9449417,2016,Zambia,ERX5981775,Blood,PRJEB46513,ERR6350200
SAMEA9449420,2016,Zambia,ERX5981778,Blood,PRJEB46513,ERR6350203
SAMEA9449549,2016,Zambia,ERX5982447,Blood,PRJEB46513,ERR6350872
SAMEA9449626,2016,Zambia,ERX5982589,Blood,PRJEB46513,ERR6351014
SAMEA9449588,2016,Zambia,ERX5982487,Blood,PRJEB46513,ERR6350912
SAMEA9449606,2016,Zambia,ERX5982506,Blood,PRJEB46513,ERR6350931
SAMEA9449416,2016,Zambia,ERX5981774,Blood,PRJEB46513,ERR6350199
SAMEA9449394,2016,Zambia,ERX5981716,Blood,PRJEB46513,ERR6350141
SAMEA9449485,2016,Zambia,ERX5982382,Blood,PRJEB46513,ERR6350807
SAMEA9449458,2016,Zambia,ERX5982355,Blood,PRJEB46513,ERR6350780
SAMEA9449478,2016,Zambia,ERX5982375,Blood,PRJEB46513,ERR6350800
SAMEA9449482,2016,Zambia,ERX5982379,Blood,PRJEB46513,ERR6350804
SAMEA9449443,2016,Zambia,ERX5982340,Blood,PRJEB46513,ERR6350765
SAMEA9449401,2016,Zambia,ERX5981723,Blood,PRJEB46513,ERR6350148
SAMEA9449506,2016,Zambia,ERX5982404,Blood,PRJEB46513,ERR6350829
SAMEA9449410,2016,Zambia,ERX5981768,Blood,PRJEB46513,ERR6350193
SAMEA9449563,2016,Zambia,ERX5982461,Blood,PRJEB46513,ERR6350886
SAMEA9449508,2016,Zambia,ERX5982406,Blood,PRJEB46513,ERR6350831
SAMEA9449550,2016,Zambia,ERX5982448,Blood,PRJEB46513,ERR6350873
SAMEA9449528,2016,Zambia,ERX5982426,Blood,PRJEB46513,ERR6350851
SAMEA9449479,2016,Zambia,ERX5982376,Blood,PRJEB46513,ERR6350801
SAMEA9449545,2016,Zambia,ERX5982443,Blood,PRJEB46513,ERR6350868
SAMEA9449491,2016,Zambia,ERX5982388,Blood,PRJEB46513,ERR6350813
SAMEA9449582,2016,Zambia,ERX5982481,Blood,PRJEB46513,ERR6350906
SAMEA9449467,2016,Zambia,ERX5982363,Blood,PRJEB46513,ERR6350788
SAMEA9449510,2016,Zambia,ERX5982408,Blood,PRJEB46513,ERR6350833
SAMEA9449541,2016,Zambia,ERX5982439,Blood,PRJEB46513,ERR6350864
SAMEA9449628,2016,Zambia,ERX5982591,Blood,PRJEB46513,ERR6351016
SAMEA9449539,2016,Zambia,ERX5982437,Blood,PRJEB46513,ERR6350862
SAMEA9449525,2016,Zambia,ERX5982423,Blood,PRJEB46513,ERR6350848
SAMEA9449426,2016,Zambia,ERX5981785,Blood,PRJEB46513,ERR6350210
SAMEA9449387,2016,Zambia,ERX5981714,Blood,PRJEB46513,ERR6350139
SAMEA9449522,2016,Zambia,ERX5982420,Blood,PRJEB46513,ERR6350845
SAMEA9449571,2016,Zambia,ERX5982469,Blood,PRJEB46513,ERR6350894
SAMEA9449403,2016,Zambia,ERX5981725,Blood,PRJEB46513,ERR6350150
SAMEA9449600,2016,Zambia,ERX5982499,Blood,PRJEB46513,ERR6350924
SAMEA9449632,2016,Zambia,ERX5982596,Blood,PRJEB46513,ERR6351021
SAMEA9449570,2016,Zambia,ERX5982468,Blood,PRJEB46513,ERR6350893
SAMEA9449516,2016,Zambia,ERX5982414,Blood,PRJEB46513,ERR6350839
SAMEA9449556,2016,Zambia,ERX5982454,Blood,PRJEB46513,ERR6350879
SAMEA9449423,2016,Zambia,ERX5981782,Blood,PRJEB46513,ERR6350207
SAMEA9449622,2016,Zambia,ERX5982585,Blood,PRJEB46513,ERR6351010
SAMEA9449561,2016,Zambia,ERX5982459,Blood,PRJEB46513,ERR6350884
SAMEA9449538,2016,Zambia,ERX5982436,Blood,PRJEB46513,ERR6350861
SAMN15374766,2015-12,Malawi,SRX8621134,,PRJNA641987,SRR12095312
SAMN15374760,2014-02,Malawi,SRX8621142,,PRJNA641987,SRR12095304
SAMN15374768,2015-12,Malawi,SRX8621136,,PRJNA641987,SRR12095310
SAMN15374763,2014-11,Malawi,SRX8621131,,PRJNA641987,SRR12095315
SAMN15374758,2013-10,Malawi,SRX8621140,,PRJNA641987,SRR12095306
SAMN15374764,2015-06,Malawi,SRX8621132,,PRJNA641987,SRR12095314
SAMN15374753,2012-03,Malawi,SRX8621129,,PRJNA641987,SRR12095317
SAMN15374765,2015-11,Malawi,SRX8621133,,PRJNA641987,SRR12095313
SAMN15374759,2013-11,Malawi,SRX8621141,,PRJNA641987,SRR12095305
SAMN15374762,2015-02,Malawi,SRX8621144,,PRJNA641987,SRR12095302
SAMN15374757,2013-09,Malawi,SRX8621139,,PRJNA641987,SRR12095307
SAMN15374767,2015-10,Malawi,SRX8621135,,PRJNA641987,SRR12095311
SAMN15374756,2012-09,Malawi,SRX8621138,,PRJNA641987,SRR12095308
SAMN15374761,2014-02,Malawi,SRX8621143,,PRJNA641987,SRR12095303
SAMN15374755,2012-08,Malawi,SRX8621137,,PRJNA641987,SRR12095309
SAMN15890924,2019,India,SRX8997407,blood sample from neonates,PRJNA548120,SRR12506228
SAMN15890870,2017,India,SRX8997380,blood sample from neonates,PRJNA548120,SRR12506201
SAMN17051552,14/04/2014,India,SRX9669670,blood,PRJNA684006,SRR13237632
SAMN17051553,16/03/2016,India,SRX9669671,blood,PRJNA684006,SRR13237631
SAMN16287939,2019,India,SRX9210857,blood sample from neonates,PRJNA548120,SRR12737984
SAMN15808039,2017,India,SRX8938116,blood sample from neonates,PRJNA548120,SRR12443571
SAMEA7472306,2015-17,Ethiopia,ERX4785366,Blood,PRJEB33565,ERR4920457
SAMEA9449608,2016,Zambia,ERX5982504,Blood,PRJEB46513,ERR6350929
SAMEA2609431,2010/2012,Pakistan,ERX718389,Blood,PRJEB6574,ERR775510
SAMEA2609498,2010/2012,Pakistan,ERX718515,Blood,PRJEB6574,ERR775636
SAMEA10330732,,,ERX11441893,,PRJEB42462,ERR12058728
SAMEA10330736,,,ERX11441917,,PRJEB42462,ERR12058752
SAMEA10330300,,,ERX11442351,,PRJEB42462,ERR12059186
SAMEA10331093,,,ERX11441429,,PRJEB42462,ERR12058264
SAMEA10331344,,,ERX11442646,,PRJEB42462,ERR12059481
SAMEA10331035,,,ERX11441569,,PRJEB42462,ERR12058404
SAMEA10331230,,,ERX11442602,,PRJEB42462,ERR12059437
SAMEA10331003,,,ERX11441380,,PRJEB42462,ERR12058215
SAMEA10330953,,,ERX11441560,,PRJEB42462,ERR12058395
SAMEA10331113,,,ERX11441498,,PRJEB42462,ERR12058333
SAMEA10330781,,,ERX11441711,,PRJEB42462,ERR12058546
SAMEA10330067,,,ERX11442046,,PRJEB42462,ERR12058881
SAMEA10331057,,,ERX11441645,,PRJEB42462,ERR12058480
SAMEA10330930,,,ERX11441474,,PRJEB42462,ERR12058309
SAMEA10331032,,,ERX11441561,,PRJEB42462,ERR12058396
SAMEA10330121,,,ERX11442096,,PRJEB42462,ERR12058931
SAMEA10330993,,,ERX11441668,,PRJEB42462,ERR12058503
SAMEA10330520,,,ERX11442133,,PRJEB42462,ERR12058968
SAMEA10330616,,,ERX11441725,,PRJEB42462,ERR12058560
SAMEA10330733,,,ERX11441895,,PRJEB42462,ERR12058730
SAMEA10330763,,,ERX11442011,,PRJEB42462,ERR12058846
SAMEA10330132,,,ERX11442107,,PRJEB42462,ERR12058942
SAMEA10330349,,,ERX11442174,,PRJEB42462,ERR12059009
SAMEA10330651,,,ERX11441870,,PRJEB42462,ERR12058705
SAMEA10330911,,,ERX11441391,,PRJEB42462,ERR12058226
SAMEA10330811,,,ERX11441828,,PRJEB42462,ERR12058663
SAMEA10330961,,,ERX11441570,,PRJEB42462,ERR12058405
SAMEA10330725,,,ERX11441863,,PRJEB42462,ERR12058698
SAMEA10330922,,,ERX11441444,,PRJEB42462,ERR12058279
SAMEA10330545,,,ERX11442231,,PRJEB42462,ERR12059066
SAMEA10330928,,,ERX11441450,,PRJEB42462,ERR12058285
SAMEA10331398,,,ERX11442583,,PRJEB42462,ERR12059418
SAMEA10330450,,,ERX11441688,,PRJEB42462,ERR12058523
SAMEA10331139,,,ERX11441581,,PRJEB42462,ERR12058416
SAMEA10330606,,,ERX11441685,,PRJEB42462,ERR12058520
SAMEA10330818,,,ERX11441858,,PRJEB42462,ERR12058693
SAMEA10330648,,,ERX11441846,,PRJEB42462,ERR12058681
SAMEA10331103,,,ERX11441462,,PRJEB42462,ERR12058297
SAMEA10331149,,,ERX11441627,,PRJEB42462,ERR12058462
SAMEA10330417,,,ERX11442448,,PRJEB42462,ERR12059283
SAMEA10330916,,,ERX11441415,,PRJEB42462,ERR12058250
SAMEA10330720,,,ERX11441855,,PRJEB42462,ERR12058690
SAMEA10330742,,,ERX11441929,,PRJEB42462,ERR12058764
SAMEA10330597,,,ERX11442020,,PRJEB42462,ERR12058855
SAMEA10330741,,,ERX11441927,,PRJEB42462,ERR12058762
SAMEA10330731,,,ERX11441891,,PRJEB42462,ERR12058726
SAMEA10330717,,,ERX11441831,,PRJEB42462,ERR12058666
SAMEA10330461,,,ERX11441726,,PRJEB42462,ERR12058561
SAMEA10330759,,,ERX11441991,,PRJEB42462,ERR12058826
SAMEA10331014,,,ERX11441414,,PRJEB42462,ERR12058249
SAMEA10330585,,,ERX11441975,,PRJEB42462,ERR12058810
SAMEA10330722,,,ERX11441859,,PRJEB42462,ERR12058694
SAMEA10330831,,,ERX11441898,,PRJEB42462,ERR12058733
SAMEA10331024,,,ERX11441532,,PRJEB42462,ERR12058367
SAMEA10330875,,,ERX11441439,,PRJEB42462,ERR12058274
SAMEA10330992,,,ERX11441672,,PRJEB42462,ERR12058507
SAMEA10330842,,,ERX11441954,,PRJEB42462,ERR12058789
SAMEA10330815,,,ERX11441834,,PRJEB42462,ERR12058669
SAMEA10330572,,,ERX11441933,,PRJEB42462,ERR12058768
SAMEA10330734,,,ERX11441899,,PRJEB42462,ERR12058734
SAMEA10330983,,,ERX11441644,,PRJEB42462,ERR12058479
SAMEA10330958,,,ERX11441564,,PRJEB42462,ERR12058399
SAMEA10330631,,,ERX11441782,,PRJEB42462,ERR12058617
SAMEA10330659,,,ERX11441884,,PRJEB42462,ERR12058719
SAMEA10330576,,,ERX11441941,,PRJEB42462,ERR12058776
SAMEA10330959,,,ERX11441568,,PRJEB42462,ERR12058403
SAMEA10330137,,,ERX11442111,,PRJEB42462,ERR12058946
SAMEA10331282,,,ERX11441519,,PRJEB42462,ERR12058354
SAMEA10330643,,,ERX11441821,,PRJEB42462,ERR12058656
SAMEA10330803,,,ERX11441797,,PRJEB42462,ERR12058632
SAMEA10331117,,,ERX11441521,,PRJEB42462,ERR12058356
SAMEA10330119,,,ERX11442093,,PRJEB42462,ERR12058928
SAMEA10330884,,,ERX11441471,,PRJEB42462,ERR12058306
SAMEA10330952,,,ERX11441539,,PRJEB42462,ERR12058374
SAMEA10330752,,,ERX11441981,,PRJEB42462,ERR12058816
SAMEA10330979,,,ERX11441638,,PRJEB42462,ERR12058473
SAMEA10330081,,,ERX11442057,,PRJEB42462,ERR12058892
SAMEA10330483,,,ERX11441812,,PRJEB42462,ERR12058647
SAMEA10331012,,,ERX11441410,,PRJEB42462,ERR12058245
SAMEA10331146,,,ERX11441604,,PRJEB42462,ERR12058439
SAMEA10330656,,,ERX11441878,,PRJEB42462,ERR12058713
SAMEA10330769,,,ERX11442033,,PRJEB42462,ERR12058868
SAMEA10330097,,,ERX11442073,,PRJEB42462,ERR12058908
SAMEA10330678,,,ERX11441970,,PRJEB42462,ERR12058805
SAMEA10331095,,,ERX11442620,,PRJEB42462,ERR12059455
SAMEA10331280,,,ERX11441499,,PRJEB42462,ERR12058334
SAMEA10330458,,,ERX11441720,,PRJEB42462,ERR12058555
SAMEA10330575,,,ERX11441939,,PRJEB42462,ERR12058774
SAMEA10331332,,,ERX11442634,,PRJEB42462,ERR12059469
SAMEA10331055,,,ERX11441637,,PRJEB42462,ERR12058472
SAMEA10330766,,,ERX11442014,,PRJEB42462,ERR12058849
SAMEA10330138,,,ERX11442113,,PRJEB42462,ERR12058948
SAMEA10331325,,,ERX11442625,,PRJEB42462,ERR12059460
SAMEA10330134,,,ERX11442109,,PRJEB42462,ERR12058944
SAMEA10330413,,,ERX11442429,,PRJEB42462,ERR12059264
SAMEA10330062,,,ERX11442041,,PRJEB42462,ERR12058876
SAMEA10330623,,,ERX11441753,,PRJEB42462,ERR12058588
SAMEA10331124,,,ERX11441547,,PRJEB42462,ERR12058382
SAMEA10330783,,,ERX11441715,,PRJEB42462,ERR12058550
SAMEA10330970,,,ERX11441596,,PRJEB42462,ERR12058431
SAMEA10330591,,,ERX11442000,,PRJEB42462,ERR12058835
SAMEA10330689,,,ERX11442001,,PRJEB42462,ERR12058836
SAMEA10330342,,,ERX11442144,,PRJEB42462,ERR12058979
SAMEA10331238,,,ERX11441681,,PRJEB42462,ERR12058516
SAMEA10330871,,,ERX11441416,,PRJEB42462,ERR12058251
SAMEA10330667,,,ERX11441916,,PRJEB42462,ERR12058751
SAMEA10330115,,,ERX11442090,,PRJEB42462,ERR12058925
SAMEA10330753,,,ERX11441983,,PRJEB42462,ERR12058818
SAMEA10330309,,,ERX11442383,,PRJEB42462,ERR12059218
SAMEA10330668,,,ERX11441936,,PRJEB42462,ERR12058771
SAMEA10330724,,,ERX11441861,,PRJEB42462,ERR12058696
SAMEA10330345,,,ERX11442166,,PRJEB42462,ERR12059001
SAMEA10330671,,,ERX11441940,,PRJEB42462,ERR12058775
SAMEA10331399,,,ERX11442587,,PRJEB42462,ERR12059422
SAMEA10330357,,,ERX11442208,,PRJEB42462,ERR12059043
SAMEA10330751,,,ERX11441963,,PRJEB42462,ERR12058798
SAMEA10330786,,,ERX11441735,,PRJEB42462,ERR12058570
SAMEA10330120,,,ERX11442095,,PRJEB42462,ERR12058930
SAMEA10330599,,,ERX11442022,,PRJEB42462,ERR12058857
SAMEA10331281,,,ERX11441501,,PRJEB42462,ERR12058336
SAMEA10331317,,,ERX11442609,,PRJEB42462,ERR12059444
SAMEA10330937,,,ERX11441482,,PRJEB42462,ERR12058317
SAMEA10330377,,,ERX11442294,,PRJEB42462,ERR12059129
SAMEA10330881,,,ERX11441451,,PRJEB42462,ERR12058286
SAMEA10330068,,,ERX11442045,,PRJEB42462,ERR12058880
SAMEA10330802,,,ERX11441793,,PRJEB42462,ERR12058628
SAMEA10330908,,,ERX11441387,,PRJEB42462,ERR12058222
SAMEA10330141,,,ERX11442116,,PRJEB42462,ERR12058951
SAMEA10331331,,,ERX11442633,,PRJEB42462,ERR12059468
SAMEA10330830,,,ERX11441896,,PRJEB42462,ERR12058731
SAMEA10331275,,,ERX11441491,,PRJEB42462,ERR12058326
SAMEA10331378,,,ERX11442545,,PRJEB42462,ERR12059380
SAMEA10331015,,,ERX11441503,,PRJEB42462,ERR12058338
SAMEA10330730,,,ERX11441889,,PRJEB42462,ERR12058724
SAMEA10330985,,,ERX11441646,,PRJEB42462,ERR12058481
SAMEA10331107,,,ERX11441468,,PRJEB42462,ERR12058303
SAMEA10330524,,,ERX11442141,,PRJEB42462,ERR12058976
SAMEA10330967,,,ERX11441590,,PRJEB42462,ERR12058425
SAMEA10330583,,,ERX11441967,,PRJEB42462,ERR12058802
SAMEA10330569,,,ERX11441913,,PRJEB42462,ERR12058748
SAMEA10331274,,,ERX11441489,,PRJEB42462,ERR12058324
SAMEA10330625,,,ERX11441757,,PRJEB42462,ERR12058592
SAMEA10331322,,,ERX11442612,,PRJEB42462,ERR12059447
SAMEA10331100,,,ERX11441454,,PRJEB42462,ERR12058289
SAMEA10330767,,,ERX11442015,,PRJEB42462,ERR12058850
SAMEA10330368,,,ERX11442260,,PRJEB42462,ERR12059095
SAMEA10330686,,,ERX11441995,,PRJEB42462,ERR12058830
SAMEA10330727,,,ERX11441867,,PRJEB42462,ERR12058702
SAMEA10330212,,,ERX11442156,,PRJEB42462,ERR12058991
SAMEA10331278,,,ERX11441497,,PRJEB42462,ERR12058332
SAMEA10330587,,,ERX11441992,,PRJEB42462,ERR12058827
SAMEA10330178,,,ERX11442191,,PRJEB42462,ERR12059026
SAMEA10330609,,,ERX11441695,,PRJEB42462,ERR12058530
SAMEA10330950,,,ERX11441537,,PRJEB42462,ERR12058372
SAMEA10330404,,,ERX11442402,,PRJEB42462,ERR12059237
SAMEA10331276,,,ERX11441493,,PRJEB42462,ERR12058328
SAMEA10331096,,,ERX11441432,,PRJEB42462,ERR12058267
SAMEA10330847,,,ERX11441962,,PRJEB42462,ERR12058797
SAMEA10330605,,,ERX11441689,,PRJEB42462,ERR12058524
SAMEA10330613,,,ERX11441719,,PRJEB42462,ERR12058554
SAMEA10331407,,,ERX11442601,,PRJEB42462,ERR12059436
SAMEA10330200,,,ERX11442120,,PRJEB42462,ERR12058955
SAMEA10331031,,,ERX11441559,,PRJEB42462,ERR12058394
SAMEA10330747,,,ERX11441955,,PRJEB42462,ERR12058790
SAMEA10331240,,,ERX11441683,,PRJEB42462,ERR12058518
SAMEA10330502,,,ERX11441881,,PRJEB42462,ERR12058716
SAMEA10330588,,,ERX11441994,,PRJEB42462,ERR12058829
SAMEA10331136,,,ERX11441578,,PRJEB42462,ERR12058413
SAMEA10330749,,,ERX11441959,,PRJEB42462,ERR12058794
SAMEA10330505,,,ERX11441905,,PRJEB42462,ERR12058740
SAMEA10331104,,,ERX11441464,,PRJEB42462,ERR12058299
SAMEA10330148,,,ERX11442456,,PRJEB42462,ERR12059291
SAMEA10331080,,,ERX11441375,,PRJEB42462,ERR12058210
SAMEA10331163,,,ERX11441659,,PRJEB42462,ERR12058494
SAMEA10330065,,,ERX11442043,,PRJEB42462,ERR12058878
SAMEA10330456,,,ERX11441718,,PRJEB42462,ERR12058553
SAMEA10330412,,,ERX11442428,,PRJEB42462,ERR12059263
SAMEA10331160,,,ERX11441653,,PRJEB42462,ERR12058488
SAMEA10331130,,,ERX11441552,,PRJEB42462,ERR12058387
SAMEA10330692,,,ERX11442007,,PRJEB42462,ERR12058842
SAMEA10330785,,,ERX11441733,,PRJEB42462,ERR12058568
SAMEA10330735,,,ERX11441897,,PRJEB42462,ERR12058732
SAMEA10331393,,,ERX11442573,,PRJEB42462,ERR12059408
SAMEA10330449,,,ERX11441686,,PRJEB42462,ERR12058521
SAMEA10330154,,,ERX11442466,,PRJEB42462,ERR12059301
SAMEA10330248,,,ERX11442310,,PRJEB42462,ERR12059145
SAMEA10331007,,,ERX11441388,,PRJEB42462,ERR12058223
SAMEA10330754,,,ERX11441985,,PRJEB42462,ERR12058820
SAMEA10331134,,,ERX11441575,,PRJEB42462,ERR12058410
SAMEA10330201,,,ERX11442122,,PRJEB42462,ERR12058957
SAMEA10331157,,,ERX11441652,,PRJEB42462,ERR12058487
SAMEA10331241,,,ERX11441363,,PRJEB42462,ERR12058198
SAMEA10331108,,,ERX11441488,,PRJEB42462,ERR12058323
SAMEA10330790,,,ERX11441743,,PRJEB42462,ERR12058578
SAMEA10330680,,,ERX11441974,,PRJEB42462,ERR12058809
SAMEA10330737,,,ERX11441921,,PRJEB42462,ERR12058756
SAMEA10330508,,,ERX11441909,,PRJEB42462,ERR12058744
SAMEA10330083,,,ERX11442059,,PRJEB42462,ERR12058894
SAMEA10330460,,,ERX11441724,,PRJEB42462,ERR12058559
SAMEA10330418,,,ERX11442450,,PRJEB42462,ERR12059285
SAMEA10330834,,,ERX11441920,,PRJEB42462,ERR12058755
SAMEA10330403,,,ERX11442394,,PRJEB42462,ERR12059229
SAMEA10330812,,,ERX11441830,,PRJEB42462,ERR12058665
SAMEA10330784,,,ERX11441732,,PRJEB42462,ERR12058567
SAMEA10330716,,,ERX11441740,,PRJEB42462,ERR12058575
SAMEA10330837,,,ERX11441924,,PRJEB42462,ERR12058759
SAMEA10331277,,,ERX11441495,,PRJEB42462,ERR12058330
SAMEA10330621,,,ERX11441749,,PRJEB42462,ERR12058584
SAMEA10331085,,,ERX11441400,,PRJEB42462,ERR12058235
SAMEA10330906,,,ERX11441389,,PRJEB42462,ERR12058224
SAMEA10330665,,,ERX11441912,,PRJEB42462,ERR12058747
SAMEA10331180,,,ERX11442502,,PRJEB42462,ERR12059337
SAMEA10330851,,,ERX11441762,,PRJEB42462,ERR12058597
SAMEA10331133,,,ERX11441574,,PRJEB42462,ERR12058409
SAMEA10331164,,,ERX11441676,,PRJEB42462,ERR12058511
SAMEA10330615,,,ERX11441721,,PRJEB42462,ERR12058556
SAMEA10331335,,,ERX11442638,,PRJEB42462,ERR12059473
SAMEA10330896,,,ERX11441348,,PRJEB42462,ERR12058183
SAMEA10330770,,,ERX11442034,,PRJEB42462,ERR12058869
SAMEA10330642,,,ERX11441819,,PRJEB42462,ERR12058654
SAMEA10331270,,,ERX11441467,,PRJEB42462,ERR12058302
SAMEA10331121,,,ERX11441526,,PRJEB42462,ERR12058361
SAMEA10330691,,,ERX11442005,,PRJEB42462,ERR12058840
SAMEA10331279,,,ERX11442631,,PRJEB42462,ERR12059466
SAMEA10330410,,,ERX11442426,,PRJEB42462,ERR12059261
SAMEA10331099,,,ERX11441456,,PRJEB42462,ERR12058291
SAMEA10331371,,,ERX11442529,,PRJEB42462,ERR12059364
SAMEA10330282,,,ERX11442283,,PRJEB42462,ERR12059118
SAMEA10330978,,,ERX11441624,,PRJEB42462,ERR12058459
SAMEA10330302,,,ERX11442355,,PRJEB42462,ERR12059190
SAMEA10331087,,,ERX11441403,,PRJEB42462,ERR12058238
SAMEA10331131,,,ERX11441554,,PRJEB42462,ERR12058389
SAMEA10331201,,,ERX11442544,,PRJEB42462,ERR12059379
SAMEA10330963,,,ERX11441586,,PRJEB42462,ERR12058421
SAMEA10330634,,,ERX11441788,,PRJEB42462,ERR12058623
SAMEA10330509,,,ERX11442453,,PRJEB42462,ERR12059288
SAMEA10330299,,,ERX11442349,,PRJEB42462,ERR12059184
