sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA7472472,2015-17,Nigeria,Human,ERX4785433,Blood,PRJEB33565,ERR4920524
SAMEA7472940,2015-17,South Africa,Human,ERX4785535,Blood,PRJEB33565,ERR4920626
SAMEA7472250,2015-17,Ethiopia,Human,ERX4785328,Blood,PRJEB33565,ERR4920419
SAMEA7472405,2015-17,Nigeria,Human,ERX4785411,Blood,PRJEB33565,ERR4920502
SAMEA7472219,2015-17,Ethiopia,Human,ERX4785302,Blood,PRJEB33565,ERR4920393
SAMEA7472416,2015-17,Nigeria,Human,ERX4785414,Blood,PRJEB33565,ERR4920505
SAMEA7472489,2015-17,Nigeria,Human,ERX4785440,Blood,PRJEB33565,ERR4920531
SAMEA7472674,2015-17,Pakistan,Human,ERX4785486,Blood,PRJEB33565,ERR4920577
SAMEA7472947,2015-17,South Africa,Human,ERX4785537,Blood,PRJEB33565,ERR4920628
SAMEA7472261,2015-17,Ethiopia,Human,ERX4785336,Blood,PRJEB33565,ERR4920427
SAMEA7472866,2015-17,Rwanda,Human,ERX4785506,Blood,PRJEB33565,ERR4920597
SAMEA7472748,2015-17,Pakistan,Human,ERX4785493,Blood,PRJEB33565,ERR4920584
SAMEA7472390,2015-17,Nigeria,Human,ERX4785408,Blood,PRJEB33565,ERR4920499
SAMEA7472834,2015-17,Pakistan,Human,ERX4785500,Blood,PRJEB33565,ERR4920591
SAMEA7472380,2015-17,Nigeria,Human,ERX4785406,Blood,PRJEB33565,ERR4920497
SAMEA7472060,2015-17,Bangladesh,Human,ERX4785285,Blood,PRJEB33565,ERR4920376
SAMEA7472351,2015-17,India,Human,ERX4785399,Blood,PRJEB33565,ERR4920490
SAMEA7472304,2015-17,Ethiopia,Human,ERX4785364,Blood,PRJEB33565,ERR4920455
SAMEA7472411,2015-17,Nigeria,Human,ERX4785413,Blood,PRJEB33565,ERR4920504
SAMEA7472491,2015-17,Nigeria,Human,ERX4785442,Blood,PRJEB33565,ERR4920533
SAMEA7472320,2015-17,Ethiopia,Human,ERX4785377,Blood,PRJEB33565,ERR4920468
SAMEA7472179,2015-17,Bangladesh,Human,ERX4785294,Blood,PRJEB33565,ERR4920385
SAMEA7472368,2015-17,Nigeria,Human,ERX4785403,Blood,PRJEB33565,ERR4920494
SAMEA7472308,2015-17,Ethiopia,Human,ERX4785368,Blood,PRJEB33565,ERR4920459
SAMEA7472333,2015-17,Ethiopia,Human,ERX4785389,Blood,PRJEB33565,ERR4920480
