field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJEB46655	61	0.0	61	covered	0
collection_date	PRJEB49334	62	0.0	62	covered	62
collection_date	PRJEB50277	96	0.0	96	covered	96
collection_date	PRJEB51224	76	0.0	76	covered	6
collection_date	PRJEB51225	51	0.0	51	covered	0
collection_date	PRJEB78367	64	0.0	64	covered	64
collection_date	PRJEB9325	93	0.0	93	covered	0
collection_date	PRJNA592157	58	0.0	58	covered	58
collection_date	PRJNA643814	50	0.04	48	covered	48
collection_date	PRJEB26075	65	0.0	65	residual_per_sample	0
collection_date	PRJEB2655	50	0.0	50	residual_per_sample	0
collection_date	PRJEB28115	50	0.0	50	residual_per_sample	0
collection_date	PRJEB42526	83	0.0	83	residual_per_sample	0
collection_date	PRJEB43945	68	0.0	68	residual_per_sample	0
collection_date	PRJEB50346	70	0.0	70	residual_per_sample	0
collection_date	PRJEB5495	87	0.0	87	residual_per_sample	0
collection_date	PRJEB7967	69	0.0	69	residual_per_sample	0
collection_date	PRJEB8265	91	0.0	91	residual_per_sample	0
collection_date	PRJNA231221	84	0.393	51	residual_per_sample	0
collection_date	PRJNA488070	86	0.0	86	residual_per_sample	0
collection_date	PRJNA918858	54	0.0	54	residual_per_sample	0
collection_date	PRJNA970254	52	0.654	18	residual_per_sample	0
country	PRJEB28115	50	0.0	50	covered	50
country	PRJEB42526	83	0.0	83	covered	83
country	PRJEB43945	68	0.0	68	covered	68
country	PRJEB46655	61	0.0	61	covered	61
country	PRJEB49334	62	0.0	62	covered	62
country	PRJEB51224	76	0.0	76	covered	0
country	PRJEB51225	51	0.0	51	covered	0
country	PRJEB78367	64	0.0	64	covered	64
country	PRJEB8265	91	0.0	91	covered	91
country	PRJEB9325	93	0.0	93	covered	93
country	PRJNA488070	86	0.0	86	covered	86
country	PRJNA592157	58	0.0	58	covered	58
country	PRJNA643814	50	0.04	48	covered	48
country	PRJNA918858	54	0.0	54	covered	54
country	PRJEB26075	65	0.0	65	residual_per_sample	0
country	PRJEB2655	50	0.0	50	residual_per_sample	0
country	PRJEB5495	87	0.0	87	residual_per_sample	0
country	PRJEB7967	69	0.0	69	residual_per_sample	0
host	PRJDB6962	55	0.0	55	covered	55
host	PRJEB19918	63	0.54	29	covered	29
host	PRJEB26075	65	0.0	65	covered	65
host	PRJEB28115	50	0.0	50	covered	50
host	PRJEB30771	59	0.0	59	covered	59
host	PRJEB34380	80	0.0	80	covered	80
host	PRJEB35890	96	0.0	96	covered	96
host	PRJEB36392	91	0.0	91	covered	46
host	PRJEB37933	53	0.0	53	covered	53
host	PRJEB43945	68	0.0	68	covered	68
host	PRJEB46655	61	0.0	61	covered	61
host	PRJEB49056	80	0.0	80	covered	80
host	PRJEB49334	62	0.0	62	covered	62
host	PRJEB50277	96	0.0	96	covered	96
host	PRJEB50346	70	0.0	70	covered	70
host	PRJEB51224	76	0.0	76	covered	76
host	PRJEB51966	59	0.0	59	covered	59
host	PRJEB53419	84	0.0	84	covered	84
host	PRJEB57245	85	0.0	85	covered	85
host	PRJEB59975	54	0.0	54	covered	0
host	PRJEB64408	95	0.0	95	covered	95
host	PRJEB64702	87	0.0	87	covered	87
host	PRJEB78367	64	0.0	64	covered	64
host	PRJEB7967	69	0.0	69	covered	69
host	PRJEB8265	91	0.0	91	covered	91
host	PRJEB9325	93	0.0	93	covered	93
host	PRJNA1135353	55	0.0	55	covered	55
host	PRJNA488070	86	0.0	86	covered	86
host	PRJNA591480	98	0.0	98	covered	98
host	PRJNA643814	50	0.04	48	covered	48
host	PRJNA799063	59	0.0	59	covered	59
host	PRJEB2655	50	0.0	50	residual_per_sample	0
host	PRJEB39942	95	0.0	95	residual_per_sample	0
host	PRJEB42526	83	0.0	83	residual_per_sample	0
host	PRJEB45369	84	0.0	84	residual_per_sample	0
host	PRJEB50837	52	0.0	52	residual_per_sample	0
host	PRJEB51225	51	0.0	51	residual_per_sample	0
host	PRJEB51676	63	0.0	63	residual_per_sample	0
host	PRJEB5495	87	0.0	87	residual_per_sample	0
host	PRJEB56668	73	0.0	73	residual_per_sample	0
host	PRJEB59403	59	0.0	59	residual_per_sample	0
host	PRJEB66360	60	0.0	60	residual_per_sample	0
host	PRJNA289272	82	0.463	44	residual_per_sample	0
host	PRJNA415530	50	0.04	48	residual_per_sample	0
host	PRJNA605147	84	0.0	84	residual_per_sample	0
host	PRJNA701073	50	0.0	50	residual_per_sample	0
host	PRJNA918858	54	0.0	54	residual_per_sample	0
isolation_source	PRJDB6962	55	0.0	55	covered	55
isolation_source	PRJEB26075	65	0.0	65	covered	65
isolation_source	PRJEB28115	50	0.0	50	covered	50
isolation_source	PRJEB34380	80	0.0	80	covered	0
isolation_source	PRJEB39942	95	0.0	95	covered	0
isolation_source	PRJEB46655	61	0.0	61	covered	61
isolation_source	PRJEB49334	62	0.629	23	covered	23
isolation_source	PRJEB51224	76	0.0	76	covered	0
isolation_source	PRJEB51225	51	0.0	51	covered	0
isolation_source	PRJEB9325	93	0.0	93	covered	0
isolation_source	PRJNA1095184	78	0.0	78	covered	78
isolation_source	PRJNA970254	52	0.038	50	covered	50
isolation_source	PRJDB4948	69	0.0	69	residual_per_sample	0
isolation_source	PRJDB8311	50	0.0	50	residual_per_sample	0
isolation_source	PRJEB2655	50	0.0	50	residual_per_sample	0
isolation_source	PRJEB35890	96	0.0	96	residual_per_sample	0
isolation_source	PRJEB42526	83	0.0	83	residual_per_sample	0
isolation_source	PRJEB43945	68	0.0	68	residual_per_sample	0
isolation_source	PRJEB49056	80	0.713	23	residual_per_sample	0
isolation_source	PRJEB50277	96	0.0	96	residual_per_sample	0
isolation_source	PRJEB5495	87	0.0	87	residual_per_sample	0
isolation_source	PRJEB78367	64	0.0	64	residual_per_sample	0
isolation_source	PRJEB7967	69	0.0	69	residual_per_sample	0
isolation_source	PRJEB8265	91	0.0	91	residual_per_sample	0
isolation_source	PRJNA1026096	88	0.0	88	residual_per_sample	0
isolation_source	PRJNA1050414	72	0.0	72	residual_per_sample	0
isolation_source	PRJNA1061342	71	0.0	71	residual_per_sample	0
isolation_source	PRJNA231221	84	0.56	37	residual_per_sample	0
isolation_source	PRJNA237670	84	0.393	51	residual_per_sample	0
isolation_source	PRJNA259658	73	0.055	69	residual_per_sample	0
isolation_source	PRJNA329105	57	0.0	57	residual_per_sample	0
isolation_source	PRJNA342893	80	0.0	80	residual_per_sample	0
isolation_source	PRJNA415530	50	0.04	48	residual_per_sample	0
isolation_source	PRJNA488070	86	0.0	86	residual_per_sample	0
isolation_source	PRJNA592157	58	0.0	58	residual_per_sample	0
isolation_source	PRJNA643814	50	0.04	48	residual_per_sample	0
isolation_source	PRJNA701073	50	0.0	50	residual_per_sample	0
isolation_source	PRJNA903550	67	0.0	67	residual_per_sample	0
isolation_source	PRJNA918858	54	0.0	54	residual_per_sample	0
