study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB28400	SAMEA5378182	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378199	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378203	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378214	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378215	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378216	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378221	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377650	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377654	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377659	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377660	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377672	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377674	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377676	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377681	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377694	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377698	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377704	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377717	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377734	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377748	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377750	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377752	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377755	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377769	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377772	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377782	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377789	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377792	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377795	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377811	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377812	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377814	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378223	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378224	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378227	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378229	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378232	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378245	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378254	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378258	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378264	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378267	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378269	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378277	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378292	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378296	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378309	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378328	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378346	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378334	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378366	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378372	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378374	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378376	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378379	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378383	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378385	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378393	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378397	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378401	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378402	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378404	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378412	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378432	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378433	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378442	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378454	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378461	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378462	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378466	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378468	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378469	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378488	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378501	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378518	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378530	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378541	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378557	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378567	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378568	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378573	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378598	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378603	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378590	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378605	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378607	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379014	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379019	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379026	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379027	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379033	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379034	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379062	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377805	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377807	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378522	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378523	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378524	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378526	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938483	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938488	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938496	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938515	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938518	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938522	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938414	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938419	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938537	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938430	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938542	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938435	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938441	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938557	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938449	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938451	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938565	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938455	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938569	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938463	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938589	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938474	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938591	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938578	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938693	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938695	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938698	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938607	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938704	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938705	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938707	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938715	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938722	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938627	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938628	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938638	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938735	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938640	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938740	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938644	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938645	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938742	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938646	country		Viet Nam	whole_field	
