field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJEB1800	121	0.744	31	covered	31
collection_date	PRJEB20799	46	0.0	46	covered	46
collection_date	PRJEB21605	149	0.0	149	covered	0
collection_date	PRJEB28400	827	0.0	827	covered	827
collection_date	PRJEB29143	498	0.0	498	covered	498
collection_date	PRJEB29740	930	0.0	930	covered	0
collection_date	PRJEB29742	555	0.0	555	covered	0
collection_date	PRJEB30134	201	0.159	169	covered	0
collection_date	PRJEB36486	221	0.0	221	covered	221
collection_date	PRJEB39943	3257	0.0	3257	covered	0
collection_date	PRJEB42331	80	0.0	80	covered	0
collection_date	PRJEB46513	281	0.0	281	covered	281
collection_date	PRJEB48990	539	0.072	500	covered	0
collection_date	PRJEB50614	400	0.0	400	covered	0
collection_date	PRJNA634885	144	0.0	144	covered	0
collection_date	PRJNA767944	173	0.0	173	covered	173
collection_date	PRJEB12699	141	0.0	141	residual_per_sample	0
collection_date	PRJEB15226	288	0.0	288	residual_per_sample	0
collection_date	PRJEB1563	198	0.0	198	residual_per_sample	0
collection_date	PRJEB17615	342	0.0	342	residual_per_sample	0
collection_date	PRJEB19322	91	0.0	91	residual_per_sample	0
collection_date	PRJEB21277	194	0.0	194	residual_per_sample	0
collection_date	PRJEB24082	200	0.0	200	residual_per_sample	0
collection_date	PRJEB24083	5	0.0	5	residual_per_sample	0
collection_date	PRJEB24084	3	0.0	3	residual_per_sample	0
collection_date	PRJEB24085	104	0.0	104	residual_per_sample	0
collection_date	PRJEB24086	3	0.0	3	residual_per_sample	0
collection_date	PRJEB24087	4	0.0	4	residual_per_sample	0
collection_date	PRJEB28054	326	0.0	326	residual_per_sample	0
collection_date	PRJEB35685	412	0.0	412	residual_per_sample	0
collection_date	PRJEB37378	1681	0.0	1681	residual_per_sample	0
collection_date	PRJEB39867	286	0.0	286	residual_per_sample	0
collection_date	PRJEB42462	1278	0.0	1278	residual_per_sample	0
collection_date	PRJEB6891	513	0.004	511	residual_per_sample	0
collection_date	PRJNA1087366	135	0.0	135	residual_per_sample	0
collection_date	PRJNA549322	223	0.336	148	residual_per_sample	0
collection_date	PRJNA604975	43	0.744	11	residual_per_sample	0
collection_date	PRJNA765801	219	0.0	219	residual_per_sample	0
collection_date	PRJNA996149	319	0.0	319	residual_per_sample	0
country	PRJEB12699	141	0.0	141	covered	141
country	PRJEB1563	198	0.0	198	covered	198
country	PRJEB17615	342	0.0	342	covered	342
country	PRJEB1800	121	0.744	31	covered	31
country	PRJEB19322	91	0.0	91	covered	91
country	PRJEB20799	46	0.0	46	covered	46
country	PRJEB21277	194	0.0	194	covered	194
country	PRJEB21605	149	0.0	149	covered	0
country	PRJEB24082	200	0.0	200	covered	200
country	PRJEB24084	3	0.0	3	covered	3
country	PRJEB24085	104	0.0	104	covered	104
country	PRJEB24086	3	0.0	3	covered	3
country	PRJEB24087	4	0.0	4	covered	4
country	PRJEB28400	827	0.0	827	covered	827
country	PRJEB29740	930	0.0	930	covered	115
country	PRJEB29742	555	0.0	555	covered	555
country	PRJEB30134	201	0.159	169	covered	169
country	PRJEB36486	221	0.0	221	covered	221
country	PRJEB39943	3257	0.0	3257	covered	0
country	PRJEB46513	281	0.0	281	covered	281
country	PRJEB48990	539	0.072	500	covered	500
country	PRJEB6891	513	0.004	511	covered	511
country	PRJNA604975	43	0.744	11	covered	11
country	PRJNA857686	313	0.735	83	covered	83
country	PRJEB22903	261	0.0	261	residual_per_sample	0
country	PRJEB24083	5	0.0	5	residual_per_sample	0
country	PRJEB28054	326	0.0	326	residual_per_sample	0
country	PRJEB37378	1681	0.0	1681	residual_per_sample	0
country	PRJEB42462	1278	0.0	1278	residual_per_sample	0
country	PRJNA1087366	135	0.0	135	residual_per_sample	0
country	PRJNA549322	223	0.345	146	residual_per_sample	0
host	PRJEB12699	141	0.0	141	covered	141
host	PRJEB1563	198	0.0	198	covered	198
host	PRJEB17615	342	0.0	342	covered	342
host	PRJEB1800	121	0.744	31	covered	31
host	PRJEB19322	91	0.0	91	covered	91
host	PRJEB21605	149	0.0	149	covered	149
host	PRJEB24084	3	0.0	3	covered	3
host	PRJEB24085	104	0.0	104	covered	104
host	PRJEB24086	3	0.0	3	covered	3
host	PRJEB24087	4	0.0	4	covered	4
host	PRJEB27256	989	0.03	959	covered	959
host	PRJEB28054	326	0.0	326	covered	326
host	PRJEB29143	498	0.0	498	covered	498
host	PRJEB29740	930	0.0	930	covered	930
host	PRJEB29742	555	0.0	555	covered	555
host	PRJEB30134	201	0.159	169	covered	169
host	PRJEB33565	400	0.0	400	covered	400
host	PRJEB35685	412	0.0	412	covered	412
host	PRJEB36486	221	0.0	221	covered	221
host	PRJEB36683	335	0.0	335	covered	335
host	PRJEB39293	160	0.0	160	covered	160
host	PRJEB39943	3257	0.0	3257	covered	3257
host	PRJEB42331	80	0.0	80	covered	80
host	PRJEB42462	1278	0.0	1278	covered	1278
host	PRJEB46513	281	0.0	281	covered	281
host	PRJEB50614	400	0.0	400	covered	400
host	PRJEB50822	376	0.0	376	covered	376
host	PRJEB58018	201	0.0	201	covered	201
host	PRJEB58136	138	0.0	138	covered	0
host	PRJEB58216	209	0.0	209	covered	209
host	PRJEB63361	413	0.0	413	covered	413
host	PRJEB64895	142	0.0	142	covered	142
host	PRJEB6891	513	0.0	513	covered	513
host	PRJEB74083	106	0.0	106	covered	106
host	PRJNA1087366	135	0.0	135	covered	135
host	PRJNA604910	264	0.019	259	covered	259
host	PRJNA604975	43	0.744	11	covered	11
host	PRJNA765801	219	0.0	219	covered	219
host	PRJNA982859	183	0.0	183	covered	183
host	PRJEB20799	46	0.0	46	residual_per_sample	0
host	PRJEB21277	194	0.0	194	residual_per_sample	0
host	PRJEB22903	261	0.0	261	residual_per_sample	0
host	PRJEB24082	200	0.0	200	residual_per_sample	0
host	PRJEB24083	5	0.0	5	residual_per_sample	0
host	PRJEB28400	827	0.0	827	residual_per_sample	0
host	PRJEB37378	1681	0.0	1681	residual_per_sample	0
host	PRJEB38289	500	0.0	500	residual_per_sample	0
host	PRJEB48990	539	0.071	501	residual_per_sample	0
host	PRJNA1048341	177	0.0	177	residual_per_sample	0
host	PRJNA325243	242	0.004	241	residual_per_sample	0
isolation_source	PRJDB12116	154	0.0	154	covered	0
isolation_source	PRJEB19322	91	0.0	91	covered	91
isolation_source	PRJEB21605	149	0.0	149	covered	149
isolation_source	PRJEB29740	930	0.0	930	covered	0
isolation_source	PRJEB29742	555	0.0	555	covered	0
isolation_source	PRJEB30134	201	0.159	169	covered	0
isolation_source	PRJEB33565	400	0.0	400	covered	400
isolation_source	PRJEB39943	3257	0.0	3257	covered	0
isolation_source	PRJEB46513	281	0.0	281	covered	281
isolation_source	PRJEB48990	539	0.069	502	covered	0
isolation_source	PRJNA271899	258	0.016	254	covered	0
isolation_source	PRJNA341927	244	0.0	244	covered	244
isolation_source	PRJNA603790	462	0.0	462	covered	462
isolation_source	PRJNA604975	43	0.744	11	covered	11
isolation_source	PRJNA641987	16	0.0	16	covered	16
isolation_source	PRJDB12075	184	0.0	184	residual_per_sample	0
isolation_source	PRJDB5929	631	0.0	631	residual_per_sample	0
isolation_source	PRJEB12699	141	0.0	141	residual_per_sample	0
isolation_source	PRJEB15226	288	0.0	288	residual_per_sample	0
isolation_source	PRJEB1563	198	0.0	198	residual_per_sample	0
isolation_source	PRJEB17615	342	0.0	342	residual_per_sample	0
isolation_source	PRJEB1800	121	0.744	31	residual_per_sample	0
isolation_source	PRJEB20799	46	0.0	46	residual_per_sample	0
isolation_source	PRJEB21277	194	0.0	194	residual_per_sample	0
isolation_source	PRJEB22890	157	0.0	157	residual_per_sample	0
isolation_source	PRJEB22903	261	0.0	261	residual_per_sample	0
isolation_source	PRJEB24082	200	0.0	200	residual_per_sample	0
isolation_source	PRJEB24083	5	0.0	5	residual_per_sample	0
isolation_source	PRJEB24084	3	0.0	3	residual_per_sample	0
isolation_source	PRJEB24085	104	0.0	104	residual_per_sample	0
isolation_source	PRJEB24086	3	0.0	3	residual_per_sample	0
isolation_source	PRJEB24087	4	0.0	4	residual_per_sample	0
