study_accession	has_paper	date_gap	source_gap	gap_samples	ena_taxon_samples	fulltext_status	best_url	doi	pmid	pmcid	paper_link	title	save_as
PRJNA353728	False	0	0	0	464	none							PRJNA353728.pdf
PRJEB12888	False	0	0	0	318	none							PRJEB12888.pdf
PRJEB8667	False	0	0	0	184	none							PRJEB8667.pdf
PRJNA949653	False	0	0	0	135	none							PRJNA949653.pdf
PRJEB21132	False	0	0	0	130	none						Report on the 2nd proficiency test trial for the Global Microbial Identifier (GMI) Initiative, Year 2016	PRJEB21132.pdf
PRJDB11378	False	0	0	0	129	none							PRJDB11378.pdf
PRJEB49326	False	0	0	0	127	none							PRJEB49326.pdf
PRJEB40861	False	0	0	0	109	none							PRJEB40861.pdf
PRJNA269675	False	0	0	0	102	none							PRJNA269675.pdf
PRJDB16680	False	0	0	0	101	none							PRJDB16680.pdf
