field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJEB8302	3	0.0	3	residual_per_sample	0
collection_date	PRJEB8303	1	0.0	1	residual_per_sample	0
collection_date	PRJEB8559	1	0.0	1	residual_per_sample	0
collection_date	PRJEB8721	2	0.0	2	residual_per_sample	0
collection_date	PRJEB8768	1	0.0	1	residual_per_sample	0
collection_date	PRJEB9173	1	0.0	1	residual_per_sample	0
collection_date	PRJEB9644	1	0.0	1	residual_per_sample	0
collection_date	PRJEB9824	4	0.0	4	residual_per_sample	0
collection_date	PRJNA1003529	7	0.0	7	residual_per_sample	0
collection_date	PRJNA1029809	8	0.0	8	residual_per_sample	0
collection_date	PRJNA1031676	3	0.0	3	residual_per_sample	0
collection_date	PRJNA1037744	4	0.0	4	residual_per_sample	0
collection_date	PRJNA1040118	9	0.0	9	residual_per_sample	0
collection_date	PRJNA1064853	2	0.0	2	residual_per_sample	0
collection_date	PRJNA1066419	1	0.0	1	residual_per_sample	0
collection_date	PRJNA1067287	4	0.0	4	residual_per_sample	0
collection_date	PRJNA1088746	1	0.0	1	residual_per_sample	0
collection_date	PRJNA1100205	9	0.0	9	residual_per_sample	0
collection_date	PRJNA1100308	1	0.0	1	residual_per_sample	0
collection_date	PRJNA1101420	6	0.0	6	residual_per_sample	0
collection_date	PRJNA1128528	8	0.0	8	residual_per_sample	0
collection_date	PRJNA1134078	5	0.0	5	residual_per_sample	0
collection_date	PRJNA161277	1	0.0	1	residual_per_sample	0
collection_date	PRJNA165913	1	0.0	1	residual_per_sample	0
collection_date	PRJNA168337	1	0.0	1	residual_per_sample	0
collection_date	PRJNA169453	1	0.0	1	residual_per_sample	0
collection_date	PRJNA169454	1	0.0	1	residual_per_sample	0
collection_date	PRJNA169455	1	0.0	1	residual_per_sample	0
collection_date	PRJNA169456	1	0.0	1	residual_per_sample	0
collection_date	PRJNA181050	1	0.0	1	residual_per_sample	0
collection_date	PRJNA181051	1	0.0	1	residual_per_sample	0
collection_date	PRJNA181052	1	0.0	1	residual_per_sample	0
collection_date	PRJNA184888	6	0.0	6	residual_per_sample	0
collection_date	PRJNA187279	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187280	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187281	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187283	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187284	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187285	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187286	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187287	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187288	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187289	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187290	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187291	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187292	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187293	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187294	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187295	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187296	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187297	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187298	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187299	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187300	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187301	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187302	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187303	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187304	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187305	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187306	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187307	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187308	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187309	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187310	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187311	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187312	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187313	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187314	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187315	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187316	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187317	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187318	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187319	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187320	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187321	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187322	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187323	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187324	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187325	1	0.0	1	residual_per_sample	0
collection_date	PRJNA187326	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193160	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193161	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193162	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193163	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193164	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193165	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193167	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193168	1	0.0	1	residual_per_sample	0
collection_date	PRJNA193169	1	0.0	1	residual_per_sample	0
collection_date	PRJNA195754	1	0.0	1	residual_per_sample	0
collection_date	PRJNA197002	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201932	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201933	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201934	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201935	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201936	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201942	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201943	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201944	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201945	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201946	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201947	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201950	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201951	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201955	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201956	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201957	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201958,PRJNA201967	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201959	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201960	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201961	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201962	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201963	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201964	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201965	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201966	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201967,PRJNA201954	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201968	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201970	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201974	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201978	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201981	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201984	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201985	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201987	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201989	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201990	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201991	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201994	1	0.0	1	residual_per_sample	0
collection_date	PRJNA201999	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202000	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202001	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202002	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202005	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202006	1	0.0	1	residual_per_sample	0
