3__AAC(6')_AGly__aac(6')-Ib11__55	1	0	.	.	AGly:aac(6')-Ib11
3__AAC(6')_AGly__aac(6')-Ib3__56	1	0	.	.	AGly:aac(6')-Ib3
3__AAC(6')_AGly__aac(6')-Ib4__57	1	0	.	.	AGly:aac(6')-Ib4
3__AAC(6')_AGly__aac(6')-Ib7__58	1	0	.	.	AGly:aac(6')-Ib7
3__AAC(6')_AGly__aac(6')-Ib8__59	1	0	.	.	AGly:aac(6')-Ib8
3__AAC(6')_AGly__aac(6')-Ib9__60	1	0	.	.	AGly:aac(6')-Ib9
3__AAC(6')_AGly__aac(6')-Ic__61	1	0	.	.	AGly:aac(6')-Ic
3__AAC(6')_AGly__aac(6')-If__62	1	0	.	.	AGly:aac(6')-If
3__AAC(6')_AGly__aac(6')-Ig__63	1	0	.	.	AGly:aac(6')-Ig
3__AAC(6')_AGly__aac(6')-Ih__64	1	0	.	.	AGly:aac(6')-Ih
3__AAC(6')_AGly__aac(6')-Ii__65	1	0	.	.	AGly:aac(6')-Ii
3__AAC(6')_AGly__aac(6')-IIa.v1__66	1	0	.	.	AGly:aac(6')-IIa.v1
3__AAC(6')_AGly__aac(6')-IIa.v2__67	1	0	.	.	AGly:aac(6')-IIa.v2
3__AAC(6')_AGly__aac(6')-IIb__68	1	0	.	.	AGly:aac(6')-IIb
3__AAC(6')_AGly__aac(6')-IIc__69	1	0	.	.	AGly:aac(6')-IIc
3__AAC(6')_AGly__aac(6')-Iid__70	1	0	.	.	AGly:aac(6')-Iid
3__AAC(6')_AGly__aac(6')-Iih__71	1	0	.	.	AGly:aac(6')-Iih
3__AAC(6')_AGly__aac(6')-Ij__72	1	0	.	.	AGly:aac(6')-Ij
3__AAC(6')_AGly__aac(6')-Ik__73	1	0	.	.	AGly:aac(6')-Ik
3__AAC(6')_AGly__aac(6')-Il__74	1	0	.	.	AGly:aac(6')-Il
3__AAC(6')_AGly__aac(6')-Im__75	1	0	.	.	AGly:aac(6')-Im
3__AAC(6')_AGly__aac(6')-Ip__76	1	0	.	.	AGly:aac(6')-Ip
3__AAC(6')_AGly__aac(6')-Iq__77	1	0	.	.	AGly:aac(6')-Iq
3__AAC(6')_AGly__aac(6')-Ir__78	1	0	.	.	AGly:aac(6')-Ir
3__AAC(6')_AGly__aac(6')-Is__79	1	0	.	.	AGly:aac(6')-Is
3__AAC(6')_AGly__aac(6')-Isa__80	1	0	.	.	AGly:aac(6')-Isa
3__AAC(6')_AGly__aac(6')-It__81	1	0	.	.	AGly:aac(6')-It
3__AAC(6')_AGly__aac(6')-Iu__82	1	0	.	.	AGly:aac(6')-Iu
3__AAC(6')_AGly__aac(6')-Iv__83	1	0	.	.	AGly:aac(6')-Iv
3__AAC(6')_AGly__aac(6')-Iw__84	1	0	.	.	AGly:aac(6')-Iw
3__AAC(6')_AGly__aac(6')-Ix__85	1	0	.	.	AGly:aac(6')-Ix
3__AAC(6')_AGly__aac(6')-Iy__86	1	0	.	.	AGly:aac(6')-Iy
3__AAC(6')_AGly__aac(6')-Iz__87	1	0	.	.	AGly:aac(6')-Iz
3__AAC(6')_AGly__aac6-Id.v1__88	1	0	.	.	AGly:aac6-Id.v1
3__AAC(6')_AGly__aacA43__89	1	0	.	.	AGly:aacA43
3__AAC(6');ANT(3'')_AGly__ant(3'')-Ii-aac(6')-Iid__90	1	0	.	.	AGly:ant(3'')-Ii-aac(6')-Iid
3__AAC(6');APH(2'')_AGly__aac(6')-Ie-aph(2'')-Ia__91	1	0	.	.	AGly:aac(6')-Ie-aph(2'')-Ia
3__AAC(6')_AGly__aac(6')-Ib-cr3__2437	1	0	.	.	AGly:aac(6')-Ib-cr3
3__AAC(6')_AGly__aac(6')-Ib-cr4__2438	1	0	.	.	AGly:aac(6')-Ib-cr4
3__AAC(6')_AGly__aac(6')-Ib-cr5__2439	1	0	.	.	AGly:aac(6')-Ib-cr5
3__AAC(6')_AGly__aac(6')-Ib-cr6__2440	1	0	.	.	AGly:aac(6')-Ib-cr6
3__AAC(6')_AGly__aac(6')-Ib-cr7__2441	1	0	.	.	AGly:aac(6')-Ib-cr7
3__AAC(6')_AGly__aac(6')-Ib-cr8__2442	1	0	.	.	AGly:aac(6')-Ib-cr8
3__AAC(6')_AGly__aac(6')-Ib-cr9__2443	1	0	.	.	AGly:aac(6')-Ib-cr9
4__ANT(2'')_AGly__ant(2'')-Ia__92	1	0	.	.	AGly:ant(2'')-Ia
5__ANT(3'')_AGly__aadA__93	1	0	.	.	AGly:aadA
5__ANT(3'')_AGly__aadA1.v1__94	1	0	.	.	AGly:aadA1.v1
5__ANT(3'')_AGly__aadA10__95	1	0	.	.	AGly:aadA10
5__ANT(3'')_AGly__aadA11.v1__96	1	0	.	.	AGly:aadA11.v1
5__ANT(3'')_AGly__aadA11.v2__97	1	0	.	.	AGly:aadA11.v2
5__ANT(3'')_AGly__aadA12__98	1	0	.	.	AGly:aadA12
5__ANT(3'')_AGly__aadA13__99	1	0	.	.	AGly:aadA13
5__ANT(3'')_AGly__aadA14__100	1	0	.	.	AGly:aadA14
5__ANT(3'')_AGly__aadA15__101	1	0	.	.	AGly:aadA15
5__ANT(3'')_AGly__aadA16__102	1	0	.	.	AGly:aadA16
5__ANT(3'')_AGly__aadA17__103	1	0	.	.	AGly:aadA17
5__ANT(3'')_AGly__aadA2__104	1	0	.	.	AGly:aadA2
5__ANT(3'')_AGly__aadA21__105	1	0	.	.	AGly:aadA21
5__ANT(3'')_AGly__aadA22__106	1	0	.	.	AGly:aadA22
5__ANT(3'')_AGly__aadA23__107	1	0	.	.	AGly:aadA23
5__ANT(3'')_AGly__aadA24__108	1	0	.	.	AGly:aadA24
5__ANT(3'')_AGly__aadA25__109	1	0	.	.	AGly:aadA25
5__ANT(3'')_AGly__aadA27__110	1	0	.	.	AGly:aadA27
5__ANT(3'')_AGly__aadA3__111	1	0	.	.	AGly:aadA3
5__ANT(3'')_AGly__aadA4.v1__112	1	0	.	.	AGly:aadA4.v1
5__ANT(3'')_AGly__aadA4.v2__113	1	0	.	.	AGly:aadA4.v2
5__ANT(3'')_AGly__aadA5__114	1	0	.	.	AGly:aadA5
5__ANT(3'')_AGly__aadA6__115	1	0	.	.	AGly:aadA6
5__ANT(3'')_AGly__aadA6/aadA10__116	1	0	.	.	AGly:aadA6/aadA10
5__ANT(3'')_AGly__aadA7.v1__117	1	0	.	.	AGly:aadA7.v1
