study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA947477		11	tail10_24		11		11				proxy_rowcount
PRJEB67733		11	tail10_24		11		11				proxy_rowcount
PRJNA647793		11	tail10_24		11		11				proxy_rowcount
PRJEB38898		11	tail10_24		11		11				proxy_rowcount
PRJNA994484		11	tail10_24		11		11				proxy_rowcount
PRJNA984710		11	tail10_24		11		11				proxy_rowcount
PRJNA359577		11	tail10_24		11		11				proxy_rowcount
PRJNA776891		11	tail10_24		11		11				proxy_rowcount
PRJNA777127		11	tail10_24		11		11				proxy_rowcount
PRJNA396729		11	tail10_24		11		11				proxy_rowcount
PRJNA575837		11	tail10_24		11		11				proxy_rowcount
PRJNA484792		11	tail10_24		11		11				proxy_rowcount
PRJNA799444		11	tail10_24		11		11				proxy_rowcount
PRJNA631491		10	tail10_24		10		10				proxy_rowcount
PRJNA719104		10	tail10_24		10		10				proxy_rowcount
PRJNA996741		10	tail10_24		10		10				proxy_rowcount
PRJEB19777		10	tail10_24		10		10				proxy_rowcount
PRJNA1026663		10	tail10_24		10		10				proxy_rowcount
PRJNA556398		10	tail10_24		10		10				proxy_rowcount
PRJNA292663		10	tail10_24		10		10				proxy_rowcount
PRJNA292901		10	tail10_24		10		10				proxy_rowcount
PRJNA296696		10	tail10_24		10		10				proxy_rowcount
PRJNA1047501		10	tail10_24		10		10				proxy_rowcount
PRJEB58695		10	tail10_24		10		10				proxy_rowcount
PRJNA685215		10	tail10_24		10		10				proxy_rowcount
PRJNA986585		10	tail10_24		10		10				proxy_rowcount
PRJNA606074		10	tail10_24		10		10				proxy_rowcount
PRJNA956693		10	tail10_24		10		10				proxy_rowcount
PRJNA1072014		10	tail10_24		10		10				proxy_rowcount
PRJNA608440		10	tail10_24		10		10				proxy_rowcount
PRJNA791930		10	tail10_24		10		10				proxy_rowcount
PRJNA525688		10	tail10_24		10		10				proxy_rowcount
PRJEB24641		10	tail10_24		10		10				proxy_rowcount
PRJNA845217		10	tail10_24		10		10				proxy_rowcount
PRJDB10735		10	tail10_24		10		10				proxy_rowcount
PRJNA775973		10	tail10_24		10		10				proxy_rowcount
