study_accession	paper_short_title	n_isolates	fold	seed
PRJNA307517		24	tail10_24	
PRJNA388450		24	tail10_24	
PRJEB45776		24	tail10_24	
PRJEB15325		24	tail10_24	
PRJEB70897		24	tail10_24	
PRJEB17888		24	tail10_24	
PRJNA951629		24	tail10_24	
PRJEB37551		24	tail10_24	
PRJNA986550		23	tail10_24	
PRJEB42167		23	tail10_24	
PRJEB46126		23	tail10_24	
PRJEB38650		23	tail10_24	
PRJNA923792		23	tail10_24	
PRJNA353334		23	tail10_24	
PRJNA512395		23	tail10_24	
PRJEB50554		23	tail10_24	
PRJEB20357		23	tail10_24	
PRJDB6244		23	tail10_24	
PRJNA508510		22	tail10_24	
PRJNA795199		22	tail10_24	
PRJNA375812		22	tail10_24	
PRJNA429779		22	tail10_24	
PRJNA922195		22	tail10_24	
PRJNA287968		22	tail10_24	
PRJNA1132711		22	tail10_24	
PRJNA640134		22	tail10_24	
PRJEB38818		22	tail10_24	
PRJNA648857		22	tail10_24	
PRJNA356346		22	tail10_24	
PRJNA1023834		21	tail10_24	
PRJEB30858		21	tail10_24	
PRJEB24612		21	tail10_24	
PRJNA739639		21	tail10_24	
PRJNA757582		21	tail10_24	
PRJNA786742		21	tail10_24	
PRJNA528347		21	tail10_24	
PRJNA725227		21	tail10_24	
PRJNA341404		21	tail10_24	
PRJNA887042		21	tail10_24	
PRJNA813961		21	tail10_24	
PRJNA701285		21	tail10_24	
PRJNA919159		21	tail10_24	
PRJNA1136145		21	tail10_24	
PRJNA823356		21	tail10_24	
PRJNA528846		20	tail10_24	
PRJEB34353		20	tail10_24	
PRJEB34549		20	tail10_24	
PRJNA596368		20	tail10_24	
PRJNA908117		20	tail10_24	
PRJEB44870		20	tail10_24	
PRJEB60418		20	tail10_24	
PRJNA430813		19	tail10_24	
PRJNA1099381		19	tail10_24	
PRJNA956822		19	tail10_24	
PRJNA672836		19	tail10_24	
PRJNA994967		19	tail10_24	
PRJEB1730		19	tail10_24	
PRJNA915250		19	tail10_24	
PRJNA430457		19	tail10_24	
PRJNA801425		19	tail10_24	
PRJNA1104021		19	tail10_24	
PRJNA1016138		19	tail10_24	
PRJNA530687		18	tail10_24	
PRJEB25682		18	tail10_24	
PRJEB71325		18	tail10_24	
PRJEB48744		18	tail10_24	
PRJNA557813		18	tail10_24	
PRJEB10820		18	tail10_24	
PRJNA1136496		18	tail10_24	
PRJNA351911		18	tail10_24	
PRJNA606985		18	tail10_24	
PRJNA590288		18	tail10_24	
PRJEB67696		18	tail10_24	
PRJEB3980		18	tail10_24	
PRJNA529495		18	tail10_24	
PRJEB12817		18	tail10_24	
PRJNA701733		17	tail10_24	
PRJNA391054		17	tail10_24	
PRJEB41835		17	tail10_24	
PRJNA635420		17	tail10_24	
PRJNA524761		17	tail10_24	
PRJNA296699		17	tail10_24	
PRJNA917066		17	tail10_24	
PRJNA827103		17	tail10_24	
PRJEB67440		17	tail10_24	
PRJNA751707		17	tail10_24	
PRJNA522420		17	tail10_24	
PRJNA833742		17	tail10_24	
PRJNA1031934		17	tail10_24	
PRJNA716986		16	tail10_24	
PRJNA1027607		16	tail10_24	
PRJNA1076266		16	tail10_24	
PRJNA857878		16	tail10_24	
PRJEB52158		16	tail10_24	
PRJNA1057737		16	tail10_24	
PRJNA949542		16	tail10_24	
PRJNA800400		16	tail10_24	
PRJNA560785		16	tail10_24	
PRJNA777533		16	tail10_24	
PRJNA951736		16	tail10_24	
PRJNA550014		16	tail10_24	
PRJEB18733		16	tail10_24	
PRJNA962867		16	tail10_24	
PRJNA391004		15	tail10_24	
PRJNA952961		15	tail10_24	
PRJEB27707		15	tail10_24	
PRJNA984017		15	tail10_24	
PRJNA1101444		15	tail10_24	
PRJNA523709		15	tail10_24	
PRJNA590644		15	tail10_24	
PRJEB23845		15	tail10_24	
PRJNA1000742		15	tail10_24	
PRJNA865026		15	tail10_24	
PRJNA869900		15	tail10_24	
PRJEB35018		15	tail10_24	
PRJNA451051		15	tail10_24	
PRJNA692086		15	tail10_24	
PRJEB70314		15	tail10_24	
PRJEB45397		15	tail10_24	
PRJEB8770		15	tail10_24	
PRJEB43543		14	tail10_24	
PRJNA407760		14	tail10_24	
PRJNA729785		14	tail10_24	
PRJNA749142		14	tail10_24	
PRJNA797874		14	tail10_24	
PRJNA523429		14	tail10_24	
PRJNA800729		14	tail10_24	
PRJDB4867		14	tail10_24	
PRJNA720499		14	tail10_24	
PRJNA438157		14	tail10_24	
PRJNA741866		14	tail10_24	
PRJNA803478		14	tail10_24	
PRJNA830444		14	tail10_24	
PRJNA1070647		14	tail10_24	
PRJNA762527		14	tail10_24	
PRJEB3226		13	tail10_24	
PRJNA956653		13	tail10_24	
PRJEB31347		13	tail10_24	
PRJEB7657		13	tail10_24	
PRJNA497260		13	tail10_24	
PRJNA670748		13	tail10_24	
PRJNA375798		13	tail10_24	
PRJNA534055		13	tail10_24	
PRJNA386693		13	tail10_24	
PRJNA1040414		13	tail10_24	
PRJEB58365		13	tail10_24	
PRJNA326665		13	tail10_24	
PRJNA817042		13	tail10_24	
PRJEB29106		13	tail10_24	
PRJEB42426		13	tail10_24	
PRJNA744890		13	tail10_24	
PRJNA613441		13	tail10_24	
PRJNA279496		12	tail10_24	
PRJNA838107		12	tail10_24	
PRJNA286705		12	tail10_24	
PRJNA733872		12	tail10_24	
PRJEB43391		12	tail10_24	
PRJEB72521		12	tail10_24	
PRJNA867572		12	tail10_24	
PRJNA523433		12	tail10_24	
PRJNA751993		12	tail10_24	
PRJNA832331		12	tail10_24	
PRJEB27344		12	tail10_24	
PRJNA906139		12	tail10_24	
PRJNA315192		12	tail10_24	
PRJNA729628		12	tail10_24	
PRJNA897716		12	tail10_24	
PRJNA951070		12	tail10_24	
PRJNA316969		12	tail10_24	
PRJNA835887		12	tail10_24	
PRJEB2399		12	tail10_24	
PRJEB22139		12	tail10_24	
PRJNA392824		12	tail10_24	
PRJNA437215		12	tail10_24	
PRJNA982765		12	tail10_24	
PRJEB61083		12	tail10_24	
PRJEB30102		12	tail10_24	
PRJEB33495		11	tail10_24	
PRJNA947477		11	tail10_24	
PRJEB67733		11	tail10_24	
PRJNA647793		11	tail10_24	
PRJEB38898		11	tail10_24	
PRJNA994484		11	tail10_24	
PRJNA984710		11	tail10_24	
PRJNA359577		11	tail10_24	
PRJNA776891		11	tail10_24	
PRJNA777127		11	tail10_24	
PRJNA396729		11	tail10_24	
PRJNA575837		11	tail10_24	
PRJNA484792		11	tail10_24	
PRJNA799444		11	tail10_24	
PRJNA631491		10	tail10_24	
PRJNA719104		10	tail10_24	
PRJNA996741		10	tail10_24	
PRJEB19777		10	tail10_24	
PRJNA1026663		10	tail10_24	
PRJNA556398		10	tail10_24	
PRJNA292663		10	tail10_24	
PRJNA292901		10	tail10_24	
PRJNA296696		10	tail10_24	
PRJNA1047501		10	tail10_24	
PRJEB58695		10	tail10_24	
PRJNA685215		10	tail10_24	
PRJNA986585		10	tail10_24	
PRJNA606074		10	tail10_24	
PRJNA956693		10	tail10_24	
PRJNA1072014		10	tail10_24	
PRJNA608440		10	tail10_24	
PRJNA791930		10	tail10_24	
PRJNA525688		10	tail10_24	
PRJEB24641		10	tail10_24	
PRJNA845217		10	tail10_24	
PRJDB10735		10	tail10_24	
PRJNA775973		10	tail10_24	
