field	filled	has_gold	correct	accuracy	n_blank_fill	has_gold_blank	correct_blank_fill	acc_blank_fill	n_overwrite	has_gold_overwrite	correct_overwrite	acc_overwrite
country	20	0	0		20	0	0		0	0	0	
collection_date	117	0	0		115	0	0		2	0	0	
isolation_source	197	21	2	0.09523809523809523	168	0	0		29	21	2	0.09523809523809523
host	145	13	13	1.0	145	13	13	1.0	0	0	0	
