study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB50545	SAMEA12999732	collection_date		2018-01-19 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104093
PRJEB50545	SAMEA12999758	collection_date		2018-01-30 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104893
PRJEB50545	SAMEA12999759	collection_date		2018-02-12 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104894
PRJEB50545	SAMEA12999734	collection_date		2018-04-24 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104095
PRJEB50545	SAMEA12999735	collection_date		2018-03-01 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104096
PRJEB50545	SAMEA12999760	collection_date		2018-04-03 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104902
PRJEB50545	SAMEA12999741	collection_date		2018-04-12 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104102
PRJEB50545	SAMEA12999740	collection_date		2018-04-12 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104101
PRJEB50545	SAMEA12999743	collection_date		2018-04-16 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104104
PRJEB50545	SAMEA12999744	collection_date		2018-04-16 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104105
PRJEB50545	SAMEA12999746	collection_date		2018-05-10 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104107
PRJEB50545	SAMEA12999747	collection_date		2018-11-28 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104108
PRJEB50545	SAMEA12999752	collection_date		2018-12-18 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104850
PRJEB50545	SAMEA12999756	collection_date		2019-04-01 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104854
PRJEB50545	SAMEA12999757	collection_date		2019-06-04 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104855
