study_accession	fold	n_isolates_split	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	n_held	completeness_base_country	completeness_postmerge_country	completeness_norm_country	backfill_delta_country	completeness_base_collection_date	completeness_postmerge_collection_date	completeness_norm_collection_date	backfill_delta_collection_date	completeness_base_isolation_source	completeness_postmerge_isolation_source	completeness_norm_isolation_source	backfill_delta_isolation_source	completeness_base_host	completeness_postmerge_host	completeness_norm_host	backfill_delta_host	fetch_status
PRJEB58136	train	112.0	140	144	140	1	False	138	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.8913043478260869	0.8920863309352518	0.6834532374100719	0.0007819831091648854	0.8043478260869565	0.8057553956834532	0.8057553956834532	0.0014075695964966828	ok
PRJNA820335	train	110.0	110	110	110	1	False	110	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB74083	train	106.0	106	106	106	1	False	106	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA271899	train	104.0	1219	2800	730	1	False	258	0.7945736434108527	1.0	1.0	0.20542635658914732	0.9883720930232558	1.0	1.0	0.011627906976744207	0.015503875968992248	0.4069767441860465	0.3992248062015504	0.3914728682170543	1.0	1.0	1.0	0.0	ok
PRJEB1800	train	89.0	121	122	121	1	False	121	0.743801652892562	0.743801652892562	0.743801652892562	0.0	0.743801652892562	0.743801652892562	0.743801652892562	0.0	0.743801652892562	0.743801652892562	0.7272727272727273	0.0	0.743801652892562	0.743801652892562	0.743801652892562	0.0	ok
PRJNA351909	train	16.0	58	59	58	1	False	49	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA475751	train		14702	15052	948	1	False	494	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.9676113360323887	0.9676113360323887	0.9433198380566802	0.0	1.0	1.0	1.0	0.0	ok
PRJNA564992	train		813	814	142	1	False	142	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA789565	train		330	562	330	1	False	330	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB74192	val	3255.0	3261	3831	3261	9	True	0																	ok
PRJNA857686	val	1345.0	1345	1345	313	1	False	313	0.7348242811501597	0.9968051118210862	0.9968051118210862	0.2619808306709265	1.0	1.0	1.0	0.0	0.7763578274760383	0.7763578274760383	0.11501597444089456	0.0	0.8690095846645367	0.9968051118210862	0.9968051118210862	0.12779552715654952	ok
PRJEB17615	val	1290.0	1284	1290	365	1	False	342	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	ok
PRJDB10842	val	1240.0	5144	5387	1482	1	False	1483	1.0	1.0	1.0	0.0	0.9993256911665542	0.9946308724832215	0.9946308724832215	-0.004694818683332769	0.9763991908293999	0.9765100671140939	0.9409395973154362	0.00011087628469408362	1.0	1.0	1.0	0.0	ok
PRJEB29740	val	1072.0	3691	3691	930	1	False	930	0.0	0.8660998937300743	0.8660998937300743	0.8660998937300743	0.0	0.8660998937300743	0.8660998937300743	0.8660998937300743	0.0	0.8660998937300743	0.8034006376195537	0.8660998937300743	0.0	0.9861849096705633	0.9861849096705633	0.9861849096705633	ok
PRJEB50614	val	1072.0	1044	1044	644	1	False	400	0.98	0.98	0.98	0.0	0.0	0.0	0.0	0.0	0.9725	0.9725	0.9575	0.0	0.0	0.0	0.0	0.0	ok
PRJNA604975	val	886.0	4090	4090	910	1	False	43	1.0	1.0	0.7441860465116279	0.0	1.0	1.0	0.7441860465116279	0.0	1.0	1.0	0.7441860465116279	0.0	1.0	1.0	0.7441860465116279	0.0	ok
PRJNA768622	val	769.0	1642	1642	832	1	False	833	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.6494597839135654	0.0	1.0	1.0	1.0	0.0	ok
PRJNA564424	val	569.0	569	569	537	1	False	537	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA686897	val	486.0	486	486	452	1	False	452	1.0	1.0	1.0	0.0	0.8827433628318584	0.8827433628318584	0.8827433628318584	0.0	0.8827433628318584	0.8827433628318584	0.8827433628318584	0.0	1.0	1.0	1.0	0.0	ok
PRJEB36683	val	457.0	1820	1820	1820	1	False	335	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.29850746268656714	0.0	0.29850746268656714	0.29850746268656714	0.29850746268656714	0.0	ok
PRJEB29742	val	425.0	555	555	555	1	False	555	0.0	0.7657657657657657	0.7657657657657657	0.7657657657657657	0.0	0.7657657657657657	0.7657657657657657	0.7657657657657657	0.0	0.7423423423423423	0.7315315315315315	0.7423423423423423	0.0	0.7657657657657657	0.7657657657657657	0.7657657657657657	ok
PRJNA557275	val	388.0	340	340	340	1	False	340	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9970588235294118	0.0	1.0	1.0	1.0	0.0	ok
PRJEB50822	val	336.0	403	403	376	1	False	376	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	-1.0	0.0	1.0	1.0	1.0	ok
PRJNA996149	val	320.0	320	320	320	1	False	319	0.9968652037617555	0.9686520376175548	0.9686520376175548	-0.028213166144200663	0.9968652037617555	0.9686520376175548	0.0	-0.028213166144200663	0.0	0.0	0.0	0.0	0.9968652037617555	0.9686520376175548	0.9686520376175548	-0.028213166144200663	ok
PRJEB39943	val	313.0	3434	3434	2904	1	False	3257	0.0	0.8392478010312405	0.8392478010312405	0.8392478010312405	0.0	0.8304519259933273	0.8304519259933273	0.8304519259933273	0.0	0.827115559599636	0.8110403397027601	0.827115559599636	0.0	0.8392478010312405	0.8392478010312405	0.8392478010312405	ok
PRJEB42331	val	307.0	167	167	80	1	False	80	1.0	1.0	1.0	0.0	0.0	0.3170731707317073	0.3170731707317073	0.3170731707317073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJEB15226	val	288.0	1806	1806	288	1	False	288	1.0	1.0	1.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA855907	val	270.0	2147	2215	508	1	False	407	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.9754299754299754	0.9754299754299754	0.6904176904176904	0.0	1.0	1.0	1.0	0.0	ok
PRJDB12075	val	241.0	225	241	184	1	False	184	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.07608695652173914	0.07608695652173914	0.07608695652173914	1.0	1.0	1.0	0.0	ok
PRJNA765801	val	213.0	514	514	213	1	False	219	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9726027397260274	0.9726027397260274	0.9726027397260274	ok
PRJEB36486	val	203.0	268	268	221	1	False	221	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	ok
PRJEB1563	val	198.0	198	198	198	1	False	198	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	ok
PRJNA396774	val	177.0	177	177	177	1	False	177	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9943502824858758	0.0	1.0	1.0	1.0	0.0	ok
PRJNA395086	val	166.0	166	166	166	1	False	166	1.0	1.0	1.0	0.0	0.9698795180722891	0.9698795180722891	0.9698795180722891	0.0	0.9698795180722891	0.9698795180722891	0.9698795180722891	0.0	1.0	1.0	1.0	0.0	ok
PRJEB39293	val	158.0	422	422	161	1	False	160	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.9875	0.9875	0.9875	ok
PRJNA835677	val	150.0	150	192	150	1	False	150	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA646358	val	141.0	207	207	141	1	False	141	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA885285	val	130.0	406	406	130	1	False	130	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA978102	val	108.0	108	108	108	1	False	108	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA641987	val	16.0	16	16	16	1	False	16	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
