study_accession	fold	n_isolates_split	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	n_held	completeness_base_country	completeness_postmerge_country	completeness_norm_country	backfill_delta_country	completeness_base_collection_date	completeness_postmerge_collection_date	completeness_norm_collection_date	backfill_delta_collection_date	completeness_base_isolation_source	completeness_postmerge_isolation_source	completeness_norm_isolation_source	backfill_delta_isolation_source	completeness_base_host	completeness_postmerge_host	completeness_norm_host	backfill_delta_host	fetch_status
PRJEB29738	test	862.0	3432	3432	862	1	False	862	0.0	0.9976851851851852	0.9976851851851852	0.9976851851851852	0.0	0.29976851851851855	0.29976851851851855	0.29976851851851855	0.0	0.0	0.0	0.0	0.0	0.9976851851851852	0.9976851851851852	0.9976851851851852	ok
PRJEB63349	test	687.0	687	687	687	1	False	687	1.0	1.0	1.0	0.0	1.0	1.0	0.9796215429403202	0.0	1.0	1.0	1.0	0.0	0.9970887918486172	1.0	1.0	0.0029112081513827937	ok
PRJNA577535	test	575.0	1293	1293	799	1	False	791	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9924146649810367	0.0	1.0	1.0	1.0	0.0	ok
PRJNA757551	test	532.0	758	758	375	1	False	377	1.0	1.0	1.0	0.0	1.0	0.005305039787798408	0.0	-0.9946949602122016	0.0	0.0	0.0	0.0	0.0	0.9946949602122016	0.9946949602122016	0.9946949602122016	ok
PRJEB42350	test	484.0	484	563	484	1	False	484	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	ok
PRJEB1271	test	464.0	461	464	229	1	False	224	0.7366071428571429	0.7366071428571429	0.7366071428571429	0.0	0.7366071428571429	0.7232142857142857	0.7232142857142857	-0.013392857142857206	0.7321428571428571	0.7232142857142857	0.7232142857142857	-0.008928571428571397	0.7366071428571429	0.7366071428571429	0.7366071428571429	0.0	ok
PRJNA1133668	test	437.0	434	868	315	1	False	285	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB19226	test	422.0	422	422	185	1	False	184	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB56146	test	391.0	389	389	155	1	False	156	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.9743589743589743	0.9746835443037974	0.9683544303797469	0.0003245699448231054	0.0	0.9746835443037974	0.9746835443037974	0.9746835443037974	ok
PRJEB37504	test	347.0	347	347	347	1	False	347	1.0	1.0	1.0	0.0	0.7665706051873199	1.0	1.0	0.2334293948126801	0.8731988472622478	0.8731988472622478	0.0	0.0	0.0	1.0	1.0	1.0	ok
PRJNA778230	test	331.0	331	331	331	1	False	331	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.993993993993994	0.0	1.0	1.0	1.0	0.0	ok
PRJNA288601	test	322.0	51951	52644	12456	1	False	7266	0.9966969446738233	0.9966969446738233	0.9966969446738233	0.0	0.9964216900633086	0.9957335535370218	0.950729424717864	-0.0006881365262868533	0.8853564547206165	0.8853564547206165	0.8550784475639966	0.0	0.9962840627580511	0.9962840627580511	0.9958711808422791	0.0	ok
PRJEB43870	test	319.0	203	229	203	1	False	203	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	ok
PRJEB57159	test	319.0	42	51	42	1	False	30	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.8	0.9666666666666667	0.9666666666666667	0.16666666666666663	ok
PRJNA922900	test	319.0	111	137	111	1	False	111	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	ok
PRJEB53835	test	300.0	7889	7889	372	1	False	363	0.8264462809917356	0.8264462809917356	0.8264462809917356	0.0	0.8264462809917356	0.8264462809917356	0.0	0.0	0.0	0.0	0.0	0.0	0.8264462809917356	0.8264462809917356	0.8264462809917356	0.0	ok
PRJEB2111	test	288.0	348	348	348	1	False	315	0.9174603174603174	0.9174603174603174	0.9174603174603174	0.0	0.9174603174603174	0.9174603174603174	0.9174603174603174	0.0	0.8857142857142857	0.8857142857142857	0.8857142857142857	0.0	0.9174603174603174	0.9174603174603174	0.9174603174603174	0.0	ok
PRJNA543274	test	272.0	261	272	261	1	False	259	0.9922779922779923	0.9922779922779923	0.9922779922779923	0.0	0.9922779922779923	0.9922779922779923	0.9922779922779923	0.0	0.637065637065637	0.637065637065637	0.5444015444015444	0.0	0.9034749034749034	0.9034749034749034	0.9034749034749034	0.0	ok
PRJEB38540	test	253.0	253	255	253	1	False	253	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	ok
PRJNA514908	test	241.0	0	0	0	0	False	0																	ok
PRJNA810752	test	217.0	217	217	217	1	False	217	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9953917050691244	0.0	1.0	1.0	1.0	0.0	ok
PRJNA339843	test	206.0	224	225	207	1	False	207	1.0	1.0	1.0	0.0	0.9903381642512077	0.9903381642512077	0.9903381642512077	0.0	1.0	1.0	0.9903381642512077	0.0	1.0	1.0	1.0	0.0	ok
PRJNA532291	test	200.0	198	198	187	1	False	187	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA433394	test	187.0	200	202	187	1	False	187	0.983957219251337	0.983957219251337	0.983957219251337	0.0	0.983957219251337	0.983957219251337	0.983957219251337	0.0	0.983957219251337	0.983957219251337	0.8770053475935828	0.0	1.0	1.0	1.0	0.0	ok
PRJNA594602	test	180.0	180	180	180	1	False	180	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA306133	test	176.0	417	417	176	1	False	176	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA252957	test	167.0	167	167	167	1	False	167	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA633565	test	166.0	176	176	176	1	False	176	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.9090909090909091	0.9090909090909091	-0.09090909090909094	1.0	1.0	1.0	0.0	ok
PRJNA547865	test	157.0	157	157	157	1	False	157	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA825705	test	155.0	181	362	155	1	False	155	1.0	1.0	1.0	0.0	1.0	0.9872611464968153	0.0	-0.01273885350318471	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA839691	test	143.0	146	146	146	1	False	146	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.3287671232876712	0.3287671232876712	0.3287671232876712	0.0	ok
PRJEB29739	test	139.0	2331	2331	778	1	False	787	0.0	0.9860583016476553	0.9860583016476553	0.9860583016476553	0.0	0.10139416983523447	0.10139416983523447	0.10139416983523447	0.0	0.16983523447401774	0.16983523447401774	0.16983523447401774	0.0	0.9860583016476553	0.9860583016476553	0.9860583016476553	ok
PRJEB34643	test	131.0	205	205	205	1	False	205	1.0	1.0	1.0	0.0	0.848780487804878	0.848780487804878	0.848780487804878	0.0	0.6390243902439025	0.6390243902439025	0.6390243902439025	0.0	0.2	0.8390243902439024	0.8390243902439024	0.6390243902439023	ok
PRJEB37711	test	111.0	2006	2006	155	1	False	155	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.08387096774193549	0.08387096774193549	0.08387096774193549	0.0	0.0	0.9806451612903225	0.9806451612903225	0.9806451612903225	ok
PRJEB1272	test	105.0	153	153	153	1	False	153	0.6862745098039216	0.6862745098039216	0.6862745098039216	0.0	0.6862745098039216	0.6862745098039216	0.6862745098039216	0.0	0.6797385620915033	0.6797385620915033	0.6797385620915033	0.0	0.6862745098039216	0.6862745098039216	0.6862745098039216	0.0	ok
PRJEB1963	test	69.0	143	143	69	1	False	69	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	ok
PRJNA658369	test		2540	2659	1663	1	False	1663	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB37378	train	6508.0	6168	6508	1603	1	False	1681	0.0	0.9488399762046401	0.9488399762046401	0.9488399762046401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJEB28400	train	3153.0	1950	1950	745	1	False	827	0.0	0.9449236894492369	0.9449236894492369	0.9449236894492369	0.0	0.9449236894492369	0.9449236894492369	0.9449236894492369	0.0	0.8991373589913736	0.8951559389515594	0.8991373589913736	0.0	0.45056403450564037	0.45056403450564037	0.45056403450564037	ok
PRJEB19322	train	1930.0	419	419	92	1	False	91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJEB33565	train	1930.0	916	916	403	1	False	400	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.9825	0.9825	0.9825	0.9825	0.9825	0.9825	0.0	ok
PRJEB46513	train	1930.0	478	478	455	1	False	281	0.0	0.9790940766550522	0.9790940766550522	0.9790940766550522	0.0	0.0	0.0	0.0	0.0	0.9790940766550522	0.9790940766550522	0.9790940766550522	0.0	0.9790940766550522	0.9790940766550522	0.9790940766550522	ok
PRJEB42462	train	1147.0	1302	1302	1302	1	False	1278	0.9522691705790297	0.9522691705790297	0.9522691705790297	0.0	0.9522691705790297	0.8716744913928013	0.8716744913928013	-0.08059467918622842	0.0	0.9522691705790297	0.9522691705790297	0.9522691705790297	0.9522691705790297	0.9522691705790297	0.9522691705790297	0.0	ok
PRJEB27256	train	868.0	1063	1258	1063	1	False	989	0.9878665318503539	0.9990079365079365	0.9990079365079365	0.011141404657582621	0.9878665318503539	0.9990079365079365	0.9990079365079365	0.011141404657582621	0.9878665318503539	0.9990079365079365	0.9990079365079365	0.011141404657582621	0.134479271991911	0.7718253968253969	0.7718253968253969	0.6373461248334858	ok
PRJEB22252	train	805.0	805	805	237	1	False	245	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJDB5929	train	747.0	965	1158	707	1	False	631	1.0	1.0	1.0	0.0	0.9952456418383518	0.9968304278922345	0.9952456418383518	0.0015847860538826808	0.0	0.838351822503962	0.838351822503962	0.838351822503962	1.0	1.0	1.0	0.0	ok
PRJNA845975	train	599.0	567	567	567	1	False	567	0.9576719576719577	0.9576719576719577	0.9559082892416225	0.0	1.0	1.0	1.0	0.0	0.003527336860670194	1.0	0.9964726631393298	0.9964726631393298	1.0	1.0	1.0	0.0	ok
PRJNA1028672	train	542.0	558	563	546	1	False	542	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.9907749077490775	0.9907749077490775	0.988929889298893	0.0	1.0	1.0	1.0	0.0	ok
PRJEB48990	train	539.0	540	540	540	1	False	539	0.07235621521335807	0.7859778597785978	0.7859778597785978	0.7136216445652397	0.07235621521335807	0.7472324723247232	0.7472324723247232	0.6748762571113651	0.0686456400742115	0.7859778597785978	0.7804428044280443	0.7173322197043863	0.07050092764378478	0.7859778597785978	0.7859778597785978	0.715476932134813	ok
