paper_title,paper_short_title,paper_link,Curator,kleb_assemblies_in_paper,isolates_in_study,study_accessions,sample_selection,death_metadata,newborn_cohort,ATB_location_prop,ATB_collection_date_prop,ATB_isolation_source_prop,ATB_host_prop,location_added,date_added,source_added,host_added,Outstanding issues with ready_to_merge file or checks of data,completeness_post_collation,metadata to check,Andres_to_chase,Free-text comments,has_AST_data,Isolation source details
Genomic epidemiological analysis of Klebsiella pneumoniae from Portuguese hospitals reveals insights into circulating antimicrobial resistance,portuguese_klebsiella,https://pubmed.ncbi.nlm.nih.gov/35963896/,Aaron,500,509,PRJEB38289,surveillance,,patient age not provided,1,1,1,0,,,TRUE,TRUE,"lost 67% of isolation source data in ready to merge file: this is the  ""isolation source: Lisbon"" case; I managed to retrieve the isolation source for a third of the samples. ",,,,"Only referenced in a methylation study but should have been deposited under PRJEB47288 which is empty. This is a Portuguese strain collection dating back as far as 1980. Likely sequenced by LSTHM. Isolation_source is ""Lisbon"" but in supplement there is extra information on the isolation source for some strains.",,
Population dynamics and characteristics of¬†Klebsiella pneumoniae¬†from healthy poultry in Norway,norwegian_poultry_carriage,https://doi.org/10.3389/fmicb.2023.1193274,Aaron,203,319,"PRJEB43870,PRJNA922900,PRJEB57159",lifestock surveillance,,"No human data, only turkey",1,1,1,0,,,,TRUE,yes (PRJEB57159 has only 30 samples),,,,,,
Distribution of capsule and O types in Klebsiella pneumoniae causing neonatal sepsis in Africa and South Asia: meta-analysis of genome-predicted serotype prevalence and potential vaccine coverage; Published on Pathogenwatch,neonatal_klebsiella,https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full; https://pathogen.watch/collection/klebnet-neonatal-sepsis,Aaron,"1960 in ATB update ""218 + 37"", ""325 +50 + 206""",1930,"PRJEB46513,PRJEB19322,PRJEB42462,PRJEB33565",surveillance,host_status = deceased,neonatal meta-analysis,0,0,0,0,TRUE,TRUE,TRUE,TRUE,"added meta data under ENA_projects/neonates/, PRJEB19322 has only 88 samples",,,,neonate sepsis samples; match via sample accession of supplementary table 3 from neonatal sepsis paper,,
Evolution and Epidemiology of Multidrug-Resistant Klebsiella pneumoniae in the United Kingdom and Ireland,mdr_surveillance_uk_ireland,https://pubmed.ncbi.nlm.nih.gov/28223459/,Aaron,379,379,PRJEB5065,surveillance,,patient age not provided,0.78,0.78,0.78,0.78,TRUE,,,,"The missing meta data is for samples that are not mentioned in the publication. It's not clear what they are. Ireland samples labled as UK in ena meta but presumably
correct in supplement",,,,BSAC/bacteremia across 28 hospitals possibly biased for AMR.,,
Klebsiella pneumoniae Carbapenemase (KPC)-Producing K. pneumoniae at a Single Institution: Insights into Endemicity from Whole-Genome Sequencing,virginia_cpe,https://journals.asm.org/doi/10.1128/aac.00464-16 ; https://journals.asm.org/doi/full/10.1128/aac.04292-14?rfr_dat=cr_pub++0pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org,Aaron,131,129,PRJNA246471,AMR,,patient age not provided,1,1,1,0.98,,,,,yes,,,,multiple isolates per patient; patient information is in downloaded supplementary table,,
Inter-species geographic signatures for tracing horizontal gene transfer and long-term persistence of carbapenem resistance,cpe_surveillance_five_us_hospitals,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-022-01040-y,Aaron,258,104,PRJNA271899,AMR,,patient age not provided,0.79,0.99,0.02,1,TRUE,TRUE,TRUE,,yes,,,,isolation source is available in Table S1 but not in ENA meta data; also mentions PRJNA202876,,
"Comparison of carbapenem-susceptible and carbapenem-resistant Enterobacterales at nine sites in the USA, 2013–2016: a resource for antimicrobial resistance investigators",cdc_surveillance,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.001119,Aaron,1232,322,PRJNA288601,AMR plus control,,"Adults, median age of 60+, age info summarized in table 1, sample level age info not provided",1,1,0.94,1,,,,,yes,,,,State departments submit data to the CDC. The submitter should provide an indication of what state the isolate is coming from but it is not clear if the information is in the ENA metadata. 3751 FASTQs on SRA. Downloaded meta data via SRA Run selector. Information is availabe under `Center Name`. Why were so many filtered by AllTheBacteria?,,
Identifying lineage effects when controlling for population structure improves power in bacterial association studies,uk_klebsiella,https://www.nature.com/articles/nmicrobiol201641,Aaron,417,176,PRJNA306133,surveillance,,patient age not provided,0.89,0.89,0.89,0.89,,,,,yes,,,,No mention why and how these were collected,,
"Emergence of Polymyxin Resistance in Clinical Klebsiella pneumoniae Through Diverse Genetic Adaptations: A Genomic, Retrospective Cohort Study",columbia_irvine_polymyxin_resistance,https://pmc.ncbi.nlm.nih.gov/articles/PMC7201408/,Aaron,340,388,PRJNA557275,AMR,Includes mortality,"Adults aged 18-90, median of 61, age info summarized in table 1, sample level age info not provided",1,1,1,1,,,,,yes,,,if we want resistance profiles,Multiple isolates per patient. Vitek profiles done; but only summary data in supplement,,
"ESBL-positive Escherichia coli and Klebsiella pneumoniae isolates from across Canada: CANWARD surveillance study, 2007–18; partly published",canada_esbl,https://academic.oup.com/jac/article/76/11/2815/6347675,Aaron,812,141 (the others are E. coli),PRJNA564992,AMR,,"41 isolates derived from children (<17 years) and 771 from adults, age info summarized in table S2, sample level age info not provided",1,1,1,1,,,,,yes,,,,,,
Genomic Surveillance of Carbapenem-Resistant¬†Klebsiella pneumoniae¬†from a Major Public Health Hospital in Singapore,singapore_cpe,https://journals.asm.org/doi/full/10.1128/spectrum.00957-22,Aaron,715,575,PRJNA577535,AMR,,patient age not provided,1,1,1,1,,,,,yes,,,,,,
